"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.269094728022404,0.269035684751969,0.236328571994806,0.303316229133826,"Global"
"O1.v2",0.232207414287269,0.231911023447353,0.200769812006008,0.264796593058308,"Global"
"O1.v3",0.00146182946971184,0.00100479455430423,3.94322467947635e-05,0.00551053641044267,"Global"
"O12",0.00293004138380144,0.00247276274820655,0.000377703799596379,0.00796103686805406,"Global"
"O2a.v1",0.0675638037390561,0.0671664611715749,0.0500138228220317,0.0871859919900551,"Global"
"O2afg.v2",0.144237029874342,0.143837670236426,0.118808353090565,0.171110535503518,"Global"
"O3/O3a",0.0308667111472075,0.0303721882051236,0.0193515173491673,0.0451274303128731,"Global"
"O3b",0.0514604335840108,0.0510000749670215,0.0362518685329517,0.0692944646435389,"Global"
"O4",0.0853193149933534,0.0848437121970252,0.0658871546383003,0.106948548789734,"Global"
"O5",0.0544215705065391,0.0540507044510304,0.0388557584364555,0.0719692559720871,"Global"
"OL102",0.0014957687400462,0.00101651987217705,3.68343187472323e-05,0.00554513462824129,"Global"
"OL103",0.0029425057729156,0.00249430630713254,0.000373419191497341,0.00796559840472394,"Global"
"OL104",0.0044220245926486,0.00393450493053524,0.00086046451560354,0.0109318941071725,"Global"
"OL13",0.0515595568242262,0.0510633876763605,0.0366043161503005,0.0689073936365673,"Global"
