"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.308241737172745,0.307849118063482,0.253017179656365,0.366281094236567
"O1.v1","Southern Africa",0.263552422244346,0.262167361935815,0.198782510051231,0.335398668710441
"O1.v1","Southern Asia",0.22431447552108,0.223588918442889,0.173868120471315,0.278766339832971
"O1.v1","Western Africa",0.302481233478092,0.300386044896021,0.193818699043657,0.422427863073174
"O1.v2","Eastern Africa",0.266748718786415,0.266412312397687,0.213244740369657,0.324640088547458
"O1.v2","Southern Africa",0.223979839074172,0.222941408410045,0.163691549224552,0.291568299457803
"O1.v2","Southern Asia",0.194175981961845,0.193643747873059,0.146706686110597,0.245859389937101
"O1.v2","Western Africa",0.264557108918311,0.262361075394846,0.1644013999615,0.37937712435326
"O1.v3","Eastern Africa",0.0015856430474279,0.000964485609334151,3.04660949994381e-05,0.00671715223442877
"O1.v3","Southern Africa",0.00116567271159551,0.000617177706130488,1.89331140929338e-05,0.00542426779624788
"O1.v3","Southern Asia",0.00152381349924861,0.00090317951428283,3.02385360044627e-05,0.00675244360205814
"O1.v3","Western Africa",0.00146979891269236,0.000720995104161543,1.96832575717291e-05,0.00754508204255449
"O12","Eastern Africa",0.00275798988867947,0.00205943543132284,0.000248218363457713,0.00921030889326501
"O12","Southern Africa",0.00216589179462463,0.00147253410955149,0.000141734837665688,0.00786766309791433
"O12","Southern Asia",0.00364328405517101,0.00283835645467163,0.000349663194322246,0.0115686767538767
"O12","Western Africa",0.00276032239945571,0.00174092303565229,0.000148641174879524,0.0115497800562498
"O2a.v1","Eastern Africa",0.0540413746500693,0.0528859196220445,0.0306629181695982,0.0836707656769676
"O2a.v1","Southern Africa",0.0435295781013065,0.0416309625176715,0.0191950102699172,0.0777550988747533
"O2a.v1","Southern Asia",0.0994655917838799,0.0983639367108081,0.0659020432838097,0.139232101268403
"O2a.v1","Western Africa",0.0576539285990939,0.0535004544181558,0.019454999913951,0.118547348313325
"O2afg.v2","Eastern Africa",0.17476664923709,0.173793350873087,0.129968738185195,0.224189135555431
"O2afg.v2","Southern Africa",0.185315648329834,0.184178063046657,0.129372234549362,0.24821745854502
"O2afg.v2","Southern Asia",0.0860784091897267,0.0849214598476507,0.0544634483127219,0.124189584104955
"O2afg.v2","Western Africa",0.144063374716419,0.140063858813556,0.0713405142690019,0.238062233130909
"O3/O3a","Eastern Africa",0.016958317814924,0.0158748341681706,0.00588658391735027,0.033891065470025
"O3/O3a","Southern Africa",0.0306157111288293,0.0287328290974017,0.0115644807070797,0.0603377445957462
"O3/O3a","Southern Asia",0.0449234320344292,0.0435987348838821,0.0235260162135986,0.0738141300242512
"O3/O3a","Western Africa",0.0329504898587126,0.0290202014855851,0.00844347801102861,0.0785402112053617
"O3b","Eastern Africa",0.0446897577517288,0.0434795450655466,0.0234662308271762,0.073041666213187
"O3b","Southern Africa",0.0271650562711639,0.0254982704426526,0.00950850372309654,0.0547811270152103
"O3b","Southern Asia",0.0743143314383376,0.073071426536855,0.0450049239162613,0.110080811234423
"O3b","Western Africa",0.0510127363069506,0.0469658039658935,0.0157826660545853,0.109648826602502
"O4","Eastern Africa",0.0553161033934993,0.0540760330041102,0.0313570453581235,0.0852973451588947
"O4","Southern Africa",0.0656273435829581,0.0639754186465868,0.0341404676990309,0.106992269272181
"O4","Southern Asia",0.136995769589718,0.135864032008201,0.0967223553724104,0.183192236602754
"O4","Western Africa",0.0519310924039262,0.0481376238730582,0.0161621726958549,0.109253235498131
"O5","Eastern Africa",0.0167196052224302,0.015629212863941,0.00526869026395796,0.0343513752843859
"O5","Southern Africa",0.135180243122126,0.133729288778529,0.0859793734737925,0.192021541037206
"O5","Southern Asia",0.0481236169710338,0.0469819090487856,0.0260382681849647,0.0768447205930552
"O5","Western Africa",0.0245858840027082,0.0214255752471663,0.00473721774431677,0.0627367262568763
"OL102","Eastern Africa",0.00109517297499078,0.000623848860513873,1.76003526633928e-05,0.00497668166026535
"OL102","Southern Africa",0.00116443171979104,0.00061102313906791,1.71831774477438e-05,0.00546791527873437
"OL102","Southern Asia",0.00213957404198529,0.00129438056466917,4.26159853667341e-05,0.00890078530334781
"OL102","Western Africa",0.00143338390522935,0.000681186199135424,1.81860881880195e-05,0.00723221273319269
"OL103","Eastern Africa",0.00190093180903072,0.00135804195619107,0.00012578504397347,0.00674306385241727
"OL103","Southern Africa",0.00210389676940242,0.00141979701019877,0.000120746391252998,0.00802697969630874
"OL103","Southern Asia",0.00464023643951204,0.00368202598961344,0.000514077120104836,0.0139876289237724
"OL103","Western Africa",0.00261665194582062,0.00163247256985416,0.000120265950731282,0.0110792683692175
"OL104","Eastern Africa",0.00401923091323024,0.00321997823686234,0.000496006458700622,0.0122951261298739
"OL104","Southern Africa",0.00326763929446224,0.00243081939467114,0.000292737807028139,0.0113488685140594
"OL104","Southern Asia",0.00515252096409432,0.00420932558717017,0.000721549756360167,0.0150583310049043
"OL104","Western Africa",0.00626165736026889,0.00439752290410915,0.000566323415833239,0.0236589244584915
"OL13","Eastern Africa",0.0510271457416268,0.0497451782728963,0.0287741729373855,0.0806333142420707
"OL13","Southern Africa",0.0154544157798169,0.0139305115065745,0.00342925614376798,0.0364573293370833
"OL13","Southern Asia",0.0738276340127271,0.0725396026395651,0.0456841982843537,0.109044022728836
"OL13","Western Africa",0.058681836527709,0.0547997717099248,0.0202326410292327,0.119379232537453
