"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.301457961705794,0.300759552778456,0.251460136102417,0.353452435543451
"O1.v1","Southern Africa",0.267397589160891,0.266336568912713,0.201373713122641,0.339021225703528
"O1.v1","Southern Asia",0.226112886581864,0.225220681258779,0.176205704264527,0.280929082714679
"O1.v1","Western Africa",0.361320616460193,0.359775049414387,0.23230350283392,0.504368743150466
"O1.v2","Eastern Africa",0.202453337038433,0.20194646734833,0.159670599695587,0.24749425561196
"O1.v2","Southern Africa",0.200868383603963,0.199251575153781,0.142210563331131,0.26670910109201
"O1.v2","Southern Asia",0.192438158896454,0.191481563850691,0.146057089622844,0.244136567607482
"O1.v2","Western Africa",0.184797774489765,0.180546039917263,0.092304889869535,0.301335922125724
"O1.v3","Eastern Africa",0.00146458797129957,0.000933496450861035,3.04132367238386e-05,0.00603929636418772
"O1.v3","Southern Africa",0.00114899134143811,0.000655559392981575,1.71766663542175e-05,0.00523575577641673
"O1.v3","Southern Asia",0.00146656379500252,0.000882400668926919,2.54373152264303e-05,0.00620992279296083
"O1.v3","Western Africa",0.00136328139925087,0.000682532359547639,1.91210551505974e-05,0.00691154004432422
"O12","Eastern Africa",0.00260503199697006,0.00199806432140233,0.00023845663092224,0.00834155982275889
"O12","Southern Africa",0.00217959522016941,0.00152345826391882,0.000151022067398278,0.00809416768321411
"O12","Southern Asia",0.00344621659344083,0.00263437262596309,0.000325270785959559,0.0109893459162039
"O12","Western Africa",0.00263435956355707,0.00168234645408008,0.000149513876254159,0.0109135130888675
"O2a.v1","Eastern Africa",0.0454436320800166,0.0445424478835516,0.0260876611634475,0.0694175609396507
"O2a.v1","Southern Africa",0.0464872886200954,0.0448154846192564,0.0207630098164659,0.0816337128005864
"O2a.v1","Southern Asia",0.0988650770773729,0.0974759105071583,0.0657203782066513,0.139572740300799
"O2a.v1","Western Africa",0.0678839138231354,0.0630309986429951,0.0226762646796707,0.140994320670405
"O2a.v3","Eastern Africa",0.00146786314708489,0.000927169484573465,3.60830457047397e-05,0.00589873236688678
"O2a.v3","Southern Africa",0.00116470396012847,0.000663682952340084,2.15126243086598e-05,0.00542695553891084
"O2a.v3","Southern Asia",0.00146414959870297,0.000904316877738947,3.12381813057952e-05,0.00623333754163692
"O2a.v3","Western Africa",0.00134784212972519,0.000707185895552232,2.01643506732009e-05,0.00651705376895328
"O2afg.v2","Eastern Africa",0.208534886800194,0.207821589200485,0.165296610673913,0.254956140657737
"O2afg.v2","Southern Africa",0.181795413217859,0.180327564609079,0.125821937797767,0.24645744106214
"O2afg.v2","Southern Asia",0.0881965482997154,0.0871021833866363,0.0561497204898663,0.12701907845482
"O2afg.v2","Western Africa",0.13613999334037,0.131517918628081,0.0603065891119103,0.238672851632856
"O3/O3a","Eastern Africa",0.0200735122205417,0.0192454316364177,0.00860637351933255,0.0362751229992089
"O3/O3a","Southern Africa",0.0315933802069893,0.0297383619315389,0.012635877979925,0.0604534132190031
"O3/O3a","Southern Asia",0.0443416154465178,0.0433138795931989,0.0234133451584115,0.0719242954007984
"O3/O3a","Western Africa",0.0289771103064869,0.0252094928688401,0.00670393145997561,0.075222197786807
"O3b","Eastern Africa",0.0629638005355438,0.0620830818715371,0.0397845893104898,0.0911072846841889
"O3b","Southern Africa",0.0310144919160959,0.0290452976119845,0.0111314804947781,0.060656729908319
"O3b","Southern Asia",0.0746627282662124,0.0734315662951546,0.0464576805963311,0.109303036819694
"O3b","Western Africa",0.051850862080722,0.0471884864658592,0.0153987636905,0.114616640506749
"O4","Eastern Africa",0.0645020194756132,0.0636691898229827,0.0406665514990094,0.0929200052639213
"O4","Southern Africa",0.0708581808867498,0.0688403147077246,0.0378077835660893,0.113671699703176
"O4","Southern Asia",0.136713940957682,0.135930542684532,0.0964225580071123,0.183021677870087
"O4","Western Africa",0.0665507695071852,0.0618766272562808,0.0213041594174907,0.139048336092921
"O5","Eastern Africa",0.0370540456164953,0.0361341693834028,0.0198728671542221,0.05933861600725
"O5","Southern Africa",0.143465218809022,0.142039457602757,0.0910106387657132,0.204567462057466
"O5","Southern Asia",0.0515176503123693,0.0504610581507105,0.028712784095871,0.0803266698631556
"O5","Western Africa",0.0365718306118982,0.0327586857716941,0.00784552630881955,0.087196148989734
"OL102","Eastern Africa",0.00111148834756943,0.000665947649214246,2.33451114646135e-05,0.00466107063644684
