"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.262223715096137,0.261900897399055,0.231754652800193,0.294076438396967,"Global"
"O1.v2",0.217303335263979,0.217039433917913,0.188545336857154,0.247908935923303,"Global"
"O1.v3",0.00132678656572443,0.000913240268156672,3.40117799995403e-05,0.00493767441518244,"Global"
"O12",0.00266023443968608,0.00223927649488257,0.00031603441098464,0.00747263459844399,"Global"
"O2a.v1",0.0609108937214142,0.060496250771298,0.0450165424699058,0.0788248511420804,"Global"
"O2a.v3",0.00131377767536106,0.000910154276400388,3.07138756337149e-05,0.00470228327195402,"Global"
"O2afg.v2",0.167025129932374,0.166686804992771,0.14188865080823,0.194629505817179,"Global"
"O3/O3a",0.0304217931061488,0.0299978453599754,0.0195456687420259,0.0433455190196009,"Global"
"O3b",0.0594664928686983,0.0591604954710157,0.0440298478588409,0.0767969595191233,"Global"
"O4",0.0847815721557157,0.084494591471838,0.0662327706826185,0.10531875154405,"Global"
"O5",0.0570029838904188,0.056536056988683,0.0418366384923021,0.0743911112249953,"Global"
"OL102",0.00132236492945267,0.000901440953290404,3.42860033977947e-05,0.00493720849399365,"Global"
"OL103",0.0013287453670626,0.000908286805348705,3.44110635879763e-05,0.00490548850032381,"Global"
"OL104",0.00395853149137326,0.00350921471827595,0.000793281902465626,0.00946734284768671,"Global"
"OL13",0.0489702699741131,0.0486070118634634,0.0345003802168117,0.0652790616319907,"Global"
