"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.265498648500505,0.265074563142448,0.234998774246476,0.296991507802553,"Global"
"O1.v2",0.224670298273832,0.224478322595259,0.196414963031683,0.254477563629349,"Global"
"O1.v3",0.00130548287775985,0.000917989333512009,3.09684088514298e-05,0.00471024437012226,"Global"
"O12",0.00260368861771864,0.0022067711632869,0.000338734587369425,0.007192461701303,"Global"
"O2a.v1",0.0628340811033134,0.0625617650286961,0.0464991839435851,0.0810591552809059,"Global"
"O2a.v3",0.00130942779555075,0.000907696573995528,2.9186372192509e-05,0.00483891522320758,"Global"
"O2afg.v2",0.150344710253785,0.150149013358326,0.125213004059302,0.176284996340268,"Global"
"O3/O3a",0.0313554670626138,0.0309504097479791,0.020247690933932,0.0446430960546932,"Global"
"O3b",0.056239302717557,0.0558757184989466,0.0411849827477025,0.0735801711626381,"Global"
"O4",0.0875802435503887,0.087157429747591,0.0686817124785201,0.108669638191637,"Global"
"O5",0.0588272831604536,0.0584394128821777,0.0435776911240915,0.076554035734958,"Global"
"OL102",0.00130268925579699,0.000914747609351546,3.32622044367281e-05,0.00479197246808625,"Global"
"OL103",0.00262620132260498,0.00220770333360017,0.00031512035965443,0.00728023376107407,"Global"
"OL104",0.00390513083656677,0.00348293604886142,0.000823452145981197,0.00931791821665985,"Global"
"OL13",0.049695244842498,0.0492192981150198,0.0356904338154879,0.0659010233224698,"Global"
