"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.290092341355412,0.289821930447241,0.242807242022588,0.338830870252324
"O1.v1","Southern Africa",0.262544143354498,0.26153761037842,0.19770206529153,0.332255688082429
"O1.v1","Southern Asia",0.22554339485758,0.2249100630852,0.174621584193712,0.279985594309825
"O1.v1","Western Africa",0.297101566775942,0.294392669883712,0.194773650454729,0.412936692475929
"O1.v2","Eastern Africa",0.241011709426759,0.240461444188619,0.19718394530018,0.287735079289029
"O1.v2","Southern Africa",0.222528401663422,0.221501095015204,0.162207772030931,0.288888734101567
"O1.v2","Southern Asia",0.195136203117232,0.194080750005178,0.148219925801564,0.247276863948707
"O1.v2","Western Africa",0.25880794416121,0.255926318765789,0.162154298855224,0.372426042662657
"O1.v3","Eastern Africa",0.00137411838367476,0.000888550660953024,2.71033076524684e-05,0.00543041586002436
"O1.v3","Southern Africa",0.00106210558964603,0.000613864528770936,1.6821142542102e-05,0.00463129390707162
"O1.v3","Southern Asia",0.00137843593234294,0.000838912229953794,2.62341122743934e-05,0.00583348154025851
"O1.v3","Western Africa",0.00125778712974292,0.000683154139399249,1.92093733478128e-05,0.00595201811020507
"O12","Eastern Africa",0.00246109509110272,0.00191088733683317,0.000241519888659688,0.00779314085558301
"O12","Southern Africa",0.00203192846073187,0.00143849965035049,0.000147552046860794,0.00732357556513392
"O12","Southern Asia",0.00320554357666571,0.00245728771968276,0.0003167689379118,0.0102254819802128
"O12","Western Africa",0.00246894439857551,0.00165157787354219,0.000162831726894009,0.00939420140177054
"O2a.v1","Eastern Africa",0.0477745173453971,0.0469189524375194,0.0283725578242609,0.0728960956396844
"O2a.v1","Southern Africa",0.0438859074363147,0.0423213665639036,0.0199388450763878,0.0762003068828436
"O2a.v1","Southern Asia",0.0976465162634532,0.0964405770270732,0.0639971830385847,0.137728067722699
"O2a.v1","Western Africa",0.0566394377666767,0.0529421265147914,0.0199174312405304,0.113859873280017
"O2a.v3","Eastern Africa",0.00137595217159215,0.000873888810049809,2.7729495104402e-05,0.00569999493972324
"O2a.v3","Southern Africa",0.00107856054554127,0.000598006770925283,1.53493896381491e-05,0.00511062158988105
"O2a.v3","Southern Asia",0.00137848600307899,0.000834688454858108,2.34637102882579e-05,0.00587294540709985
"O2a.v3","Western Africa",0.00125639953751173,0.00067647166675102,1.7756702394023e-05,0.00609203845619604
"O2afg.v2","Eastern Africa",0.18069061879355,0.180374880584831,0.141509864987241,0.222734271376984
"O2afg.v2","Southern Africa",0.182729133176154,0.181284915473957,0.127900526199216,0.246624700368151
"O2afg.v2","Southern Asia",0.088411758709218,0.0874659873718364,0.0559804894198812,0.127275268348038
"O2afg.v2","Western Africa",0.143936776883657,0.140283458684664,0.0732422988732386,0.236393300555339
"O3/O3a","Eastern Africa",0.021796692901372,0.0209696088366177,0.0100977464546343,0.0381348796074485
"O3/O3a","Southern Africa",0.030800494900229,0.0291464082921182,0.0123317148818162,0.0586273092759379
"O3/O3a","Southern Asia",0.0446793185637683,0.0434130745469623,0.0238536369938563,0.0720810605070449
"O3/O3a","Western Africa",0.033091899304722,0.0297158658476492,0.00964966620482587,0.0762855361087457
"O3b","Eastern Africa",0.0564898440082152,0.05554685876764,0.0354372300163147,0.0824798797703283
"O3b","Southern Africa",0.0295191170989343,0.0281781204452638,0.0112606800770046,0.0557927379726877
"O3b","Southern Asia",0.0742025363249697,0.0730996264714169,0.0458808644625403,0.109252917162959
"O3b","Western Africa",0.0520145415744707,0.0484579445299432,0.018413618631847,0.106281164497076
"O4","Eastern Africa",0.0683441435580113,0.067563329716116,0.0447272726750353,0.0971873144220168
"O4","Southern Africa",0.0668764589895686,0.0654407826158053,0.0346833164925844,0.108592681255179
"O4","Southern Asia",0.135270895131174,0.134312677963687,0.095965957698102,0.180848599609453
"O4","Western Africa",0.0564042116935878,0.0527451957365059,0.01896834038547,0.114064522267263
