"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.256677173800091,0.256619910989077,0.237280937650507,0.276854106773012,"Global"
"O1.v2",0.179178479100708,0.179095604352329,0.161986496249981,0.196798881614142,"Global"
"O1.v3",0.00216649178677116,0.00198814164334836,0.000583588751283272,0.00467272937643717,"Global"
"O12",0.00108312318600396,0.000901523846177066,0.000127610491842027,0.00303153995530534,"Global"
"O2a.v1",0.0493860244226755,0.0492283981600691,0.0399772207624024,0.0600234590166557,"Global"
"O2a.v3",0.000544845985484195,0.000380193537761922,1.32265351410417e-05,0.00203960875150024,"Global"
"O2afg.v2",0.253404323996712,0.253322651415336,0.234653933473841,0.272341960876146,"Global"
"O3/O3a",0.0184591960890876,0.0182839561286784,0.0129787063951964,0.025008018513524,"Global"
"O3b",0.0271214285448587,0.0269491428188034,0.0202433615398637,0.0349173172907923,"Global"
"O4",0.12104560119968,0.120940708180704,0.106736173151188,0.135635783584189,"Global"
"O5",0.0390321899896434,0.0389111249770981,0.030880512532621,0.0479929678804169,"Global"
"OL102",0.0005510059860957,0.000387443913897903,1.41048782704093e-05,0.00201954036943157,"Global"
"OL103",0.000544947557297299,0.000377906171964103,1.34443031710734e-05,0.00202226078469678,"Global"
"OL104",0.00161672570583854,0.00143616918918873,0.000338782830898842,0.00382405522238756,"Global"
"OL13",0.0493958714155052,0.0492574209864014,0.0400989229566741,0.0594291363715712,"Global"
