"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.280112971865442,0.279940161913725,0.253943117033286,0.30705765698501
"O1.v1","Southern Africa",0.219097328228659,0.218350304092368,0.169526824883479,0.273289323213013
"O1.v1","Southern Asia",0.206646503430653,0.206338379402604,0.171313912765348,0.244361179208322
"O1.v1","Western Africa",0.335935671995668,0.334796144301792,0.237562648316671,0.443017696532924
"O1.v2","Eastern Africa",0.196822227981177,0.196735384213435,0.173800817033921,0.22092712295819
"O1.v2","Southern Africa",0.212849392369806,0.212112399739653,0.163062535551375,0.265691594044077
"O1.v2","Southern Asia",0.111828835448872,0.111259721811155,0.0847795205283614,0.142701632008593
"O1.v2","Western Africa",0.219784669340053,0.21718985184252,0.137090763512184,0.315303923267471
"O1.v3","Eastern Africa",0.00270159490509435,0.00241970748676628,0.00064964177079502,0.00630173486135977
"O1.v3","Southern Africa",0.00131528387648562,0.000836210654526785,5.90952252354596e-05,0.00549363016718077
"O1.v3","Southern Asia",0.00136938841046985,0.000977591725838371,8.75419852931714e-05,0.00490047165776781
"O1.v3","Western Africa",0.00191969342260772,0.0010867830562419,7.8667304599891e-05,0.00888945793727601
"O12","Eastern Africa",0.00086234115570877,0.000637291887770815,6.60819777296288e-05,0.00294456967606937
"O12","Southern Africa",0.000946226459426024,0.000529499768086624,2.85079688848857e-05,0.00439884108055722
"O12","Southern Asia",0.00164225537248777,0.00116240549804943,0.000106876035558395,0.0059061087180394
"O12","Western Africa",0.00135622287192384,0.000668728428666293,3.57593203737482e-05,0.0068896667512273
"O2a.v1","Eastern Africa",0.0470823844262785,0.0467549194605436,0.0352449767905326,0.0605005285217127
"O2a.v1","Southern Africa",0.0351411239769515,0.0339745385602849,0.0165415387305502,0.0601946597741859
"O2a.v1","Southern Asia",0.0583757509479532,0.0576351031532383,0.0389684347713742,0.0814944278341077
"O2a.v1","Western Africa",0.0737692304603471,0.070175063780128,0.0300577890681021,0.137419674586177
"O2a.v3","Eastern Africa",0.000535853692026632,0.000339172286648961,9.98832949032302e-06,0.00217002652418649
"O2a.v3","Southern Africa",0.000492341553079777,0.000215541470710356,4.04395955679027e-06,0.00270915006598001
"O2a.v3","Southern Asia",0.000572799830558872,0.000286549689647936,6.74441058785706e-06,0.0027932503023518
"O2a.v3","Western Africa",0.000672390742673956,0.000258626408691472,4.91206219146674e-06,0.00394376670207723
"O2afg.v2","Eastern Africa",0.339266576216481,0.339144151999695,0.311483377953873,0.367695541635958
"O2afg.v2","Southern Africa",0.171769451745754,0.170688923693246,0.127481874307676,0.222439466639716
"O2afg.v2","Southern Asia",0.10513574740958,0.104713194428419,0.0788612656783751,0.134757997045061
"O2afg.v2","Western Africa",0.161777051065051,0.159422893649162,0.0899531356915826,0.247195899340015
"O3/O3a","Eastern Africa",0.00683999374785299,0.00655689228426059,0.0030193989524183,0.0123772476363348
"O3/O3a","Southern Africa",0.03854181002981,0.0372938198135447,0.0184806220817263,0.0656570507005246
"O3/O3a","Southern Asia",0.0330935950917416,0.032430804376879,0.0191862168852413,0.0513563817290822
"O3/O3a","Western Africa",0.0345708389811107,0.0311461648246579,0.00939751842849505,0.0777672068844432
"O3b","Eastern Africa",0.0205521003172904,0.0202787839881454,0.0131474957954047,0.0296524976592132
