"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.280002952955117,0.279890726343527,0.25323946324566,0.307547170378969
"O1.v1","Southern Africa",0.218779424107368,0.217884906084863,0.168677140205085,0.273917353491437
"O1.v1","Southern Asia",0.201812901282126,0.201269613682227,0.165099492349561,0.24147287995094
"O1.v1","Western Africa",0.337982750194169,0.33695094206405,0.238003988205537,0.444176897014815
"O1.v2","Eastern Africa",0.196632349146445,0.19643675819788,0.173534187671683,0.220603489286089
"O1.v2","Southern Africa",0.212527030406778,0.211756150388376,0.163129459049248,0.266138121987236
"O1.v2","Southern Asia",0.110520335757006,0.109947725857466,0.0821969524391923,0.142790425368814
"O1.v2","Western Africa",0.220803342534651,0.218198401215225,0.136458430169578,0.319100125772707
"O1.v3","Eastern Africa",0.00276340674376531,0.00248454048841671,0.000668863656248528,0.00645550375471619
"O1.v3","Southern Africa",0.00120855687402444,0.000722046213569567,4.43198329533467e-05,0.00517986908320141
"O1.v3","Southern Asia",0.00136245191250616,0.000945267034870559,7.23772780889379e-05,0.00507321411018748
"O1.v3","Western Africa",0.00187344126570262,0.00100013030852471,5.61276817273367e-05,0.00898976245700247
"O12","Eastern Africa",0.000848659468238538,0.000640825415751821,6.04179513619742e-05,0.00285656102103438
"O12","Southern Africa",0.00088976819813812,0.000476292448801264,2.09763800891748e-05,0.00423625369587089
"O12","Southern Asia",0.00179152805275925,0.00127741728034883,0.000109769961777707,0.00637209474667966
"O12","Western Africa",0.00135484063966849,0.000620821230867143,2.85895118631084e-05,0.00729031632088864
"O2a.v1","Eastern Africa",0.0470155844316914,0.0467688687250447,0.0352553396319819,0.060312359977893
"O2a.v1","Southern Africa",0.034923561802133,0.0337046652421332,0.0160231907390847,0.0609807599589669
"O2a.v1","Southern Asia",0.0593018396670118,0.0585795529052033,0.0397597636476354,0.0829242112046142
"O2a.v1","Western Africa",0.0744839986428468,0.070767187839694,0.0295334658352782,0.139699755588565
"O2a.v3","Eastern Africa",0.00052877957294786,0.000331459450013958,1.07146877706442e-05,0.00217484363868387
"O2a.v3","Southern Africa",0.000475763386366464,0.0001857848009434,3.47092149776428e-06,0.00270459262621247
"O2a.v3","Southern Asia",0.000601976702841967,0.000288515265818645,6.26222913124745e-06,0.00306229429403675
"O2a.v3","Western Africa",0.000691624225270538,0.000243503417787829,4.36988805830994e-06,0.00426000196299026
"O2afg.v2","Eastern Africa",0.339233169053566,0.339034828047659,0.311723140451822,0.367615602505396
"O2afg.v2","Southern Africa",0.171920988080434,0.171000765091828,0.127578626712654,0.222028207811914
"O2afg.v2","Southern Asia",0.103636073633103,0.102955856497433,0.0764863976329924,0.134686978854205
