"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.248971869059355,0.248935728695247,0.228541774491096,0.269929406978783,"Global"
"O1.v2",0.163301054884179,0.163106667039015,0.145963193546895,0.181664342625812,"Global"
"O1.v3",0.00239512957956749,0.00219749344351782,0.000667868187977195,0.00529659409198558,"Global"
"O2a.v1",0.0517968926926657,0.0516470125481702,0.041675591508584,0.062782904631231,"Global"
"O2a.v3",0.00060008820520662,0.000411390182419857,1.57021890350339e-05,0.00222337267480677,"Global"
"O2afg.v2",0.267120843591643,0.267003441089682,0.246442695140972,0.288031855534288,"Global"
"O3/O3a",0.0211370543688592,0.0209655940772578,0.0147505266360119,0.0286276908667605,"Global"
"O3b",0.024051248267506,0.0238628962097575,0.0173745190620086,0.03176410951619,"Global"
"O4",0.119295178069427,0.119162615938633,0.104697959221686,0.134185052977281,"Global"
"O5",0.0427658567570276,0.0426119792356585,0.0337306522463776,0.0527228219719858,"Global"
"OL102",0.000604616894728807,0.000420293629458144,1.40297975697975e-05,0.0022308197565113,"Global"
"OL103",0.00419305510286712,0.0040048422277032,0.00168801198821015,0.00780317507795287,"Global"
"OL104",0.0012042478920277,0.00100985888238225,0.000140832747204504,0.00342926305763156,"Global"
"OL13",0.0524998252713797,0.0522786716394776,0.0424147734016294,0.0634970922207666,"Global"
