"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.254978112211384,0.254899685368773,0.235317540432308,0.275036491736766,"Global"
"O1.v2",0.1817646330952,0.181620649161131,0.164300431352969,0.199927403677697,"Global"
"O1.v3",0.00231506401991928,0.00212406252898218,0.000614849887340436,0.00511074319943731,"Global"
"O12",0.0011586194898126,0.000968098764535165,0.000137511690663074,0.00317555841787119,"Global"
"O2a.v1",0.0536584069928653,0.0534473458581617,0.0435475482409347,0.0645202024078711,"Global"
"O2a.v3",0.000577874943805726,0.000401933031614748,1.34309303053489e-05,0.00215432620697205,"Global"
"O2afg.v2",0.255478599939797,0.255439366574272,0.235399496726834,0.275344831362857,"Global"
"O3/O3a",0.0208226691175309,0.0206385662245696,0.0145588655565253,0.0279960650186985,"Global"
"O3b",0.0276527143352141,0.0274520318891244,0.020501388013295,0.0358009570125916,"Global"
"O4",0.114181325119002,0.114116476526577,0.100345994549306,0.128738998017071,"Global"
"O5",0.0288432391206213,0.0287032230305058,0.0216115376797591,0.0368780441931002,"Global"
"OL102",0.000570354796981998,0.000396608948089364,1.42819621164919e-05,0.00212268408126301,"Global"
"OL103",0.00403458366019376,0.00382798704984768,0.00160138737030166,0.00753491015834946,"Global"
"OL104",0.00172456615520384,0.00153567212556474,0.000347911490762655,0.00418029672961873,"Global"
"OL13",0.052494769471651,0.0523502953302075,0.042648672029149,0.0632718438445779,"Global"
