"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.254663241322778,0.254654039184864,0.235018964960599,0.274355503765314,"Global"
"O1.v2",0.182885237767964,0.182701263262162,0.165861125170179,0.200417232234642,"Global"
"O1.v3",0.0021774464080706,0.0020215783796866,0.000605799747882669,0.0047494684265416,"Global"
"O12",0.00107483782953449,0.000896858684506542,0.000128183506074011,0.00295522542107225,"Global"
"O2a.v1",0.0496339601703388,0.0494654947267116,0.0403082139384656,0.059926349876661,"Global"
"O2a.v3",0.000533683794723352,0.000368139126383908,1.3620944540787e-05,0.00198155114010665,"Global"
"O2afg.v2",0.251384727977478,0.25123366645247,0.232289800030486,0.270890186404646,"Global"
"O3/O3a",0.017269555138128,0.0171001456768614,0.0117445855305963,0.0236386536207812,"Global"
"O3b",0.0274831692240152,0.0272883524689104,0.020536485903632,0.0355515342998375,"Global"
"O4",0.12351913362867,0.123412244903202,0.109481095096996,0.138022359291203,"Global"
"O5",0.0345042977953938,0.0343648893683757,0.0267759232954275,0.0430325298183212,"Global"
"OL102",0.000533740355997438,0.000370931455012778,1.416222232678e-05,0.00195651411554005,"Global"
"OL103",0.00376085725596412,0.00357283809592003,0.00151985630568455,0.00697719941493567,"Global"
"OL104",0.0016261921773602,0.00145612881114552,0.000326555924504559,0.00391096881573595,"Global"
"OL13",0.0490920494091105,0.0489224824421146,0.0398681515342981,0.0590040462530981,"Global"
