"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.280143845228,0.279943713245389,0.254200305945378,0.306979925039545
"O1.v1","Southern Africa",0.23198266033235,0.23090690381058,0.179353006231627,0.288968941413834
"O1.v1","Southern Asia",0.194628995236641,0.194349709320262,0.160127168773845,0.230560419462445
"O1.v1","Western Africa",0.337140855861137,0.335961422245211,0.237670903962344,0.444381697051868
"O1.v2","Eastern Africa",0.196582709912013,0.196344695820134,0.173865963761887,0.220714296795293
"O1.v2","Southern Africa",0.234729785660829,0.233911973065403,0.181378813780573,0.293885229282505
"O1.v2","Southern Asia",0.122770334455913,0.122157742274765,0.0950292836992965,0.153617363847523
"O1.v2","Western Africa",0.222646266869618,0.220322912862505,0.138974026296622,0.318884240334343
"O1.v3","Eastern Africa",0.00275063456294272,0.00247676496557318,0.000665599440836105,0.00634059197392266
"O1.v3","Southern Africa",0.00120105732193627,0.000710545314574365,4.11230455198153e-05,0.00523299733765258
"O1.v3","Southern Asia",0.00136647194547753,0.000952151993296004,7.8623973885268e-05,0.00503121832378499
"O1.v3","Western Africa",0.00193003784322841,0.00104691970836782,6.52134122812183e-05,0.00901075537077598
"O12","Eastern Africa",0.000840288598739092,0.000621967521254181,5.86774499799411e-05,0.00288850013220559
"O12","Southern Africa",0.000816691766910879,0.000431248492684898,2.07994282982899e-05,0.00397237840567086
"O12","Southern Asia",0.00168032739054088,0.00120617750159078,0.000109761328203538,0.00597273812461372
"O12","Western Africa",0.00130119511307167,0.000612309341919916,2.90045145503032e-05,0.00693576765933609
"O2a.v1","Eastern Africa",0.0469776393790576,0.0467347967919876,0.0351960646471392,0.0600560173727384
"O2a.v1","Southern Africa",0.0217369291610039,0.0203078334801273,0.00768072978373405,0.0434524918876191
"O2a.v1","Southern Asia",0.0644046750292594,0.0639803841280809,0.0445611152951069,0.0872087677626771
"O2a.v1","Western Africa",0.0726584322806316,0.069365421919787,0.0291019342719136,0.135331008739732
"O2a.v3","Eastern Africa",0.000523347441343894,0.000328796524206903,1.00834769347513e-05,0.00215768076748348
"O2a.v3","Southern Africa",0.000442612870953466,0.00017262344105003,2.66294763656153e-06,0.00248960696266216
"O2a.v3","Southern Asia",0.000577512579744038,0.000291976938758549,6.66289598505047e-06,0.00276477757741566
"O2a.v3","Western Africa",0.000660372903062162,0.00023788427630503,4.23526172830909e-06,0.00383168638534666
"O2afg.v2","Eastern Africa",0.339380726595337,0.339228613190563,0.311381925229642,0.368852580844835
"O2afg.v2","Southern Africa",0.179950182541655,0.179246268394354,0.132361419984216,0.232122173599386
"O2afg.v2","Southern Asia",0.100174161533474,0.0995795604917215,0.0754125804702207,0.128776574772437
"O2afg.v2","Western Africa",0.160835330461773,0.158401012595083,0.0898391280460886,0.247000280126369
"O3/O3a","Eastern Africa",0.00645345917284958,0.00616596062151205,0.00271542380863,0.011719243804468
"O3/O3a","Southern Africa",0.0142532297009883,0.0129783420689293,0.00389995743104419,0.0315984311563163
"O3/O3a","Southern Asia",0.040433479081322,0.0398067745217711,0.0249146242957354,0.0597434651889484
"O3/O3a","Western Africa",0.0327392704911749,0.0293209104755673,0.00807563660630587,0.0779133762065381
"O3b","Eastern Africa",0.020493719784877,0.0202438521672685,0.0130418750661054,0.0296524510220413
"O3b","Southern Africa",0.0197690847120203,0.0184492875613352,0.00655030232998501,0.0402343655992472
"O3b","Southern Asia",0.043499168332371,0.042782269609077,0.0273190873671911,0.0634980271813129
"O3b","Western Africa",0.0471464776919081,0.0436404346267737,0.0148197212975372,0.0998981638902431
"O4","Eastern Africa",0.0559498017619825,0.0555993812701204,0.0431454410950967,0.0702682275745853
"O4","Southern Africa",0.149681477051478,0.148336487709203,0.105619284668938,0.199667585177051
"O4","Southern Asia",0.276204144236731,0.275979112853894,0.237175159386611,0.316192104800283
"O4","Western Africa",0.0422476704563058,0.0388051715234188,0.0111659866332357,0.0930250093578313
"O5","Eastern Africa",0.019723882843153,0.0194287941734695,0.0123585158894527,0.0286414101441341
"O5","Southern Africa",0.134688424477689,0.133453556494119,0.0929770551523877,0.183144018520471
"O5","Southern Asia",0.0260928414338714,0.0254775252167277,0.0140076978549825,0.0416971683430365
"O5","Western Africa",0.0146669727024033,0.0118938192100131,0.00175827951620395,0.0435192137467901
"OL102","Eastern Africa",0.000309131310279676,0.000162144294883094,3.80484575552299e-06,0.00149539704356424
"OL102","Southern Africa",0.000449100729317072,0.000179015916460825,3.45482276738855e-06,0.00255322978743681
"OL102","Southern Asia",0.00104754854310726,0.000630441459005337,2.19512634365351e-05,0.00450408745954968
"OL102","Western Africa",0.000709323934553303,0.000240464747832189,4.47233983810336e-06,0.00438314585978181
"OL103","Eastern Africa",0.000884567789161626,0.000676601593879462,6.98944767741149e-05,0.00293431295692191
"OL103","Southern Africa",0.00166059961163596,0.00104821250519464,7.34031212229674e-05,0.00666812915162553
"OL103","Southern Asia",0.011303832315074,0.0107089544698701,0.00408870866783857,0.0220568880453047
"OL103","Western Africa",0.00277546684350484,0.00162248495568395,0.000115086300605403,0.0123105849932443
"OL104","Eastern Africa",0.00115940806867684,0.000926418284376289,0.000132464053907924,0.00354949643053423
"OL104","Southern Africa",0.00136088956349798,0.000801572508603302,5.6803860286011e-05,0.00585707080860496
"OL104","Southern Asia",0.00234319613731657,0.00185820103002173,0.000254064947518619,0.00730261251998897
"OL104","Western Africa",0.00446879447694081,0.00268471164237867,0.000237834908983748,0.0190378954244451
"OL13","Eastern Africa",0.0277834898576735,0.027484536687732,0.0190240556208346,0.0380988714237907
"OL13","Southern Africa",0.00751922242844018,0.00632739341769382,0.001001015767076,0.0206814015444778
"OL13","Southern Asia",0.113920513136625,0.113289995958742,0.0872048748544478,0.143423774512432
