"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.272131051365371,0.272168742853721,0.250353831117241,0.294488597231881,"Global"
"O1.v2",0.199024699490195,0.198952519644425,0.179637128268369,0.219490609991667,"Global"
"O1.v3",0.00252871983059106,0.00231606164708744,0.000673850339386262,0.00560746706128333,"Global"
"O12",0.00126185972826142,0.00104708569759874,0.000142313403555793,0.00356694441036144,"Global"
"O2a.v1",0.052934970386279,0.0528226058921035,0.0423651041723426,0.064333151107166,"Global"
"O2a.v3",0.000629733130229783,0.000433268189200505,1.41034956227628e-05,0.00238443064577557,"Global"
"O2afg.v2",0.270777875469346,0.270808202295791,0.250228248225173,0.291582637354893,"Global"
"O3/O3a",0.0201279599844549,0.0199285113551945,0.0137896216602939,0.0275718491561189,"Global"
"O3b",0.023858471303665,0.0236974871295392,0.0169964267175884,0.0318434241231158,"Global"
"O4",0.0766745324965503,0.0765227976007055,0.0643092282915873,0.0897833131609166,"Global"
"O5",0.0422436001270339,0.0420500272288556,0.0333158087543778,0.0522071175428192,"Global"
"OL103",0.00439711426554373,0.0042135645521769,0.00176754893954362,0.00817013650873206,"Global"
"OL104",0.00189807847319697,0.00169429915841517,0.0003935070784102,0.00460609576310853,"Global"
"OL13",0.0314980716009989,0.0312950809498346,0.0234616277150319,0.0405426853230928,"Global"
