"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.280153774294411,0.279919067929886,0.254261688625845,0.30763552620263
"O1.v1","Southern Africa",0.21894247151836,0.218165274786343,0.169327073696424,0.272625716838055
"O1.v1","Southern Asia",0.267058335501598,0.266033459257062,0.207744935977428,0.332114812611426
"O1.v1","Western Africa",0.337464639247013,0.336362182185385,0.23691784223534,0.449225434088444
"O1.v2","Eastern Africa",0.196863248083534,0.196675171107853,0.173618826558196,0.221538182456573
"O1.v2","Southern Africa",0.213328683641876,0.212450613336325,0.164114230158029,0.267765284712771
"O1.v2","Southern Asia",0.18441697761941,0.183258472680778,0.132970313769676,0.242057604410913
"O1.v2","Western Africa",0.222070371379155,0.219457182041343,0.136973259171708,0.31857634739907
"O1.v3","Eastern Africa",0.00288024872142461,0.00258764125528547,0.000673635845117367,0.00682345741671524
"O1.v3","Southern Africa",0.00135756135520656,0.000811246013584221,4.73857206633661e-05,0.00578298315939397
"O1.v3","Southern Asia",0.00215206368463442,0.00141190676058115,0.000101417705185903,0.0083407714880025
"O1.v3","Western Africa",0.00215276749269735,0.00111317568062417,6.40323020796216e-05,0.0106503526436337
"O12","Eastern Africa",0.000954314443667939,0.000712807007455923,7.07194007219964e-05,0.00315678177465418
"O12","Southern Africa",0.00102039426704673,0.000562118641201675,2.89138432010511e-05,0.0046680006848057
"O12","Southern Asia",0.00315160509603445,0.00210073596324229,0.000165466493703611,0.0122069091526944
"O12","Western Africa",0.00159349626029375,0.000762145460131748,3.42685527287648e-05,0.00829198119382994
"O2a.v1","Eastern Africa",0.0471957000040215,0.047049212570909,0.0352074159526592,0.0604898471575716
"O2a.v1","Southern Africa",0.0352909008415434,0.0340481311539075,0.0166375504863333,0.060709769930951
"O2a.v1","Southern Asia",0.0977761149951608,0.096334227517713,0.0608578537434362,0.142091678816122
"O2a.v1","Western Africa",0.0759494299304004,0.0720488558498103,0.0309848176722532,0.14119964321912
"O2a.v3","Eastern Africa",0.000585676856596864,0.000368987584402457,9.96515882900003e-06,0.00242337819574387
"O2a.v3","Southern Africa",0.000537499337110332,0.000213504683933699,3.6755476454132e-06,0.0029782797999862
"O2a.v3","Southern Asia",0.000918491041159538,0.000400586737094903,6.97364184632859e-06,0.004974219958572
"O2a.v3","Western Africa",0.00081191994273203,0.000277149673042053,4.28866925982344e-06,0.00510373353029181
"O2afg.v2","Eastern Africa",0.339183280437156,0.339192739351219,0.311139265536903,0.367038724318088
"O2afg.v2","Southern Africa",0.17083675368303,0.169693087483609,0.126605385421721,0.221366610803925
"O2afg.v2","Southern Asia",0.05550834944387,0.0542075452682133,0.0286657904290311,0.0905200332998533
"O2afg.v2","Western Africa",0.157445806230638,0.154695545386125,0.0881649020065176,0.243466660307564
"O3/O3a","Eastern Africa",0.00673537141427167,0.0064558382539737,0.00285314097868264,0.0122707531517586
"O3/O3a","Southern Africa",0.0394941885033389,0.0382276611676146,0.0191539559281892,0.0669715876829419
"O3/O3a","Southern Asia",0.0646615627549333,0.0632084554537622,0.0347645491727716,0.102172276698498
"O3/O3a","Western Africa",0.0368811247498674,0.03340959074449,0.00961663183976315,0.083757275644652
"O3b","Eastern Africa",0.0203573586542249,0.0200697905680928,0.0128928809686127,0.0294040014341417
"O3b","Southern Africa",0.0181772428050314,0.0170410811597882,0.00598757893359657,0.0368233514178092
"O3b","Southern Asia",0.0416782332093462,0.0401874835512851,0.0191056201697805,0.0726531736955614
"O3b","Western Africa",0.0461955911579156,0.0428345417217508,0.0140957640581786,0.0973903519409441
"O4","Eastern Africa",0.0555415046727076,0.0552862096483746,0.0428151108837672,0.0694883497219528
"O4","Southern Africa",0.134988682651857,0.134115096081172,0.0956950028889832,0.179948653366535
"O4","Southern Asia",0.138169452445904,0.137067827787811,0.0947064822628756,0.188637581135308
"O4","Western Africa",0.0384839507910988,0.0351898943185424,0.00965353756694503,0.0869408083103915
"O5","Eastern Africa",0.0198209841804442,0.0195350372438423,0.0124790588424408,0.0288671664444218
"O5","Southern Africa",0.155897697237504,0.155077169311675,0.112866664750541,0.204070249809231
"O5","Southern Asia",0.0383588281512484,0.03677512229142,0.0168860038046562,0.0677035249642613
"O5","Western Africa",0.0151243069335893,0.0123209177040926,0.0016141741704796,0.0452856256028167
"OL103","Eastern Africa",0.00100723024850612,0.000780729703183635,8.57170888696167e-05,0.00312298930127169
"OL103","Southern Africa",0.00211509952636554,0.00141123657003976,0.000112445052051878,0.00805207439041271
"OL103","Southern Asia",0.0265481932379431,0.0250603239306176,0.00928680752544468,0.0527451881765909
"OL103","Western Africa",0.00350798122171464,0.00210348246347495,0.000141219053598953,0.0150991399389449
"OL104","Eastern Africa",0.00126146563261394,0.00102352132202379,0.000158581575938376,0.00365085198160808
"OL104","Southern Africa",0.0016170713826741,0.00102978351739035,7.29889016116546e-05,0.0066168650719791
"OL104","Southern Asia",0.00446361021691323,0.00329254410927686,0.000392779913857328,0.0151105350765697
"OL104","Western Africa",0.00531795402158457,0.00331802506957076,0.000297715949612715,0.0222698318582689
"OL13","Eastern Africa",0.0275648803195088,0.0273068562768226,0.0187834591356721,0.0379708926195396
"OL13","Southern Africa",0.0064687219102302,0.0053810463478554,0.000816874603064846,0.0180086470780935
"OL13","Southern Asia",0.0744912990506918,0.0730556599494584,0.0420972873556823,0.114994956347619
"OL13","Western Africa",0.0566437571786699,0.0531780511017722,0.0192523934307626,0.114486264867137
