"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.279806673781692,0.279678521400323,0.253345747545469,0.307092114301792
"O1.v1","Southern Africa",0.233826019027605,0.232797174517291,0.176017558406571,0.297649255338335
"O1.v1","Southern Asia",0.194817060973249,0.194457432200517,0.160729453324924,0.231395673408102
"O1.v1","Western Africa",0.335490900542683,0.333941751104459,0.235945128897098,0.444205832406802
"O1.v2","Eastern Africa",0.19670280961906,0.196579220558447,0.174047070218816,0.219775434567305
"O1.v2","Southern Africa",0.169903246236847,0.168703319856862,0.120405868419334,0.224468551157157
"O1.v2","Southern Asia",0.121979214604217,0.121324629079565,0.0948431871689945,0.15220765758576
"O1.v2","Western Africa",0.219719897421671,0.217085217649989,0.135932515364605,0.316761668547237
"O1.v3","Eastern Africa",0.00271067047697923,0.00243703012343863,0.000648984409764327,0.00634249779316416
"O1.v3","Southern Africa",0.00141745345842891,0.000844588271444373,5.16779246894252e-05,0.00614329124092611
"O1.v3","Southern Asia",0.00134038068536782,0.000942891276521614,8.47100936560052e-05,0.00485723206207063
"O1.v3","Western Africa",0.0019156130834431,0.00103403586552317,6.26222994539173e-05,0.00909301035954206
"O12","Eastern Africa",0.000838302140455434,0.000623790799740222,6.51700298750241e-05,0.0029025624734675
"O12","Southern Africa",0.000994312225243107,0.000533060160833219,2.94814869196005e-05,0.00473193141019057
"O12","Southern Asia",0.00166408176163812,0.00121194951305356,0.00011814090212101,0.00584743438996359
"O12","Western Africa",0.00131936565556397,0.000630977350316037,3.12880638905215e-05,0.00698159899251234
"O2a.v1","Eastern Africa",0.0471092541386184,0.0468674653685563,0.035465775089898,0.0600976961649095
"O2a.v1","Southern Africa",0.0389089215718262,0.0373892684803624,0.0174542208252524,0.0690660458619729
"O2a.v1","Southern Asia",0.0646421379935498,0.0640604428814994,0.0445353175529128,0.0877982348018495
"O2a.v1","Western Africa",0.0743899701682189,0.0707356717162285,0.0309104511557921,0.137721546952698
"O2a.v3","Eastern Africa",0.000523940399703245,0.000326342278829502,9.17838950403036e-06,0.00213270450625005
"O2a.v3","Southern Africa",0.000527263470793279,0.000212040993255804,3.63832396528037e-06,0.00281406980228646
"O2a.v3","Southern Asia",0.000577128569541633,0.000289944961702487,6.40770665569983e-06,0.00285256891435442
"O2a.v3","Western Africa",0.00066795470313064,0.000242561327637308,4.01014742037462e-06,0.00403922180999331
"O2afg.v2","Eastern Africa",0.339078789777409,0.338912821455532,0.311233572234317,0.367384492866349
"O2afg.v2","Southern Africa",0.159976277486022,0.15883099623188,0.111859841264828,0.215423457960486
"O2afg.v2","Southern Asia",0.0998313034704956,0.0991208803858686,0.0754303205993671,0.128257855688067
"O2afg.v2","Western Africa",0.159669849028501,0.157224303154982,0.0890303856489396,0.245349694272658
"O3/O3a","Eastern Africa",0.0067897808915909,0.00649348076555745,0.00294955777371673,0.0123134590490207
"O3/O3a","Southern Africa",0.0485010975953658,0.0470039524896542,0.0239967279980598,0.081980137744446
"O3/O3a","Southern Asia",0.0411219746572425,0.0405618359735387,0.0253750539046036,0.060036224104262
"O3/O3a","Western Africa",0.0357374314952386,0.0321488355127739,0.00973331776144914,0.0808344856172848
"O3b","Eastern Africa",0.0205246220792523,0.0202473178765762,0.0130246550093764,0.0297209007210106
"O3b","Southern Africa",0.0228672844411493,0.0212888352871674,0.00779207342704021,0.0462854644660788
"O3b","Southern Asia",0.0433792516278684,0.0427734327677123,0.0273654227330231,0.0627309057419729
"O3b","Western Africa",0.0466541026361836,0.0431245567694633,0.0145401071767216,0.0977933020071675
