"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.254535845880675,0.254498400859659,0.234349544613985,0.2747846714619,"Global"
"O1.v2",0.183198163324548,0.183118275809488,0.165519418161549,0.201844189208904,"Global"
"O1.v3",0.00233311700749792,0.00213275698824311,0.000645792033046732,0.0050759512422025,"Global"
"O12",0.00118143377020974,0.00100733037483784,0.000147344639957387,0.00327957911299724,"Global"
"O2a.v1",0.053164454073719,0.0529796429038097,0.0430793164257828,0.0642641308416328,"Global"
"O2afg.v2",0.245186256351805,0.245042211361415,0.22595379910008,0.265189843605062,"Global"
"O3/O3a",0.0209999408854784,0.0208014656291122,0.0148232761915045,0.0280950378362935,"Global"
"O3b",0.0234585278561746,0.0232451239632379,0.0170096453692913,0.0310196281216085,"Global"
"O4",0.127525585038369,0.127425238756657,0.112681522362634,0.142911532230426,"Global"
"O5",0.0315537708519803,0.0313888473979774,0.0240508736496451,0.0400177793025428,"Global"
"OL102",0.000588159062164322,0.000407638406583335,1.59184980465075e-05,0.00213009712600155,"Global"
"OL103",0.00411450608499454,0.00391987650655193,0.00168888756290442,0.00758776009694605,"Global"
"OL104",0.0017510043977363,0.00155074498147067,0.000340193380208546,0.00426478068239435,"Global"
"OL13",0.0504236378914144,0.0502280693574745,0.0406959586186688,0.0611581949103238,"Global"
