"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.288807450048671,0.288550147668458,0.260378996986175,0.319398966967373
"O1.v1","Southern Africa",0.218553335196475,0.217838520301487,0.168841042353123,0.272221580295911
"O1.v1","Southern Asia",0.194255609306741,0.193923639856611,0.160252468829289,0.230468717083859
"O1.v1","Western Africa",0.337811332276677,0.336708340520672,0.238349155518642,0.444811873418401
"O1.v2","Eastern Africa",0.204405439646452,0.204112325254738,0.178920255710744,0.231112390488115
"O1.v2","Southern Africa",0.213270240085032,0.212224109407422,0.165054567708768,0.267187603114351
"O1.v2","Southern Asia",0.122123003723367,0.121672093231892,0.0949464815120657,0.152233424923088
"O1.v2","Western Africa",0.221603813020268,0.218850025754905,0.137671133166342,0.321836408272457
"O1.v3","Eastern Africa",0.00319165882722768,0.00286780275647297,0.000769915732664055,0.0074086498950691
"O1.v3","Southern Africa",0.00123985384406863,0.000712730642592353,3.28568259759941e-05,0.00554741462104097
"O1.v3","Southern Asia",0.0012930972814274,0.000874869145988206,5.47813688303323e-05,0.00494321826003753
"O1.v3","Western Africa",0.00203887305287818,0.000990990184000451,4.23927660679672e-05,0.0105930054597606
"O12","Eastern Africa",0.000885543020976124,0.000633165754065318,5.65561484415037e-05,0.00312374617931835
"O12","Southern Africa",0.000923369399670374,0.000463149869275385,1.80270031142414e-05,0.00454556928018978
"O12","Southern Asia",0.0018270010823422,0.00135042493839835,0.000122721539385787,0.00618289236604488
"O12","Western Africa",0.0014499091621942,0.000620295128501732,2.21252785034083e-05,0.00797877808400387
"O2a.v1","Eastern Africa",0.0499682014198022,0.0496515872688118,0.0366964821695603,0.0648401539072415
"O2a.v1","Southern Africa",0.0348067125054074,0.0335943429167624,0.0160076479449198,0.0605554669427542
"O2a.v1","Southern Asia",0.064682700195084,0.0641524014149062,0.0446114369312617,0.0880147849409389
"O2a.v1","Western Africa",0.0760003295445916,0.0726011311559902,0.0305798035956321,0.141054452267355
"O2afg.v2","Eastern Africa",0.348308276718277,0.348114438391823,0.317651357837544,0.379709824287187
"O2afg.v2","Southern Africa",0.172127822655689,0.171180930971705,0.126935651711655,0.221689719299303
"O2afg.v2","Southern Asia",0.099365822634956,0.0986153278025477,0.0744868789066278,0.12746355899801
"O2afg.v2","Western Africa",0.159961936307186,0.156950176085519,0.0870670327657295,0.249312951608732
"O3/O3a","Eastern Africa",0.0044624689002021,0.00411504662636043,0.00136872707371669,0.00957338224053227
"O3/O3a","Southern Africa",0.0393820514588551,0.0379956535057071,0.0192780454350553,0.0664304026133703
"O3/O3a","Southern Asia",0.0409293958243037,0.0403077747327738,0.0254887529855205,0.0593909481838476
"O3/O3a","Western Africa",0.0357074714852119,0.032199388872148,0.00869887955001544,0.083617945232203
"O3b","Eastern Africa",0.0123774691507388,0.0120279903866319,0.00635865976983238,0.0202888060482247
"O3b","Southern Africa",0.0178655250432608,0.0166959682912249,0.005782967897039,0.0366695006629238
"O3b","Southern Asia",0.043503034193401,0.0428126809254671,0.0275641213956416,0.0630386645155721
"O3b","Western Africa",0.0469675964481911,0.0432229656614337,0.0140849519326006,0.100287588852777
"O4","Eastern Africa",0.0538973246067686,0.0535249704815708,0.0403595448489226,0.069448284867547
"O4","Southern Africa",0.136630432790051,0.135680326024897,0.0959427352467621,0.183445758156837
"O4","Southern Asia",0.276470102369593,0.27632003724142,0.237561553289,0.317048200240195
"O4","Western Africa",0.038899146294961,0.0353494849350677,0.00963197370414954,0.0889235618908768
"O5","Eastern Africa",0.00439359240935252,0.00408539509433363,0.00129146609953556,0.00936629808582081
"O5","Southern Africa",0.155004994009313,0.153981227886522,0.112312573358835,0.20412128580523
"O5","Southern Asia",0.0253488260027701,0.0246791772993987,0.0134590655062411,0.0411098532355439
"O5","Western Africa",0.0105884448518935,0.00792299088624834,0.000789596032121396,0.0353755435634308
"OL102","Eastern Africa",0.000279733020738443,0.000130439430133576,2.29675444688446e-06,0.00145439193596756
"OL102","Southern Africa",0.000519121901823719,0.000184889494714749,2.75885739967469e-06,0.00311012770703195
"OL102","Southern Asia",0.00117690148734243,0.00070528996396084,2.10128311989798e-05,0.0050445528207893
"OL102","Western Africa",0.000775658681204386,0.000236306526364321,3.4159587706426e-06,0.00509943514166596
"OL103","Eastern Africa",0.000753068323160254,0.00052323547250141,3.76099659999991e-05,0.00285790454023353
"OL103","Southern Africa",0.00154740221427154,0.000936070671100026,4.7694227993445e-05,0.00665438486129273
"OL103","Southern Asia",0.011976118943827,0.0113576828977059,0.00459027456956119,0.0231746496188075
"OL103","Western Africa",0.00267590081959382,0.00135962714449007,5.94435563260934e-05,0.0133589050593797
"OL104","Eastern Africa",0.00119659294429317,0.000911275760956663,0.000107378829945039,0.00394506809930187
"OL104","Southern Africa",0.00142254164530669,0.000823530042470072,4.54856209822775e-05,0.00626541906814862
"OL104","Southern Asia",0.00241056250428868,0.00186873828438592,0.000227019258866882,0.00756383842951684
"OL104","Western Africa",0.00525685682817806,0.00319664333546663,0.000221864811995411,0.0227172897519763
"OL13","Eastern Africa",0.0272873234868653,0.0269754660136601,0.017945960977443,0.0387315460888264
"OL13","Southern Africa",0.00613466348889871,0.00505526590232791,0.000673773029830889,0.0177361993536996
"OL13","Southern Asia",0.114657625386865,0.114046837523306,0.0881985422095638,0.144193609270429
"OL13","Western Africa",0.0596795456064756,0.0564350739762074,0.02088751721873,0.117863321963149
