"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.170169727597634,0.17013890270085,0.152115008704277,0.188993396378402,"Global"
"O1.v2",0.192617629300676,0.1924148063473,0.173512462588494,0.212708575451523,"Global"
"O12",0.0012845596673104,0.00108571792498204,0.000152904224886006,0.00356411431498902,"Global"
"O2a.v1",0.0605772760143504,0.060422417268724,0.0492955327169139,0.0729149150149229,"Global"
"O2a.v3",0.000651635693172547,0.000451754822188059,1.63456764890138e-05,0.00241915457990062,"Global"
"O2afg.v2",0.278977759426601,0.278871759923244,0.258599609530753,0.300168069861349,"Global"
"O3/O3a",0.0238492944176789,0.0236269366500023,0.0169457126894481,0.0319939165805658,"Global"
"O3b",0.0303382298222213,0.0301721249186638,0.0223684220334527,0.0391098396491331,"Global"
"O4",0.139224393566041,0.139175142186663,0.122985737959512,0.156097047500216,"Global"
"O5",0.0444169452742132,0.0441907301146898,0.0351149229598695,0.0549957070019965,"Global"
"OL102",0.000640664226418809,0.000435166990640047,1.54733414094802e-05,0.00241375104714412,"Global"
"OL103",0.00451543953966544,0.00429223105679128,0.00181439119866282,0.0083558821965452,"Global"
"OL104",0.00194576460499694,0.00174004032251366,0.000433138864425453,0.0046360948637249,"Global"
"OL13",0.0509077100310265,0.0507503810752751,0.0406399765096381,0.0620210042854667,"Global"
