"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.123561559093931,0.123187575027306,0.101021408878068,0.147985663433645
"O1.v1","Southern Africa",0.217388354711989,0.216843209459478,0.167593203281004,0.271591042970957
"O1.v1","Southern Asia",0.194267811131135,0.193862843366473,0.160133561118159,0.230941979331261
"O1.v1","Western Africa",0.333096910129671,0.332332488202455,0.236240227734764,0.437990121925615
"O1.v2","Eastern Africa",0.227959237597426,0.227651030523744,0.198900810690231,0.258385288857619
"O1.v2","Southern Africa",0.21311562369328,0.212406990195229,0.165026630614387,0.267812250333676
"O1.v2","Southern Asia",0.12248527559378,0.121961316244779,0.0948430804231429,0.153172514278719
"O1.v2","Western Africa",0.221657312839366,0.219173373872717,0.138660555138141,0.317612713019079
"O12","Eastern Africa",0.00104674189108475,0.000745018967355477,6.61024362389021e-05,0.0037241185871221
"O12","Southern Africa",0.00094879768121953,0.000530918391161864,2.69446340341365e-05,0.00438151142154171
"O12","Southern Asia",0.00179447004475711,0.00132438958076021,0.00012391441950237,0.0062049557892317
"O12","Western Africa",0.00146778058292755,0.000692356850000938,3.06638138685808e-05,0.00763900589517932
"O2a.v1","Eastern Africa",0.064268742359759,0.0638701326870883,0.0479009436062619,0.0830785814393377
"O2a.v1","Southern Africa",0.0352886737237492,0.0340370163818238,0.0165522290468316,0.060817180052948
"O2a.v1","Southern Asia",0.0648778900476353,0.0642390962704437,0.0446385484283765,0.0885131876927395
"O2a.v1","Western Africa",0.0757752079089672,0.0724357231924914,0.0314012253461292,0.13922699378595
"O2a.v3","Eastern Africa",0.000674383262451346,0.000407538054693716,1.15161317921975e-05,0.00290512804226489
"O2a.v3","Southern Africa",0.000550250336057878,0.00021575671698083,4.0202691261361e-06,0.00311824916636332
"O2a.v3","Southern Asia",0.000646144057680995,0.000337563157875373,7.92904832509262e-06,0.00312344660742572
"O2a.v3","Western Africa",0.000777682021138948,0.000279594992485052,4.58756909605649e-06,0.00465268962192412
"O2afg.v2","Eastern Africa",0.438458308946107,0.438325624523035,0.403826295086652,0.473719148311871
"O2afg.v2","Southern Africa",0.17231681962519,0.171242269863832,0.127588094804585,0.223284625945055
"O2afg.v2","Southern Asia",0.100070116412669,0.0995072300283449,0.0750825031963596,0.128692093761495
"O2afg.v2","Western Africa",0.161234235330602,0.158513882360128,0.0903766473410635,0.248778351520752
"O3/O3a","Eastern Africa",0.00685700733131009,0.00647469021077816,0.00245906932171111,0.0134884189365693
"O3/O3a","Southern Africa",0.0393228396486558,0.0380364562324034,0.0194366769923777,0.0663107076405621
"O3/O3a","Southern Asia",0.0410147438585279,0.0404647974164513,0.0255261327909188,0.0601554364711761
"O3/O3a","Western Africa",0.0355561186523246,0.0322466642398495,0.00936659291420287,0.080827441078644
"O3b","Eastern Africa",0.0238943727102247,0.0235215032661867,0.0143960961096818,0.03555159957678
"O3b","Southern Africa",0.0186178946046276,0.0173700439814101,0.00639390408054153,0.0377191074381416
"O3b","Southern Asia",0.0435904181950265,0.0430025903045698,0.0276416488157987,0.0630108141798223
"O3b","Western Africa",0.0470940319638612,0.0435819530560403,0.0146166186652599,0.100440055556727
"O4","Eastern Africa",0.0625978060491246,0.0621568836841124,0.0467712360953914,0.0809762743412365
"O4","Southern Africa",0.136414897441168,0.135278156495561,0.0963263235667719,0.182406333174105
"O4","Southern Asia",0.276167686045881,0.275907176067386,0.237322436299,0.316782698471616
"O4","Western Africa",0.0417466733716336,0.0384127582507481,0.0111601889820511,0.0918000592080238
"O5","Eastern Africa",0.0239728853522262,0.0235729016329052,0.0144854394970895,0.03559203688674
"O5","Southern Africa",0.155473314105653,0.154543153214867,0.112150108616684,0.203196016507038
"O5","Southern Asia",0.0262849913072021,0.0256822076210774,0.0140821443044625,0.0421137899111762
"O5","Western Africa",0.0149945154220929,0.0120727899687248,0.00162140889855069,0.0448670397299927
"OL102","Eastern Africa",0.000354174587415013,0.000170048066878937,3.50309501325029e-06,0.00174807835177205
"OL102","Southern Africa",0.000517084966867137,0.000211586257275925,3.48618410072048e-06,0.00291651337610746
"OL102","Southern Asia",0.00113110126714336,0.000675058216200738,2.11210627401221e-05,0.00474575538871382
"OL102","Western Africa",0.00076707708472056,0.000266792062791244,4.50814504781993e-06,0.00453533227462899
"OL103","Eastern Africa",0.00104723304543846,0.000770048070735988,6.68394040864885e-05,0.00359673265440985
"OL103","Southern Africa",0.00179379529062109,0.00116189132776843,7.2003462842036e-05,0.00715388005677928
"OL103","Southern Asia",0.0115592236029254,0.0109057705327107,0.0042815825063229,0.0224493888207695
"OL103","Western Africa",0.00286559115041378,0.00166686155547064,0.000105162059249265,0.0130662191931634
"OL104","Eastern Africa",0.00145503943896874,0.00115272097835201,0.000150083436242397,0.00448943486585527
"OL104","Southern Africa",0.00150490199899478,0.000946752385392024,7.10091868364173e-05,0.00617602828393412
"OL104","Southern Asia",0.00247251542340699,0.00197214292365315,0.00030399501708639,0.00743156837986522
"OL104","Western Africa",0.00486707554278879,0.00303632073691759,0.000280563582989369,0.0202875662408127
"OL13","Eastern Africa",0.0238004718395131,0.0233498740261187,0.0142035147768515,0.0356999410461181
"OL13","Southern Africa",0.0069596047474037,0.00593420222567081,0.000892431465194763,0.0188438276387956
"OL13","Southern Asia",0.114043387311544,0.113571427275344,0.0870832777088573,0.14354767614398
"OL13","Western Africa",0.0577672453083536,0.0542655261604284,0.0203079704334955,0.115945394511056
