"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.244602265726332,0.244488849691155,0.225091292978398,0.264856256237755,"Global"
"O1.v2",0.183765173667664,0.183543854278257,0.166907552287696,0.201751326710046,"Global"
"O1.v3",0.00221408593453629,0.00203255812481538,0.000607863751136421,0.00481059833025674,"Global"
"O12",0.00110893663008686,0.000934260043313909,0.000135617991336154,0.00312220542488661,"Global"
"O2a.v1",0.0369722435998367,0.0368472497900202,0.0288831002894133,0.0458559147707867,"Global"
"O2a.v3",0.000551341438200229,0.000383544558919706,1.49607344938006e-05,0.00200758175727481,"Global"
"O2afg.v2",0.258308129442002,0.258239760257183,0.239246102610989,0.278025539156743,"Global"
"O3/O3a",0.0215416576771293,0.0213910200032233,0.0153901491974477,0.0285594652694674,"Global"
"O3b",0.0281705959131952,0.0280366132636468,0.0210415830214261,0.0361828952852392,"Global"
"O4",0.126533331646462,0.126460600678537,0.112234895279274,0.141663514956773,"Global"
"O5",0.0397112541350426,0.039549890465285,0.0315109072563786,0.0489142042283966,"Global"
"OL102",0.000557848160355648,0.000376493249779522,1.23828623174497e-05,0.00206969433221881,"Global"
"OL103",0.00387667618782552,0.00370794341815058,0.00160018556790264,0.00719614903382516,"Global"
"OL104",0.00165156439639954,0.0014735756506109,0.000352299611106843,0.00394756470561242,"Global"
"OL13",0.0502489011941852,0.0501523917414358,0.040713943662089,0.0605214486955999,"Global"
