"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.267747201969709,0.267682924458483,0.241059014247484,0.295606347227642
"O1.v1","Southern Africa",0.21833929461677,0.217382722570186,0.168784688637928,0.272989021194843
"O1.v1","Southern Asia",0.194416011482063,0.193830138710681,0.160999979709984,0.231175232243099
"O1.v1","Western Africa",0.336026626026134,0.33460555964664,0.237595431616124,0.443812887335619
"O1.v2","Eastern Africa",0.203495668617319,0.203166605882729,0.179196260424219,0.229167655806305
"O1.v2","Southern Africa",0.212890844336322,0.212373733856012,0.164452205996186,0.266590059489289
"O1.v2","Southern Asia",0.121948315088842,0.121426967408952,0.0947596891452914,0.152116140675075
"O1.v2","Western Africa",0.221098908430175,0.218351320282349,0.138517262382315,0.319699431491781
"O1.v3","Eastern Africa",0.00288006652085491,0.00260701153038604,0.000689642714528192,0.00666897889722907
"O1.v3","Southern Africa",0.00125716065824797,0.000746217209031145,4.51975932965006e-05,0.00544616292152308
"O1.v3","Southern Asia",0.00132571789522995,0.000926289058769878,7.74444275404721e-05,0.00475942904585712
"O1.v3","Western Africa",0.00195055061333721,0.00102531047285807,5.46621853581976e-05,0.0092847030736272
"O12","Eastern Africa",0.000873945363613431,0.00063800292097152,6.0368654922206e-05,0.00301955551062555
"O12","Southern Africa",0.000880243625862123,0.00046991912899624,2.34673748496813e-05,0.00417041851759802
"O12","Southern Asia",0.00167638250970862,0.00122278149099157,0.000116907706675942,0.00570034734424846
"O12","Western Africa",0.0013646755313806,0.00063366181338983,2.9287547344082e-05,0.00735466603614603
"O2a.v1","Eastern Africa",0.0221178844657865,0.0218028292479725,0.0141028430827765,0.0318319623344716
"O2a.v1","Southern Africa",0.0341192403115998,0.0328579718019532,0.0160775678149812,0.0588601986957884
"O2a.v1","Southern Asia",0.0641321801296767,0.0635433192261689,0.0445019117800951,0.0866040033888598
"O2a.v1","Western Africa",0.0720393474982369,0.0688604882796547,0.0284912918536486,0.133141436200887
"O2a.v3","Eastern Africa",0.000546229503109123,0.000334225790442519,1.05711882562e-05,0.00229599642592494
"O2a.v3","Southern Africa",0.000484205395751975,0.000187987917074198,3.19490823189683e-06,0.00272268546774387
"O2a.v3","Southern Asia",0.000571930587729069,0.000290117775300438,6.72771811349491e-06,0.00283404221556335
"O2a.v3","Western Africa",0.000699275940137817,0.000235531197969231,4.2348595327371e-06,0.00433637153881013
"O2afg.v2","Eastern Africa",0.361204626730019,0.361110343085419,0.332026425899626,0.391124303828722
"O2afg.v2","Southern Africa",0.171847571434862,0.170943846542021,0.12715693055087,0.221104583745698
"O2afg.v2","Southern Asia",0.0997125922366184,0.0991744747329169,0.0749072144820358,0.127367058643949
"O2afg.v2","Western Africa",0.160685984591425,0.157963452459522,0.0897192811559712,0.247625543536695
"O3/O3a","Eastern Africa",0.00706460306090289,0.00676963240848015,0.00307171060333883,0.0128376944847869
"O3/O3a","Southern Africa",0.039095848245071,0.0378938915342407,0.0193078128216285,0.0654213061460127
"O3/O3a","Southern Asia",0.0411064495861069,0.0404175356427345,0.0255825286549258,0.0600407623485999
"O3/O3a","Western Africa",0.0358322284688719,0.0323069847900514,0.0093248304349622,0.0817306834560897
"O3b","Eastern Africa",0.0217256304571006,0.0214662998669086,0.0138173760999144,0.0313168227568585
"O3b","Southern Africa",0.0185933349449183,0.0173577013028085,0.00642494918865616,0.0378599395198938
"O3b","Southern Asia",0.0434843606315564,0.0428679997780858,0.0271052933361792,0.0631846253013882
"O3b","Western Africa",0.047115246625508,0.0436720250144068,0.0141697989559864,0.0996245626898854
"O4","Eastern Africa",0.0595290517954527,0.059211543051289,0.0455058942298835,0.0747067290499348
"O4","Southern Africa",0.136691811808415,0.135779385273149,0.0960051809686554,0.182400297960367
"O4","Southern Asia",0.276049131063624,0.275558096545434,0.237680775654562,0.316453397465855
"O4","Western Africa",0.0413361007406347,0.0375459706613294,0.011169102987466,0.0907914101672281
"O5","Eastern Africa",0.0209406295498511,0.0206851011350811,0.0131177579421736,0.0304177392297668
"O5","Southern Africa",0.155040586756036,0.154180009723923,0.112504595474705,0.202999458176981
"O5","Southern Asia",0.026233713361477,0.025602364165311,0.0143363256941062,0.0417456169213472
"O5","Western Africa",0.0147109573328236,0.0119044132689431,0.00169280223123101,0.0434748303228612
"OL102","Eastern Africa",0.000308458220052885,0.000159417398995771,3.25943837638196e-06,0.00148796147072217
"OL102","Southern Africa",0.000501420311481916,0.000193956219956503,3.62253289179478e-06,0.00286579948839109
"OL102","Southern Asia",0.00108413927762782,0.000637750832122254,1.74108134897271e-05,0.0046643851540279
"OL102","Western Africa",0.000727431040803913,0.000247301270148134,4.2179667280851e-06,0.00455257907500279
"OL103","Eastern Africa",0.000876339737200197,0.000658425735560049,6.02240297642394e-05,0.00292945839076364
"OL103","Southern Africa",0.00169965746826864,0.00111249688694314,7.12032420355212e-05,0.00675599970151223
"OL103","Southern Asia",0.0114558290187902,0.0107968354051085,0.00427094730015765,0.0225326688179174
"OL103","Western Africa",0.00269667997880246,0.00155896195718873,9.39195728504619e-05,0.0118650822295814
"OL104","Eastern Africa",0.00117360320627179,0.000938599237837994,0.00014331612138736,0.00350597549161798
"OL104","Southern Africa",0.00138524239924274,0.00085972357337527,6.1210150139876e-05,0.0057222792689511
"OL104","Southern Asia",0.00234126031798043,0.0018348461682269,0.000259756309594588,0.00724539991418554
"OL104","Western Africa",0.00449474609509682,0.00278132785346128,0.000229040693626698,0.0193213211560239
"OL13","Eastern Africa",0.0294774533175742,0.0291695891163785,0.0201434703270987,0.0406544075077113
"OL13","Southern Africa",0.00707665647102288,0.0059825123987841,0.000960345317299606,0.0192713105726785
"OL13","Southern Asia",0.114003866940085,0.113649987550349,0.0874191961029699,0.14340543161238
"OL13","Western Africa",0.0585136426329898,0.054983218354896,0.0211166962477082,0.116829018799974
