"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.279932789075534,0.279748579332529,0.253213611972211,0.307010932111578
"O1.v1","Southern Africa",0.218494106079991,0.21764061420046,0.170139894916164,0.272445152801453
"O1.v1","Southern Asia",0.184506905910663,0.184114546077416,0.149818994325826,0.221824932812835
"O1.v1","Western Africa",0.335701106151053,0.33446724150582,0.235830100084684,0.443161855307365
"O1.v2","Eastern Africa",0.196747709695832,0.196542035795707,0.173804571322179,0.220605605123175
"O1.v2","Southern Africa",0.212728868594964,0.211989231738888,0.16341279657689,0.267044525544708
"O1.v2","Southern Asia",0.114755511831206,0.114000417391292,0.0867159817888205,0.146633905967842
"O1.v2","Western Africa",0.220197251953104,0.218120005339854,0.137043833623636,0.315289143164096
"O1.v3","Eastern Africa",0.00275481206241476,0.00245756892929581,0.000636516248048064,0.00660076011401306
"O1.v3","Southern Africa",0.00121431464419226,0.000720276154227464,3.96914329983559e-05,0.00539510661031957
"O1.v3","Southern Asia",0.00137474821579583,0.000940078156206139,7.08670290167062e-05,0.00527357038582843
"O1.v3","Western Africa",0.00185048465176347,0.000991205297636715,5.18269160463593e-05,0.00890371286286558
"O12","Eastern Africa",0.000856048650945204,0.000639177835943007,5.9058426430033e-05,0.00289662893785763
"O12","Southern Africa",0.00088596839973616,0.000478398351929799,2.30336970030794e-05,0.00422023391256179
"O12","Southern Asia",0.00180870142890894,0.0012941718570742,0.000111249093758092,0.0065028672338788
"O12","Western Africa",0.00134761313765785,0.000636124802602647,2.75290487413534e-05,0.00711211538667416
"O2a.v1","Eastern Africa",0.0470256847103024,0.0467292396015321,0.0354686895836404,0.0600863065693841
"O2a.v1","Southern Africa",0.0348906892753312,0.0336475345887763,0.0163251739575081,0.0606976320329713
"O2a.v1","Southern Asia",0.0568261636828079,0.0561415465600255,0.0373672901561666,0.0803658923672303
"O2a.v1","Western Africa",0.074239848624743,0.0704606903612895,0.0298854576689003,0.139828151036011
"O2a.v3","Eastern Africa",0.000533295431121767,0.000331430332804996,1.17275838929357e-05,0.00220830425926435
"O2a.v3","Southern Africa",0.000477869839217604,0.000191892757391084,3.93720789048542e-06,0.00283329939078046
"O2a.v3","Southern Asia",0.000594280839957707,0.000292699212096297,6.83738485303979e-06,0.00291208000477937
"O2a.v3","Western Africa",0.000670707530940185,0.000242924467170682,4.45839116153423e-06,0.00403816805225066
"O2afg.v2","Eastern Africa",0.339446241156225,0.339506806352962,0.311886542062097,0.366844489032146
"O2afg.v2","Southern Africa",0.171825128977582,0.171015881791003,0.126667069031998,0.221130838658339
"O2afg.v2","Southern Asia",0.112273854944148,0.11151515538342,0.0846752684641557,0.143149320120124
"O2afg.v2","Western Africa",0.160179451046489,0.157884455298415,0.0900972114032221,0.242799346020966
"O3/O3a","Eastern Africa",0.00672772235899993,0.00643524714268363,0.00284246634636481,0.0122868030081475
"O3/O3a","Southern Africa",0.0393619144188477,0.0380679754200775,0.0189825304789674,0.0669113641988199
"O3/O3a","Southern Asia",0.0440219024952763,0.0433691962082394,0.026917813694881,0.0645319757341566
"O3/O3a","Western Africa",0.0357774858310877,0.0324917422875058,0.00942253430642562,0.0803471493040983
"O3b","Eastern Africa",0.0205440211880007,0.0202803593980462,0.012938451728883,0.0297791455069519
"O3b","Southern Africa",0.0185413236582298,0.0173543010490165,0.00619534326690864,0.0379435774837252
"O3b","Southern Asia",0.0467185126750124,0.0461383281752239,0.0290015119400387,0.0680603098047836
"O3b","Western Africa",0.0472487488536918,0.0438078019577569,0.0150886109682235,0.0991626372251246
"O4","Eastern Africa",0.055931506637049,0.0556616414599606,0.0431443134436499,0.0703434249679164
"O4","Southern Africa",0.136343866247793,0.13532689376515,0.0960360249796808,0.181911848030964
"O4","Southern Asia",0.278683759779489,0.27832627945261,0.237877656601597,0.321943953374412
"O4","Western Africa",0.0410896627668605,0.0375844966336132,0.0108466157714645,0.0909453596777778
"O5","Eastern Africa",0.0196624393571661,0.0193457422102292,0.0122406944416253,0.0286826400240553
"O5","Southern Africa",0.15522739827692,0.154109375305491,0.112200247569032,0.203457161184593
"O5","Southern Asia",0.0229318227029785,0.0222766660138093,0.0113364613184975,0.0385196270002211
"O5","Western Africa",0.0142412810083342,0.0115951251808813,0.00156264811131481,0.0422379144510342
"OL102","Eastern Africa",0.000316873753725168,0.000166867849086969,3.72218477533419e-06,0.00152210737078273
"OL102","Southern Africa",0.000499751449090885,0.000204216982811039,3.79627106451395e-06,0.0028112654227513
"OL102","Southern Asia",0.00114861062774061,0.000672536433610548,2.14290294606683e-05,0.00494093949508074
"OL102","Western Africa",0.000717947020530526,0.000251245732454761,4.45399813741227e-06,0.00439209025890852
"OL103","Eastern Africa",0.000828957857783656,0.000630136658801876,6.4153548329352e-05,0.00274031430573631
"OL103","Southern Africa",0.00162343603319888,0.00102109669445429,7.13529663564887e-05,0.00665275039640702
"OL103","Southern Asia",0.0106253338176869,0.00993443096218321,0.00340425944330806,0.0215930063853779
"OL103","Western Africa",0.00255527719513283,0.00142016350485064,9.20110739936482e-05,0.0116466520389877
"OL104","Eastern Africa",0.00116108968168673,0.000931005304696077,0.000133515077874048,0.00346394551079895
"OL104","Southern Africa",0.00142534061129334,0.000871412926465642,6.3790015444987e-05,0.00609361694100769
"OL104","Southern Asia",0.00253276692511058,0.00199566661594298,0.000279651501552156,0.00791318737131643
"OL104","Western Africa",0.00450350435031498,0.00278232042904252,0.000232585769485503,0.0191191456435972
"OL13","Eastern Africa",0.0277266921409263,0.027453807805636,0.018939772331588,0.0381392797762206
"OL13","Southern Africa",0.00709007952263165,0.00597954305285702,0.000922805986224486,0.0191688133665318
"OL13","Southern Asia",0.121376900498548,0.120729798157491,0.0921798446588556,0.153798516005648
"OL13","Western Africa",0.0584782573679281,0.0547441069671974,0.0206115042399022,0.117101940204049
