"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.292884869693638,0.292881873684824,0.271453823615512,0.314825776093096,"Global"
"O1.v2",0.207970378237849,0.207889615467406,0.188548694313363,0.228071664236571,"Global"
"O1.v3",0.00253224983337134,0.00233070757122605,0.000686583215321593,0.00547764747004746,"Global"
"O12",0.00125672817662758,0.00106330041703223,0.000164609138371899,0.00341936932621308,"Global"
"O2a.v1",0.0572767996825898,0.0570715451618179,0.0465556506212545,0.069302660591972,"Global"
"O2a.v3",0.000641212101255511,0.00044031176341723,1.45281278792827e-05,0.0023771244429829,"Global"
"O2afg.v2",0.136605036632192,0.136452485152649,0.120360537056429,0.153870049424023,"Global"
"O3/O3a",0.02459311175268,0.0244005858860507,0.0176879220168828,0.0325900060283031,"Global"
"O3b",0.0301594352294903,0.029951773656443,0.0222195307964744,0.0391160582649082,"Global"
"O4",0.143291230509616,0.143068097435117,0.127266368059744,0.160428386623906,"Global"
"O5",0.0452445000671146,0.0450238751366893,0.0358928107341486,0.0556859593682867,"Global"
"OL102",0.000622452185426893,0.000428256939075652,1.55552632149263e-05,0.00228269625171152,"Global"
"OL103",0.00438739506097568,0.00417051259572219,0.00177441265450029,0.00823441804072607,"Global"
"OL104",0.00188732640974315,0.00168610979728526,0.000388468945282987,0.00447944042556447,"Global"
"OL13",0.050884855481231,0.0507507604745768,0.0407409822391142,0.0617683861296343,"Global"
