"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00499805907795738,2.22289641226855e-05,1.76584818532369e-12,0.0516927356697381
"KL10","Southern Africa",0.00168246508255653,2.76955960697014e-05,1.60359839689643e-11,0.0173729965938809
"KL10","Southern Asia",0.0450688782994487,0.0433065218425311,0.0200419552179228,0.0793954415983754
"KL10","Western Africa",0.00280633475579789,4.15172223683055e-05,1.66961047060136e-11,0.0285876126880525
"KL102","Eastern Africa",0.0217215071789533,0.0017950590697842,1.71087283137224e-08,0.184968833077639
"KL102","Southern Africa",0.265589700170803,0.260647822341355,0.129382379851776,0.422630264090879
"KL102","Southern Asia",0.0190033313220328,0.0173100933842916,0.00448826323725298,0.0425847828779038
"KL102","Western Africa",0.166052416620452,0.153467002184105,0.0373988976693801,0.372467508427514
"KL104","Eastern Africa",0.00292027790292963,3.65340746247507e-06,4.03694464544333e-13,0.0261634434415983
"KL104","Southern Africa",0.00103941320744031,4.86028696867375e-06,2.22018585524259e-12,0.010842954235988
"KL104","Southern Asia",0.00532055078463307,0.00350052073847983,0.000118319905589833,0.0200549694877475
"KL104","Western Africa",0.00171163971189553,7.3875327298486e-06,2.09240399303033e-12,0.015860717264268
"KL105","Eastern Africa",0.00273816656279315,3.36572678938394e-06,4.71652312846006e-13,0.025712423331
"KL105","Southern Africa",0.00093243124852021,5.34786364163876e-06,1.55539431315976e-12,0.00966568231481034
"KL105","Southern Asia",0.00537134315813143,0.00366921284203133,0.000121463476661868,0.0203312003964086
"KL105","Western Africa",0.00157234878615924,6.67752760789959e-06,2.0512862803752e-12,0.0156314765554632
"KL108","Eastern Africa",0.00568910955266924,3.29326868591723e-05,2.59909673633947e-11,0.061174430202787
"KL108","Southern Africa",0.00181777754882759,4.3939811340605e-05,1.24043524058187e-10,0.0172079401104837
"KL108","Southern Asia",0.00142899669004768,0.000329933465346529,5.68253092570225e-08,0.00899098272373084
"KL108","Western Africa",0.0387094237711302,0.0225095078257726,0.000373430106710322,0.1659826193703
"KL109","Eastern Africa",0.00277875791897118,3.5450903409709e-06,4.03789560074227e-13,0.0250897679455476
"KL109","Southern Africa",0.0010355481558762,4.98884475918011e-06,1.42183730161298e-12,0.0102164556931268
"KL109","Southern Asia",0.00535810100149966,0.00366053566111112,0.000120118052794254,0.0200201862566794
"KL109","Western Africa",0.00159654864273442,6.64527032807543e-06,2.3436724434135e-12,0.0157807531136399
"KL110","Eastern Africa",0.00254776446911865,3.76249048336127e-06,2.62226571542422e-13,0.0236012627227166
"KL110","Southern Africa",0.000941610492765233,5.48650706675444e-06,1.9811270022959e-12,0.00944181531693095
"KL110","Southern Asia",0.00525746281845313,0.00355109201013272,0.000138216742551083,0.0196314318369937
"KL110","Western Africa",0.00173117251351945,6.77390471243009e-06,1.79256857371493e-12,0.0179383213269347
"KL112","Eastern Africa",0.00569625179699934,3.3034003401674e-05,3.04322650009203e-12,0.0603301547928122
"KL112","Southern Africa",0.00191048310375041,4.0318772058372e-05,2.49556145257569e-11,0.0182214880060177
"KL112","Southern Asia",0.0739588392212803,0.0723398231079728,0.039463460377718,0.116282033201706
"KL112","Western Africa",0.00322617455791711,5.08741251208404e-05,3.28321868057655e-11,0.0323585822727115
"KL114","Eastern Africa",0.00300436921072956,3.60781653943406e-06,3.59372331861256e-13,0.0293906851697394
"KL114","Southern Africa",0.00101309556243939,5.29567420730538e-06,2.17315315993137e-12,0.0102524118832237
"KL114","Southern Asia",0.00526271763489391,0.0035692633214277,0.00012525281367804,0.0196584442942522
"KL114","Western Africa",0.00172743439263672,6.86072122545239e-06,3.28567598908586e-12,0.0188809406512867
"KL116","Eastern Africa",0.00699333892534456,7.04784071701108e-05,8.11561613968769e-11,0.0746689435516611
"KL116","Southern Africa",0.00225023818471354,7.00967807415816e-05,3.15824171647816e-10,0.0204993209962848
"KL116","Southern Asia",0.00160310903114416,0.000417772450094604,1.12013140466316e-07,0.0101580163682209
"KL116","Western Africa",0.0939964479521354,0.0786892250314508,0.00848600866228816,0.264999116886378
"KL117","Eastern Africa",0.00280911230548536,3.5574813807965e-06,3.03038165899191e-13,0.024975965233208
"KL117","Southern Africa",0.000976405908002983,5.66424994383724e-06,1.85789626582717e-12,0.0101553494435269
"KL117","Southern Asia",0.00535086962005528,0.00366355977411331,0.000126605840392129,0.0203103788011
"KL117","Western Africa",0.00176121269260556,7.53603008108537e-06,1.73315702674598e-12,0.0176071182650536
"KL122","Eastern Africa",0.00910656275775213,0.000149425248073776,4.76334530749067e-10,0.095565125070911
"KL122","Southern Africa",0.00264457819686334,0.000141614573146608,1.20427813853099e-09,0.0228683788891521
"KL122","Southern Asia",0.0121355144030869,0.0103317395749661,0.00173586406488022,0.0326526907884964
"KL122","Western Africa",0.0440028451983624,0.0280944866727588,0.000735454288975747,0.175527825528009
"KL125","Eastern Africa",0.00277513479454846,3.7439695906864e-06,2.96074829557264e-13,0.0242421259045022
"KL125","Southern Africa",0.00096303062848437,4.95585732724622e-06,1.23458653559942e-12,0.00997299880031698
"KL125","Southern Asia",0.00535334017124213,0.00369166808370495,0.000119727502939879,0.0201626179085342
"KL125","Western Africa",0.0016255222788686,6.57434538846149e-06,3.61731888621126e-12,0.0162823771974449
"KL127","Eastern Africa",0.00281983900865764,3.89407723697438e-06,3.38619019453482e-13,0.0227322260196212
