"locus","mean","median","lower","upper","subgroup"
"KL10",0.0450313532029893,0.043591385682309,0.0208963951544642,0.0776220828803332,"Global"
"KL102",0.0350018867522053,0.033689253531285,0.0145691933890125,0.0626000488581418,"Global"
"KL104",0.00500372823357113,0.00349918296813114,0.000129206121239454,0.0182067402586953,"Global"
"KL105",0.0050208180547801,0.0035130770684518,0.00013371974820594,0.0183772399414744,"Global"
"KL108",0.00497385942592547,0.00359426964182594,0.000132453041661759,0.0173956495794425,"Global"
"KL109",0.00498622142833073,0.00347152226599772,0.000119816512343291,0.0184074940744842,"Global"
"KL110",0.00501902782840507,0.00350285940663823,0.000128484611201791,0.0183502536180174,"Global"
"KL112",0.0649538770417061,0.0635295278753314,0.0354693582636255,0.102640582067983,"Global"
"KL114",0.00499359775385297,0.00349308777194391,0.000133725460589911,0.0181573708035085,"Global"
"KL116",0.00500041174710846,0.00361112038938962,0.000132549211397252,0.0173865416309434,"Global"
"KL117",0.00501297830503997,0.00349703796522116,0.000127033698739436,0.018472276769023,"Global"
"KL122",0.0100235418322547,0.00842901418073417,0.00126312936990533,0.0276325393458199,"Global"
"KL125",0.00497078120906727,0.0034571787840164,0.00012530872851501,0.0184661801847809,"Global"
"KL127",0.00503371348533113,0.00351798650333462,0.000134552292477326,0.018440326259273,"Global"
"KL128",0.00502210278413299,0.00351693917693346,0.000126607154111132,0.0184214397174083,"Global"
"KL136",0.0200791426233718,0.0185177402472497,0.00556140903573591,0.0435749101377202,"Global"
"KL14",0.00502522359705381,0.0035031702733088,0.000132627625517439,0.0183732699629359,"Global"
"KL140",0.00498845506557054,0.0034605808726115,0.000133043521435531,0.0182662027396008,"Global"
"KL141",0.00499709040355826,0.00346305085332236,0.000125263694845596,0.0183202298196075,"Global"
"KL144",0.00501027607258681,0.00348099939066889,0.00013298213347764,0.018345138409566,"Global"
"KL146",0.00499637794808742,0.0034421092811812,0.000121457782230361,0.0185424643784504,"Global"
"KL149",0.0250110858142873,0.0238461364239487,0.00869903027884427,0.0476520410881747,"Global"
"KL15",0.0951718991763755,0.0939361981006398,0.0586688120796166,0.13909671873919,"Global"
"KL155",0.00994807163593975,0.0084042953968694,0.00123011701557625,0.027566139778429,"Global"
"KL158",0.00498652471192037,0.0035680442955755,0.000139826268880805,0.0176578293682603,"Global"
"KL17",0.0250353330538752,0.0234830803163016,0.0082952480866359,0.0506865601744873,"Global"
"KL171",0.00497633813287604,0.00347115463537945,0.000123283951613217,0.0183151840217609,"Global"
"KL183",0.00501572375034769,0.00349862013871933,0.000127151146880605,0.0184053730455042,"Global"
"KL19",0.0300686951221666,0.0285745065791442,0.011199492885704,0.0575602347491937,"Global"
"KL2",0.0250031161131174,0.0237229443068244,0.00860207239397617,0.0486472254235213,"Global"
"KL20",0.00496823570436561,0.0034583494140326,0.000123417062908496,0.0181880386490034,"Global"
"KL24",0.040022185348909,0.0384974713657904,0.0176249337969264,0.0712335507822688,"Global"
"KL25",0.0650588200500289,0.0638651235112182,0.0361990891531816,0.100578772421592,"Global"
"KL28",0.0250085880056186,0.0246205370090397,0.00979296881341016,0.0425752505220959,"Global"
"KL3",0.00998911068994772,0.00843094040324256,0.0012296136751566,0.0276759718484222,"Global"
"KL30",0.019989024856284,0.0183623219088991,0.00549868659950905,0.0434274141926348,"Global"
"KL36",0.0250304348420007,0.023470967958389,0.00826075494022304,0.0508189881636816,"Global"
"KL38",0.00999424403436631,0.00843270628853817,0.00124514333772658,0.0276424883231534,"Global"
"KL39",0.0100500575018148,0.00847616508001141,0.00123501676229395,0.0276959137543622,"Global"
"KL47",0.0100522449890751,0.00847871735089087,0.001223816366177,0.0277371583190152,"Global"
"KL48",0.0399673297539348,0.0384214125718702,0.0175112382585846,0.0711524160760032,"Global"
"KL51",0.0851429800184088,0.0838131702506834,0.0510064623592304,0.126808580767215,"Global"
"KL52",0.0150521391380747,0.0134543941127248,0.00311136552809804,0.0357804004937449,"Global"
"KL53",0.0199662290968762,0.0192386746480943,0.00631642060631302,0.0375372751290068,"Global"
"KL54",0.0150064497566679,0.0134158126017544,0.00311759274706675,0.0356271672380218,"Global"
"KL62",0.0200094925971139,0.0185868822153375,0.00567492130536969,0.0424059838124802,"Global"
"KL64",0.0398076426813943,0.038205749745652,0.0173401726386474,0.0706800141451948,"Global"
"KL8",0.0150174870974021,0.0134033928778914,0.00309398123022956,0.0358944666146406,"Global"
"KL81",0.050090347332992,0.0486431995408886,0.0243070829732447,0.0843136468130748,"Global"
