"locus","subgroup","mean","median","lower","upper"
"KL10","Southern Africa",0.00157044310362199,2.82787586391781e-07,9.03849019974897e-21,0.0168984421585447
"KL10","Southern Asia",0.0526629741885174,0.0509867142210174,0.0243379727659725,0.0910075940508116
"KL10","Western Africa",0.0021080877237248,2.62727619130137e-07,2.95731704163558e-21,0.0224810246470232
"KL102","Southern Africa",0.160484683646219,0.147798223795296,0.0352126725181762,0.355849940621434
"KL102","Southern Asia",0.0187601439167944,0.0169403877477343,0.00421069845083723,0.0434554731042136
"KL102","Western Africa",0.0768690482461735,0.0546229563443553,0.00194960119957454,0.270245795961707
"KL104","Southern Africa",0.00101836656873104,4.20447673014641e-08,2.90009671258851e-22,0.00990936704429978
"KL104","Southern Asia",0.00568266526766388,0.00393422292525825,0.000134382197372632,0.0208920734086487
"KL104","Western Africa",0.00136349608118404,3.45195545257649e-08,2.18481079590545e-22,0.0129496632018412
"KL105","Southern Africa",0.00102960593502573,3.82099975704742e-08,4.20896607268925e-22,0.00999289739789681
"KL105","Southern Asia",0.00570645073048494,0.00394568669194532,0.000142653249213471,0.0211723417925597
"KL105","Western Africa",0.00129450666192634,3.66497117265584e-08,3.02390220669196e-22,0.0120410530917427
"KL108","Southern Africa",0.00215741421208114,2.10747249893478e-06,6.64536041282288e-18,0.0237233022136925
"KL108","Southern Asia",0.00108493555460585,0.000107300435540623,1.66457730788527e-11,0.00849599017926401
"KL108","Western Africa",0.0642916154237199,0.0419935957797801,0.000792195888703141,0.248080169528807
"KL109","Southern Africa",0.00103708247872642,3.87415069018417e-08,4.57995098409287e-22,0.0103456585102454
"KL109","Southern Asia",0.00566052107700086,0.00389587570589788,0.000123913317463242,0.0211695775651718
"KL109","Western Africa",0.00135735149657698,3.14078283452456e-08,2.05455986039129e-22,0.0127184207776265
"KL110","Southern Africa",0.00103563273882055,3.93331380130443e-08,2.84339163443349e-22,0.0101378399923943
"KL110","Southern Asia",0.00569629360924902,0.00392326591365511,0.000137123212281215,0.0210851528105986
"KL110","Western Africa",0.00139952190082588,3.46769654999691e-08,2.2831769335542e-22,0.0123565479135779
"KL112","Southern Africa",0.00166476083689723,3.4802800851118e-07,7.27646101965977e-21,0.0180497734404887
"KL112","Southern Asia",0.0760841060819866,0.0744435575908902,0.0415369037425788,0.120330150409036
"KL112","Western Africa",0.0022093066116122,3.52635952345602e-07,3.27659241055537e-21,0.024746427514274
"KL114","Southern Africa",0.00104220414016861,4.05421442316331e-08,4.36354563130315e-22,0.0098614571495959
"KL114","Southern Asia",0.00566937324220469,0.00392339064344756,0.000143686130118835,0.0208740138348816
"KL114","Western Africa",0.0013472020893968,3.35746348205234e-08,1.98379081847328e-22,0.0122328962693017
"KL116","Southern Africa",0.00212120603446388,2.14250757351955e-06,6.52383213018312e-18,0.0232048739581228
"KL116","Southern Asia",0.00107706316333729,0.000110216437588331,1.83053951645475e-11,0.00835527644077048
"KL116","Western Africa",0.0648999919195002,0.0422175025240869,0.000809859090516308,0.249645624638271
"KL117","Southern Africa",0.00103293194744791,4.08405982704116e-08,1.89715008313617e-22,0.0102626622120311
"KL117","Southern Asia",0.00569176250977642,0.00391475399965555,0.000136014688123158,0.0211490075519005
"KL117","Western Africa",0.00136693827432841,3.12069924118088e-08,1.68430615063622e-22,0.0128873046789947
"KL122","Southern Africa",0.00125641193437269,8.4009191724344e-08,8.62238475260014e-22,0.0128483973132972
"KL122","Southern Asia",0.0115435403306587,0.00968262104312572,0.00141883020594203,0.0320075393343174
"KL122","Western Africa",0.00164092461835367,7.44679368636512e-08,5.12382626592585e-22,0.0162564467074923
"KL125","Southern Africa",0.00104946164712952,4.10901591623841e-08,3.09696318557114e-22,0.0100623698275327
"KL125","Southern Asia",0.00564404779343174,0.0038821234431756,0.000132526776420602,0.0212430983208566
"KL125","Western Africa",0.0013148172734772,3.58882210067557e-08,1.60739224958238e-22,0.0121928115302658
"KL127","Southern Africa",0.00106052908943586,3.76599010182345e-08,4.27086911919979e-22,0.0103523441484197
