"locus","mean","median","lower","upper","subgroup"
"KL10",0.0382843066004622,0.0376367044688692,0.0228653375400376,0.057242564149627,"Global"
"KL102",0.0744603841465155,0.073969842235361,0.0525723764523266,0.099658371983497,"Global"
"KL104",0.0042309076314585,0.00356689406260739,0.000523809637550032,0.0117249190961019,"Global"
"KL105",0.00426642757899817,0.00358320827684575,0.000513234399007418,0.0118277876939993,"Global"
"KL108",0.00212115999408911,0.00150978369023256,5.81037668065915e-05,0.00753383307084185,"Global"
"KL109",0.00213467784857256,0.00149331390677041,5.66688726939271e-05,0.00779562797783464,"Global"
"KL110",0.00425182740592311,0.0035642426946584,0.000511314632932602,0.011756863425533,"Global"
"KL112",0.0467241806433079,0.0460844311407521,0.0295652813265462,0.0672000974673524,"Global"
"KL114",0.00212191110079951,0.00147834146517834,5.42108796650105e-05,0.00774638784741058,"Global"
"KL116",0.00425269982475444,0.00366101537461719,0.000544129167388508,0.0111938168478743,"Global"
"KL117",0.00640189125229637,0.00570415657577215,0.00135127618363851,0.0153105003469968,"Global"
"KL122",0.0106275846324653,0.00993202087443858,0.0034968364915078,0.0216386946688857,"Global"
"KL125",0.00424729016292787,0.00357603319965296,0.000511347854559559,0.0117967703768861,"Global"
"KL127",0.00213111247241142,0.00148101453401565,5.35490819709354e-05,0.00782460267950862,"Global"
"KL128",0.00212491420805483,0.00147229935261256,5.34024507157601e-05,0.00787921887667003,"Global"
"KL136",0.0106463096339876,0.00996398079454276,0.00347627144789122,0.0216474574956629,"Global"
"KL14",0.00211102219600127,0.00146939459237725,5.28590729273104e-05,0.00777190346314097,"Global"
"KL140",0.00214001330022488,0.00148992895681368,5.57923310152802e-05,0.00784038620761473,"Global"
"KL141",0.00212488980534565,0.00148412589162395,5.22130156499887e-05,0.00775556449881155,"Global"
"KL144",0.00212129007790776,0.00146013591802838,5.48042306189551e-05,0.00788158974712475,"Global"
"KL146",0.00212914968811021,0.00147882769324812,5.58009186855139e-05,0.00785653737334845,"Global"
"KL149",0.0531990949804575,0.0530772249720184,0.0380578705359165,0.0693793320193832,"Global"
"KL15",0.236142729669217,0.235795383228033,0.199389845932644,0.274698393640763,"Global"
"KL155",0.00426955175867563,0.00359451447552021,0.000526704264456288,0.011818655362967,"Global"
"KL158",0.00213367981419723,0.00149145511442732,5.6096404420939e-05,0.00773660279693972,"Global"
"KL17",0.012775052211678,0.0120918545591592,0.00468426000980578,0.0247839987548529,"Global"
"KL171",0.00426254154711395,0.00359324354105949,0.000506879314959627,0.0118060321784857,"Global"
"KL183",0.00211349569741554,0.00144876785359164,5.59933361056011e-05,0.00784593007815508,"Global"
"KL19",0.0149189487543933,0.0142521543253802,0.00610079878919165,0.0275526082939173,"Global"
"KL2",0.0127854705661808,0.0121519671811189,0.00474006487278026,0.0244647029058354,"Global"
"KL20",0.00212240064940753,0.00147318267204575,5.29404140834329e-05,0.00775780003201842,"Global"
"KL24",0.0297843829391378,0.0291135586678876,0.0164079766832075,0.0469203815218029,"Global"
"KL25",0.0383340408730741,0.0378375437834542,0.0235293062677135,0.0560764624447756,"Global"
"KL28",0.0191723071337311,0.019024532987475,0.010260585171314,0.0288536309860858,"Global"
"KL3",0.00427318429428598,0.00361068379010045,0.000526601722784324,0.0117790140914481,"Global"
"KL30",0.00852264016125673,0.00784811337778374,0.00231485268176539,0.0185718693305118,"Global"
"KL36",0.0212677967044135,0.0205793703791307,0.0102705007726384,0.0362006028485047,"Global"
"KL38",0.00638677756694818,0.0056936918070619,0.0013280756719054,0.0153349126152646,"Global"
"KL39",0.00427279351465967,0.00359113669587681,0.000506987056605863,0.0118776804561554,"Global"
"KL47",0.00425766705005954,0.00357492926290633,0.000527585626807956,0.0118333091960069,"Global"
"KL48",0.0191718734103374,0.0185093895911401,0.00881992761152667,0.0333326554115915,"Global"
"KL51",0.0447284718943258,0.0440833740731505,0.0280018336401758,0.0650604842513405,"Global"
"KL52",0.0063913270470037,0.00571102801339564,0.00133030890347012,0.0153355506920022,"Global"
"KL53",0.0170254870255509,0.016820505022255,0.00847608658645626,0.0267728895042597,"Global"
"KL54",0.017014167026668,0.0162886979569263,0.0073407417568319,0.0304759866275243,"Global"
"KL62",0.0468363541311644,0.0461941194380859,0.0296905204595288,0.0675279225094185,"Global"
"KL64",0.0212721814819707,0.0205515818749533,0.0103425745960829,0.0362310333322748,"Global"
"KL8",0.0149247335428563,0.0142359067086415,0.00603460974779515,0.0277510230380118,"Global"
"KL81",0.102097865059387,0.101575434331977,0.0766718638146536,0.130759933108264,"Global"
