"locus","subgroup","mean","median","lower","upper"
"KL10","Southern Africa",0.000523613668917692,1.27695007884479e-08,4.80726578581843e-26,0.00574129808587234
"KL10","Southern Asia",0.0444148790964556,0.043702190584111,0.0266698412755877,0.0663777626857651
"KL10","Western Africa",0.00103916662990106,1.64046653652064e-08,1.03949637500524e-26,0.0105082663728056
"KL102","Southern Africa",0.130893976822165,0.125269212991622,0.0509791857955526,0.241848298228448
"KL102","Southern Asia",0.0696264324014659,0.0689864394778143,0.0468176922286174,0.096755844577392
"KL102","Western Africa",0.0454702431752519,0.0317112502628419,0.00108725163058517,0.163616571252193
"KL104","Southern Africa",0.000375519794973836,2.11648545905343e-09,4.74083788878594e-28,0.00396139712977377
"KL104","Southern Asia",0.00484334467455678,0.00407746400633676,0.000566357171025577,0.0134464868210878
"KL104","Western Africa",0.000712719423279207,2.83356790571398e-09,8.12584306074481e-28,0.00658319001470277
"KL105","Southern Africa",0.000384243327000143,1.90141511059595e-09,7.14552574721937e-28,0.00361319964640102
"KL105","Southern Asia",0.00485675234415533,0.0040675016608983,0.000605511357691292,0.0135583116422127
"KL105","Western Africa",0.00070431901715788,2.7786310113067e-09,1.0208980959225e-28,0.00617574302175101
"KL108","Southern Africa",0.000679265637947935,1.17522549017134e-07,2.74683914540691e-22,0.00719134190858422
"KL108","Southern Asia",0.000381624314648708,2.18006193988696e-05,4.76714702234951e-14,0.0032241952293739
"KL108","Western Africa",0.0382240953491797,0.0246240238960121,0.000487227833796278,0.151998480741683
"KL109","Southern Africa",0.000323947120636931,9.46888433766024e-10,2.87160668934355e-28,0.00270397681117624
"KL109","Southern Asia",0.00242614254433123,0.00163845483698784,5.10458496080398e-05,0.0091676616508569
"KL109","Western Africa",0.000633838236180217,1.22513472832244e-09,7.56881725966805e-29,0.00479324234578521
"KL110","Southern Africa",0.000433697997509116,1.80345384037975e-09,2.69455210642674e-27,0.00409259924036217
"KL110","Southern Asia",0.00484419249944782,0.0040467332436096,0.000568499830457599,0.0137156324996234
