"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0192778839870792,0.0183681208523117,0.00751521024496098,0.0366858480774547
"KL10","Southern Africa",0.00422424398354452,0.00261586862797813,0.000135702671024368,0.0171429539888858
"KL10","Southern Asia",0.0446616199641164,0.0432793800838227,0.0218681258461225,0.0747827945938943
"KL10","Western Africa",0.0198478986719694,0.0143293665355899,0.00140610122342024,0.0690233077288522
"KL102","Eastern Africa",0.110007752366775,0.109125433602876,0.0778604632449024,0.146944949722403
"KL102","Southern Africa",0.128235928051689,0.125753394291418,0.0750595965091907,0.192859346251598
"KL102","Southern Asia",0.0228807333973393,0.0215448459469382,0.00794429999696255,0.0455514423228839
"KL102","Western Africa",0.109439702677128,0.103349914777134,0.0389402227009606,0.21433006002526
"KL104","Eastern Africa",0.0116622959706503,0.0107038326731321,0.00317407648331934,0.0255947399079806
"KL104","Southern Africa",0.00228739853595474,0.00110271850777446,4.17378187540256e-05,0.011304092662645
"KL104","Southern Asia",0.00876079223977408,0.00750801442412861,0.00137235735450989,0.0232421943506839
"KL104","Western Africa",0.00444692792756315,0.00200309162440694,6.6580939168742e-05,0.0234957695934538
"KL105","Eastern Africa",0.00547555483885162,0.00451256983237286,0.000682586893307134,0.0154612024531074
"KL105","Southern Africa",0.0015434202516991,0.000652880381866158,1.87454020708501e-05,0.00854276119533275
"KL105","Southern Asia",0.00456433515753586,0.00332148236458049,0.000296015347418146,0.016045807413637
"KL105","Western Africa",0.00291998045157446,0.00110796603562926,2.91600457387207e-05,0.0176314970608315
"KL106","Eastern Africa",0.0075374382223373,0.00661603475879691,0.00134829606632035,0.018973813568106
"KL106","Southern Africa",0.00128563139438344,0.000483196589898418,1.01302285342662e-05,0.00758916649809128
"KL106","Southern Asia",0.00185903014998195,0.00101465522557077,3.69214813945167e-05,0.00883075251710315
"KL106","Western Africa",0.00232764084973741,0.00075876031182423,1.42426933746889e-05,0.0149265293107728
"KL108","Eastern Africa",0.0146294877731613,0.0135765330104787,0.00484489013603588,0.0300081108364931
"KL108","Southern Africa",0.00239557494789971,0.00123396997985308,4.63186917676009e-05,0.0118620783213972
