"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00694269636745535,0.00661770979708796,0.0028585225143419,0.0128045187508936
"KL10","Southern Africa",0.00170469531198316,0.000779903540878215,1.41903275064045e-05,0.00866034419393269
"KL10","Southern Asia",0.0495247592936009,0.0490167011141451,0.0323196177654627,0.0701281166295365
"KL10","Western Africa",0.0137115407988707,0.00948243433801159,0.000611043302947481,0.0507029523441206
"KL102","Eastern Africa",0.258623919818171,0.258407073124347,0.232874143235223,0.285334851878837
"KL102","Southern Africa",0.130244004799304,0.129003054015312,0.0862155677494356,0.181102987209358
"KL102","Southern Asia",0.0588290111084178,0.0583094987902581,0.0400244853315915,0.0810272948635417
"KL102","Western Africa",0.143460665102086,0.138919898174654,0.070849427966744,0.238989055573477
"KL104","Eastern Africa",0.056479554652755,0.0561848521637855,0.0433405362181861,0.0712714764089061
"KL104","Southern Africa",0.00161631487038233,0.000701153297780481,1.13656938235608e-05,0.00840375951915259
"KL104","Southern Asia",0.0198965269867524,0.0193009299265394,0.00963195449899565,0.0335407493353423
"KL104","Western Africa",0.00404119066310598,0.00153717278315674,2.23729226158602e-05,0.0219829800313748
"KL105","Eastern Africa",0.0018651680752833,0.00157620949257605,0.000232353646617316,0.00513956984508641
"KL105","Southern Africa",0.000705974115469467,0.000179590146071932,1.40953622230943e-06,0.00459383985486824
"KL105","Southern Asia",0.00369493923310683,0.00307439579820831,0.000468482994716911,0.0103426339807842
"KL105","Western Africa",0.00167806327785004,0.00034663906486705,2.42955643186147e-06,0.0122979122136839
"KL106","Eastern Africa",0.00254472349622372,0.00221818539668654,0.000447099384535072,0.00645508564636311
"KL106","Southern Africa",0.0004635453035481,8.14494471400566e-05,3.67055795698801e-07,0.00345667097476102
"KL106","Southern Asia",0.000562182433328132,0.000220170463793822,1.8396828544651e-06,0.0031580518101175
"KL106","Western Africa",0.0010165542023934,0.000146492411696583,6.19297395475363e-07,0.00805733294473267
"KL108","Eastern Africa",0.0369107389078197,0.0366077793943378,0.0263579440773235,0.0491225307079457
"KL108","Southern Africa",0.00124547435101539,0.000476071621932291,6.58926302744971e-06,0.00706163430744306
"KL108","Southern Asia",0.00113408523338933,0.000658629470871556,1.97022745975926e-05,0.00496180105702596
"KL108","Western Africa",0.0115145215393261,0.00752744414494163,0.00035055078720761,0.0441965951521262
"KL109","Eastern Africa",0.000201409873689358,5.88226522507458e-05,2.55522231772038e-07,0.00129486323123676
"KL109","Southern Africa",0.000267805927889352,3.1819434240635e-05,8.57511868191767e-08,0.00215870522869269
"KL109","Southern Asia",0.00137511681076886,0.000861031323130253,2.33802316985965e-05,0.00557687783443945
"KL109","Western Africa",0.000589826409182805,5.27669760510425e-05,1.21240778232287e-07,0.00493638448091064
"KL11","Eastern Africa",0.00020180529044077,5.87410437624282e-05,2.57824091466315e-07,0.00127126923820622
"KL11","Southern Africa",0.00028211070095525,3.15460860038751e-05,7.82792243439234e-08,0.00229273892474862
"KL11","Southern Asia",0.00139253581995284,0.00084811598891425,2.53080420977235e-05,0.00574150171737098
"KL11","Western Africa",0.000604539830780497,5.36621240276586e-05,1.10915297623993e-07,0.00510756571149653
"KL110","Eastern Africa",0.00211424909193169,0.00182275212301414,0.000347635231890714,0.00559537807692694
"KL110","Southern Africa",0.00787354320497394,0.0064252310766011,0.000892454034190824,0.0233694204638969
"KL110","Southern Asia",0.00423312817514602,0.00366409795396767,0.000666713266558631,0.0109787898956993
"KL110","Western Africa",0.00278135063055728,0.000886711865255348,1.05872334566859e-05,0.0173802027166213
"KL111","Eastern Africa",0.00252735375165917,0.00223676789606122,0.000475896131752147,0.0062661250824245
