"locus","mean","median","lower","upper","subgroup"
"KL10",0.0252626267215381,0.0248249742728804,0.0148583461592295,0.0380983352090604,"Global"
"KL102",0.087818814922018,0.0874679285182796,0.068189030277353,0.109607253120792,"Global"
"KL104",0.00892369506388638,0.00843169187124409,0.00319417265508475,0.0172725427880792,"Global"
"KL105",0.00448652868389614,0.00402069878362028,0.00090467611620232,0.0106144820292529,"Global"
"KL106",0.00442593575710615,0.00394673307410585,0.000912243031804548,0.0105300575253468,"Global"
"KL108",0.00895499110966122,0.00846521142478967,0.00332701148198191,0.0173340344151411,"Global"
"KL109",0.00148366897459885,0.00104414218119813,4.05506743235376e-05,0.00540509832818239,"Global"
"KL11",0.00147927323168027,0.0010266756249067,3.96098223861609e-05,0.00565285540112979,"Global"
"KL110",0.00600263748975842,0.00551750139909842,0.00164413902135251,0.0131047826691065,"Global"
"KL111",0.00445537669245221,0.0039854972805236,0.000939063504494766,0.0106207810233593,"Global"
"KL112",0.0282829957206335,0.0277887686898,0.0173674048800591,0.0414799584545628,"Global"
"KL114",0.00148043303979663,0.00103406309287152,4.33580853738239e-05,0.00545267086180042,"Global"
"KL116",0.00300260086823544,0.00251644237455178,0.000347181511371781,0.00842200991009711,"Global"
"KL117",0.00294603315071007,0.00250905589148021,0.000348094325378785,0.00809700886941657,"Global"
"KL12",0.0015032278947217,0.001053151576688,4.26026024337647e-05,0.00546062976882564,"Global"
"KL122",0.0163797986565561,0.0159044741611455,0.00825315643395104,0.0270570222023447,"Global"
"KL124",0.00297996609657292,0.00252150131447182,0.000357961060856184,0.00818345350978035,"Global"
"KL125",0.00146467560930952,0.00102226237994826,3.92347062227259e-05,0.00533350384060128,"Global"
"KL127",0.00298039526526863,0.00244511420843711,0.000342779759942578,0.00848575840259927,"Global"
"KL128",0.00450596160150609,0.00402679755107123,0.000931397374537125,0.0107823547917205,"Global"
"KL13",0.00300336209180765,0.00254808046185194,0.000351309397302957,0.00848229357585235,"Global"
"KL131",0.00296594739034512,0.00248742671020067,0.000331289186592361,0.00816623334227358,"Global"
"KL136",0.0118878287106041,0.0114408520197151,0.00511861616493049,0.0212157125567433,"Global"
"KL139",0.00147456579363192,0.00102784773122709,3.7449951904024e-05,0.00537006430892982,"Global"
"KL14",0.00597458846152059,0.00555355434807001,0.00163406904783807,0.0130563636841466,"Global"
