"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0194784061769719,0.0184260003927336,0.00769415428943983,0.0373039421579959
"KL10","Southern Africa",0.00481198139663708,0.00287886736158445,0.000168274338769995,0.0206326846264426
"KL10","Southern Asia",0.0483091049411569,0.0469526610703635,0.0249742394537476,0.0785137107839665
"KL10","Western Africa",0.0224579771818897,0.0163698599492666,0.00146526923621558,0.0779782293319827
"KL102","Eastern Africa",0.112905807752167,0.112119780954605,0.0803232934420583,0.149828790146227
"KL102","Southern Africa",0.154900741824495,0.152443536699011,0.0916281716193717,0.230847574017108
"KL102","Southern Asia",0.0226712270436736,0.0214285319094602,0.00801835831690004,0.0450430977929058
"KL102","Western Africa",0.126258783819446,0.119819639338742,0.0444707793493099,0.245266621677032
"KL104","Eastern Africa",0.0116788409061065,0.0106976856744526,0.0031264909672002,0.0255567022595224
"KL104","Southern Africa",0.0024517785596502,0.00117733747324856,3.90552373474828e-05,0.0127877230603763
"KL104","Southern Asia",0.00888737409845319,0.00754656616374914,0.00139554434260548,0.0242067122637259
"KL104","Western Africa",0.0048145553511479,0.00199432717298916,6.14278394103799e-05,0.0273821905905092
"KL105","Eastern Africa",0.00550911852991655,0.0045932772407427,0.00075042309245829,0.0152806038094575
"KL105","Southern Africa",0.00166023220041994,0.00066608614817093,1.59407839453245e-05,0.0092677013744315
"KL105","Southern Asia",0.00454111436075572,0.00336918941485354,0.000327470003964909,0.0150780683688248
"KL105","Western Africa",0.00305682811860226,0.00109447076751191,2.73636261179275e-05,0.0190164193709958
"KL106","Eastern Africa",0.00755877970699065,0.00656750442085089,0.00133721047646491,0.0194124458291446
"KL106","Southern Africa",0.00136835684948368,0.000485855834813756,1.16991077884756e-05,0.00811444139556977
"KL106","Southern Asia",0.00187357568549196,0.00105133234411907,3.70757255429588e-05,0.00851477877519885
"KL106","Western Africa",0.00250893447913573,0.000781481785473462,1.7426170647004e-05,0.0163247464720975
"KL108","Eastern Africa",0.0146662727958529,0.013702566035223,0.0046840494988572,0.030376811298016
"KL108","Southern Africa",0.0026690287934393,0.00128138510007371,4.46484854578353e-05,0.0136585754211002
"KL108","Southern Asia",0.00301033468692443,0.00198504869053129,0.000136411271354576,0.0116866986919002
"KL108","Western Africa",0.0142350807079478,0.00892830677837445,0.000540870682150827,0.0584860727899401
"KL109","Eastern Africa",0.000841561894014782,0.000339292309071594,4.16291114469983e-06,0.00477246343241429
"KL109","Southern Africa",0.000737236919612382,0.000176007900162722,1.56658341285282e-06,0.00502801707057343
"KL109","Southern Asia",0.00284862096516804,0.00175312897298858,4.36655300375748e-05,0.0118725853984778
"KL109","Western Africa",0.00134041458911713,0.000271075072466135,2.20594945692409e-06,0.0100715919340347
"KL11","Eastern Africa",0.000815850770550198,0.000341338007912338,5.17519791277866e-06,0.00442166878302708
"KL11","Southern Africa",0.000717671201635527,0.000175437418736373,1.55989209767208e-06,0.0050795518071769
"KL11","Southern Asia",0.00282667565222984,0.00169282630301182,5.91785865133069e-05,0.0116677269874185
"KL11","Western Africa",0.0012770224025471,0.000261835012208882,2.49564351094541e-06,0.00956510366320414
"KL110","Eastern Africa",0.00636795310737306,0.00537987844897616,0.000999948322568985,0.0174811275951287
"KL110","Southern Africa",0.00647807282313246,0.00421923976149522,0.000292231004524796,0.0253519183771223
"KL110","Southern Asia",0.00556932814462671,0.00438824609953464,0.000515264014922704,0.017543102805622
"KL110","Western Africa",0.00484325880240157,0.00202859841346001,6.04626520523065e-05,0.0263535232769525
"KL111","Eastern Africa",0.00758000944970661,0.00662830889799708,0.00141479038725759,0.0193472246502435
"KL111","Southern Africa",0.00137132978227688,0.000520728157610454,1.12730580063887e-05,0.0081769467163596
"KL111","Southern Asia",0.001877499674669,0.00103855024969503,3.97655831736289e-05,0.0083407543496818
"KL111","Western Africa",0.00243288497496641,0.00078046623462653,1.695973840585e-05,0.0156550545211889
"KL112","Eastern Africa",0.0133853826552893,0.0123603147154906,0.0041729981669432,0.0280195136470434
"KL112","Southern Africa",0.00977354237066543,0.00731027462647889,0.000809066886603645,0.0328540934505251
"KL112","Southern Asia",0.0608652188958693,0.0595239148110228,0.0338658009650717,0.0957816442199519
"KL112","Western Africa",0.00915293278768138,0.0049556509374255,0.000226321252033176,0.0424111552985644
"KL114","Eastern Africa",0.000834830566369019,0.000336634255310034,4.513202907447e-06,0.00475016170404015
"KL114","Southern Africa",0.000741821204393359,0.000167839974360923,1.48336978246625e-06,0.00531108389675972
"KL114","Southern Asia",0.00285279385845056,0.00175433912073905,4.46420217564069e-05,0.0119434177771026
"KL114","Western Africa",0.00129745588554385,0.000260753769600991,2.0626169984456e-06,0.00967332372126481
"KL116","Eastern Africa",0.0016046126364685,0.000936408243864312,3.95183850754886e-05,0.00706493252197747
"KL116","Southern Africa",0.00173735727812556,0.000667169388397874,1.73893155986509e-05,0.01028310984085
"KL116","Southern Asia",0.00222137190553045,0.00130454646710781,5.89629056954564e-05,0.00956908131469437
"KL116","Western Africa",0.0230373485595913,0.0163672156550105,0.00127329908039784,0.0819233167368728
"KL117","Eastern Africa",0.00118839191524573,0.000594230101240886,1.68126355779881e-05,0.00579320576559977
"KL117","Southern Africa",0.0011441830074092,0.000371081624701446,6.46219087564204e-06,0.0069909127632992
"KL117","Southern Asia",0.00657316133340266,0.00520595531802728,0.000614789814538709,0.0203745164774575
"KL117","Western Africa",0.0020515688366249,0.000577206916218599,8.85935493245801e-06,0.0137984840241166
"KL12","Eastern Africa",0.000824972608867914,0.000330271615667507,4.23812697958731e-06,0.00460248554583446
"KL12","Southern Africa",0.000722847023957323,0.000173902346284162,1.64650021878036e-06,0.0051776037082533
"KL12","Southern Asia",0.00284814220327536,0.00170812089593453,5.09729591649423e-05,0.0119184299588919
"KL12","Western Africa",0.00127270496824715,0.000259066305418661,2.07852061738071e-06,0.00956275408523927
"KL122","Eastern Africa",0.019041470680979,0.0180997222420126,0.00737654473383601,0.0361477990109476
"KL122","Southern Africa",0.00444559185967107,0.00255806861558863,0.000128141256486234,0.019691047478507
"KL122","Southern Asia",0.0145779875629863,0.0132215708648147,0.00364785473131912,0.0332396158393752
"KL122","Western Africa",0.0379421857122078,0.0307752264617801,0.00447286816796246,0.110680719168978
"KL124","Eastern Africa",0.00117348637217526,0.000591573603201648,1.75125161328051e-05,0.00578101562382735
"KL124","Southern Africa",0.00111472262589106,0.000365569502835082,6.8671312453987e-06,0.0072153805604302
"KL124","Southern Asia",0.00653706790369977,0.00520984213013372,0.000612471602976673,0.019741568826003
"KL124","Western Africa",0.0019721083579813,0.000568520880214118,9.39028397279026e-06,0.0136233845117678
"KL125","Eastern Africa",0.000816242112631742,0.000335752031617254,5.08278388540552e-06,0.00446010491823689
"KL125","Southern Africa",0.000725412718797779,0.000171700088037942,1.41595059939864e-06,0.00500791659344808
"KL125","Southern Asia",0.00284832981120129,0.00172220881354709,5.10892690730592e-05,0.0117217618088123
"KL125","Western Africa",0.00125695793681417,0.000266256225231175,1.93590403194096e-06,0.00927778888408084
"KL127","Eastern Africa",0.00288531994666081,0.00209680250945829,0.000146755644734057,0.0101979702130337
"KL127","Southern Africa",0.00132145190617326,0.000466742812462525,9.82334221314483e-06,0.00795811805711791
"KL127","Southern Asia",0.00396287866549182,0.00279686698645405,0.000217455154554989,0.0139910595270015
"KL127","Western Africa",0.00232499684428261,0.000749735637451716,1.53172965593641e-05,0.01500290632198
"KL128","Eastern Africa",0.00136443207408477,0.000749165871610488,2.63690835549254e-05,0.0063328709760833
"KL128","Southern Africa",0.00137085562234806,0.000494561137035127,1.06925083945226e-05,0.00849965534157961
"KL128","Southern Asia",0.0104859365981959,0.00918447917102428,0.00192122346936053,0.0263228332941091
"KL128","Western Africa",0.00250815482704033,0.000787742248383494,1.59672537603922e-05,0.0161429221675646
"KL13","Eastern Africa",0.00474424454185415,0.00379869075293305,0.000467511254451164,0.0145796659707317
"KL13","Southern Africa",0.00112368354872118,0.000344717835171651,6.36303902339391e-06,0.00732642883918164
"KL13","Southern Asia",0.0015933187128389,0.000809322700898846,2.34382915388152e-05,0.00776401880151787
"KL13","Western Africa",0.00207178907587411,0.000544220575474532,8.93644223273914e-06,0.0145963391804307
"KL131","Eastern Africa",0.00114908785277825,0.000601482886726929,1.9166724165789e-05,0.00521822227886572
"KL131","Southern Africa",0.00115549279556421,0.000360727139914406,6.92873109783369e-06,0.00764364110772851
"KL131","Southern Asia",0.00657099250225631,0.00525337617816786,0.000635561049144072,0.0198119132721721
"KL131","Western Africa",0.00202420811202904,0.000575261093406264,1.12264979621044e-05,0.0135775957042206
"KL136","Eastern Africa",0.00222272571207991,0.0015397918806869,0.000103853353457772,0.00822765977301571
"KL136","Southern Africa",0.00686896980551645,0.0046815546540705,0.000375269609130321,0.0258949458349885
"KL136","Southern Asia",0.0291527615808739,0.0278628871884549,0.0118515233937682,0.0537239326076112
"KL136","Western Africa",0.00526933560269252,0.00239963755016329,7.30776393979898e-05,0.0277147120119575
"KL139","Eastern Africa",0.00204414946981251,0.00126227122842318,2.95524900246487e-05,0.00832984861245254
"KL139","Southern Africa",0.000695488189587175,0.000176908781257202,1.52339887990914e-06,0.00484162058893094
"KL139","Southern Asia",0.00114114725883583,0.000451741287111971,5.58931334555945e-06,0.00644264907964875
"KL139","Western Africa",0.00124302659370803,0.000262951132633218,2.12223279440922e-06,0.009018106664021
"KL14","Eastern Africa",0.00595406733627992,0.00501856086483805,0.000858225792074148,0.0161412589870448
"KL14","Southern Africa",0.00202694977517793,0.000888213982032324,2.8349898707729e-05,0.0108355362888459
"KL14","Southern Asia",0.00828484033409015,0.00698259280491441,0.00119990367757889,0.0227851244623554
"KL14","Western Africa",0.00370040022747057,0.00144027840528818,4.00076761603176e-05,0.0211550042128337
"KL140","Eastern Africa",0.000837075915556428,0.000336254952853142,5.03835075543946e-06,0.00453955073905732
"KL140","Southern Africa",0.0007280106227876,0.000177464516481556,1.82527120630127e-06,0.00511335879931846
"KL140","Southern Asia",0.00286102950617831,0.00173808066091984,5.742544510744e-05,0.0116944675370745
"KL140","Western Africa",0.0012563887679226,0.000267645721535283,2.48345894614679e-06,0.00910139967221706
"KL141","Eastern Africa",0.00083328963722303,0.000337354076206773,3.86359581701073e-06,0.00466529186938223
"KL141","Southern Africa",0.000715879412346761,0.000174150035334379,1.59649767081799e-06,0.00509212323312753
"KL141","Southern Asia",0.00280716327150045,0.00170475084583868,4.74477077463258e-05,0.0117918979498813
"KL141","Western Africa",0.00120600467497208,0.000262026676535211,2.46268145227253e-06,0.00871549313470089
"KL142","Eastern Africa",0.00761366288705254,0.00657027076960065,0.00137827124363911,0.0193782264476438
"KL142","Southern Africa",0.00139033108482109,0.000495183209630745,1.04471843240411e-05,0.00835049536017766
"KL142","Southern Asia",0.00187475353931072,0.00105360013725887,3.70518403301714e-05,0.00837966128517134
"KL142","Western Africa",0.0025750813257219,0.000817343452242892,1.47976481519887e-05,0.0162400455975725
"KL143","Eastern Africa",0.00203619162458798,0.00125238558636726,3.24955166723586e-05,0.00852179355967292
"KL143","Southern Africa",0.000775053494062734,0.000170478862334004,1.34121246582938e-06,0.00557000888309675
"KL143","Southern Asia",0.00111336975713588,0.000453157666415018,6.46185224038744e-06,0.00622994334033469
"KL143","Western Africa",0.0012398552759236,0.000255322379938737,2.37714101616187e-06,0.00907014513585931
"KL144","Eastern Africa",0.000831469735582663,0.000342235084151468,4.60500682818313e-06,0.00457909772140334
"KL144","Southern Africa",0.00071734729042088,0.000175134270708861,1.48587930314642e-06,0.00504133004790353
"KL144","Southern Asia",0.00284066786557663,0.00173540976803629,5.47167841674557e-05,0.0119171180477026
"KL144","Western Africa",0.00128853605684479,0.00026976014369614,2.41642851345053e-06,0.00889881607401473
"KL145","Eastern Africa",0.000838334891457841,0.000330649460911224,3.47100323175645e-06,0.00466339760129639
"KL145","Southern Africa",0.000735166379371321,0.000173142404510618,1.27607357644373e-06,0.00524894683692038
"KL145","Southern Asia",0.00280379164726071,0.00168326382178586,3.72564705217753e-05,0.0121125317533136
"KL145","Western Africa",0.0013124210293654,0.000259874913763592,2.05152445608565e-06,0.00938348943612242
"KL146","Eastern Africa",0.00149203110942283,0.000860138974941234,3.40329877421063e-05,0.00644591487961706
"KL146","Southern Africa",0.00468897759113722,0.00268686661916335,0.000114686834596992,0.0208346383938162
"KL146","Southern Asia",0.00439688607611083,0.00326413216706418,0.000270665279378684,0.0149901403655692
"KL146","Western Africa",0.00291351883124077,0.00100169896989252,2.15101736678245e-05,0.0178623385876005
"KL149","Eastern Africa",0.00521693539573472,0.00433360607867716,0.000666541398818552,0.0147058389295518
"KL149","Southern Africa",0.115154230889876,0.112575680839928,0.0609569042657143,0.18302290831221
"KL149","Southern Asia",0.00727254891930707,0.00600235855937928,0.000909930022939684,0.0209599597828796
"KL149","Western Africa",0.00847867347590372,0.00443252422810612,0.000202250142494629,0.0403424793346402
"KL15","Eastern Africa",0.0509125026607326,0.0498468085676573,0.0293343561742849,0.0781412607823617
"KL15","Southern Africa",0.0118125460471799,0.00936633955434085,0.00113416314813662,0.0367054017321861
"KL15","Southern Asia",0.0931822825385866,0.09200723082372,0.059118528013942,0.134093278160118
"KL15","Western Africa",0.0125176175491343,0.00751549360455808,0.000375425577862955,0.053174784919563
"KL151","Eastern Africa",0.00663639279649006,0.00572297711040613,0.0011117363748218,0.0174638516038892
"KL151","Southern Africa",0.0205668389449738,0.0176426631899951,0.003497268375014,0.0537478803565771
"KL151","Southern Asia",0.00305049830934383,0.0020717397734368,0.000141755032232391,0.0115115405920922
