"locus","mean","median","lower","upper","subgroup"
"KL10",0.0188057825439801,0.0186271479184134,0.0130631777214284,0.0255845791727129,"Global"
"KL102",0.186155148874226,0.186032618615851,0.1686922186688,0.204100836938657,"Global"
"KL104",0.0386707303426163,0.0385031647003737,0.0302227756173796,0.0483946790888534,"Global"
"KL105",0.00227883559643068,0.0020895356987143,0.000626560882019755,0.00500190320229473,"Global"
"KL106",0.00171015532397793,0.00152172898215837,0.00037297511296685,0.00411237578910189,"Global"
"KL108",0.0221972488710765,0.0220632514223059,0.0158677511533733,0.0294408162118751,"Global"
"KL109",0.000570829726503697,0.000391090713444143,1.37677193778722e-05,0.00210649460689033,"Global"
"KL11",0.000574329684451925,0.000397986469084892,1.32173448842093e-05,0.00210209045968631,"Global"
"KL110",0.0034073469541451,0.00322420596887945,0.00123148549896415,0.00663665603061816,"Global"
"KL111",0.0017057341120047,0.00153149514326321,0.000368956471994568,0.00404022880999157,"Global"
"KL112",0.0165204419453694,0.0163245065014919,0.011143075724442,0.0228758598518801,"Global"
"KL114",0.000564167806237417,0.000391223300348138,1.47800799335672e-05,0.00210517626212214,"Global"
"KL116",0.00169735399127691,0.00152692661327889,0.000349449997335972,0.00399231102488431,"Global"
"KL117",0.00228611888061845,0.00211271935640057,0.00063253045036567,0.00495231524833672,"Global"
"KL12",0.000577965562668305,0.000402503141270576,1.66781706446081e-05,0.00209903164527619,"Global"
"KL122",0.0130999701495159,0.0128884930584205,0.00830718756558456,0.0190052694306468,"Global"
"KL124",0.00115069755394375,0.000959814833560467,0.000140753838062337,0.00323435600527494,"Global"
"KL125",0.00114637353310723,0.000956455206870061,0.000131170312094674,0.00319734869196947,"Global"
"KL127",0.0056773534043245,0.00550290353545379,0.00271953936058548,0.00966565713276869,"Global"
"KL128",0.00170571924501956,0.00149718787886597,0.000348449099509328,0.0041400954638332,"Global"
"KL13",0.0011407240053193,0.000967812571971459,0.000139625471859624,0.00311563117885749,"Global"
"KL131",0.00113733978573291,0.00095664323525038,0.00014442905171291,0.00315549890294777,"Global"
"KL136",0.00626559810018598,0.0060993801365922,0.00314931692844229,0.010381120578781,"Global"
"KL139",0.000572139760122328,0.000391077653486228,1.38354937557984e-05,0.00211288456975428,"Global"
"KL14",0.00227750447238207,0.00209999084970477,0.000623676083710463,0.00499514640408187,"Global"
"KL140",0.000581500327021435,0.000405731915650358,1.63457207751355e-05,0.00216490833634835,"Global"
"KL141",0.000573266261762135,0.000403276157386189,1.47648685793326e-05,0.00205840434038227,"Global"
"KL142",0.00171171093272338,0.00152287828011939,0.000340327935745364,0.00408823127995722,"Global"
"KL143",0.00114619255907481,0.000975222636142562,0.000145595250874847,0.00314653075148082,"Global"
"KL144",0.000572933324356043,0.000392032687882416,1.34270107327822e-05,0.0020973837887128,"Global"
"KL145",0.00684240029255207,0.00665846980046807,0.00356611996975204,0.0110592037304332,"Global"
"KL146",0.00112936842718842,0.000952486647609733,0.000140042957784865,0.0031362381015116,"Global"
"KL149",0.0279657068705588,0.0278889988651912,0.0214699134250387,0.0349709695939471,"Global"
"KL15",0.0950843485981198,0.0949905905674664,0.0824686519603431,0.108328965214143,"Global"
"KL151",0.00628652354259777,0.00610888682315862,0.00318512492650518,0.0104359700889091,"Global"
"KL155",0.00115298262795418,0.000966561029225431,0.000135567027928067,0.00319963475439738,"Global"
