"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00692768256530284,0.00663800203379329,0.00284030652467135,0.0126944074905422
"KL10","Southern Africa",0.00180225187516387,0.000789548764000341,1.23469991477195e-05,0.00945053834262479
"KL10","Southern Asia",0.0416725102748727,0.0410129829048457,0.0260694445752003,0.0613199251516756
"KL10","Western Africa",0.0149365307396824,0.0103596620682938,0.000634299832842664,0.0547807408921384
"KL102","Eastern Africa",0.258972715457855,0.258745139715303,0.232632222034558,0.286207257978695
"KL102","Southern Africa",0.156430369593329,0.155144328161363,0.106028208182128,0.214912306004572
"KL102","Southern Asia",0.0618663585531109,0.061263022573212,0.0421451511674801,0.0846675510026426
"KL102","Western Africa",0.161057745853137,0.15632720127877,0.0787674599242921,0.26850168038487
"KL104","Eastern Africa",0.0563797834393246,0.056103737751377,0.0433318265704318,0.0710818964630793
"KL104","Southern Africa",0.0015579173889622,0.000589718295914787,7.78609966421883e-06,0.00857797259913175
"KL104","Southern Asia",0.0105794380493473,0.00987314890771997,0.00352517102719579,0.021552679183585
"KL104","Western Africa",0.00380698159805323,0.00128793551295171,1.156730021946e-05,0.0227769375512584
"KL105","Eastern Africa",0.00186010332456963,0.00156403631391019,0.00024120714837921,0.00518924361049128
"KL105","Southern Africa",0.000735643319206754,0.000182461638866337,1.22962271678389e-06,0.00485503783775334
"KL105","Southern Asia",0.00394283878276779,0.00328961063400205,0.000531494698520182,0.0111689825905772
"KL105","Western Africa",0.00165035379053049,0.00032878398010509,1.92863470989381e-06,0.0123517865767649
"KL106","Eastern Africa",0.00251745320070272,0.00221330782572548,0.000459741909489825,0.00626827348163076
"KL106","Southern Africa",0.000451820599727668,7.59602872518248e-05,3.37791278987448e-07,0.00349447040183695
"KL106","Southern Asia",0.000588572667623462,0.000223455601240901,1.88869550584371e-06,0.00337787809872334
"KL106","Western Africa",0.000988012035323892,0.000130272855393475,4.81443137353691e-07,0.00804604965841627
"KL108","Eastern Africa",0.0367584166212386,0.036442733894332,0.0259658642813915,0.0491564605526533
"KL108","Southern Africa",0.00138786805440075,0.000491218371179282,4.62518859111323e-06,0.00840783785038917
"KL108","Southern Asia",0.00122631925087312,0.000711073549400424,1.9911613679152e-05,0.00535423503352768
"KL108","Western Africa",0.0125720120179253,0.00791439800963942,0.000371784628817692,0.0517401479751771
"KL109","Eastern Africa",0.000204000871714036,5.53611710450036e-05,2.15496474267006e-07,0.00131372557042667
"KL109","Southern Africa",0.000292605130281413,2.81518086249989e-05,6.37532149249904e-08,0.00249247892393425
"KL109","Southern Asia",0.00146778581570385,0.000904957500009653,2.05007188590829e-05,0.00617616846009219
"KL109","Western Africa",0.000556528595209064,4.71294378802664e-05,1.0894839060714e-07,0.00480837485047973
"KL11","Eastern Africa",0.000205920999846776,5.58544348674406e-05,2.22861945179309e-07,0.00132315221198182
"KL11","Southern Africa",0.000272638518147702,2.71652985243192e-05,5.42494633283193e-08,0.00240966040273618
"KL11","Southern Asia",0.00149466030873983,0.000911403015615155,2.26713773797364e-05,0.00613965323110204
"KL11","Western Africa",0.000597175057415849,4.54401037074974e-05,8.73294442615284e-08,0.00528271407063528
"KL110","Eastern Africa",0.00211434670528337,0.00180916564786643,0.000328371085033733,0.00563262752631087
"KL110","Southern Africa",0.00912713857940837,0.00731829580130655,0.000998893589302788,0.027446919431112
"KL110","Southern Asia",0.0044670217388299,0.00382312561386456,0.000678796488686557,0.0119200175219521
"KL110","Western Africa",0.00300839770246854,0.000885651342649035,7.80295617637086e-06,0.0197793311332729
"KL111","Eastern Africa",0.00255651086738257,0.00224152268634036,0.000469694782022171,0.0064503023643426
"KL111","Southern Africa",0.000475901223712982,7.58046287823614e-05,3.23240205476987e-07,0.00362805921567263
"KL111","Southern Asia",0.000587301025090429,0.000225010027675432,2.45012448461251e-06,0.00321368469175916
"KL111","Western Africa",0.00101758804357456,0.000129504791748919,4.83155756242924e-07,0.00840859814797321
"KL112","Eastern Africa",0.00408153431710458,0.00377920665498869,0.00119600378787269,0.00866516160203995
"KL112","Southern Africa",0.00521991330582112,0.00370067563915326,0.000239774294668496,0.0189124593906839
"KL112","Southern Asia",0.0479632375174569,0.0473373975410322,0.0303359848778102,0.0687228404981032
"KL112","Western Africa",0.0041890832652953,0.0014772171023389,1.60212201610704e-05,0.024643123530867
"KL114","Eastern Africa",0.000204678531700543,6.00148470562583e-05,2.44750079025849e-07,0.00128178604206543
"KL114","Southern Africa",0.000293847771998007,2.95972149150792e-05,6.62989594432212e-08,0.00255909349319325
"KL114","Southern Asia",0.00151895817879652,0.000938741111863199,2.54793794321156e-05,0.00626914013506549
"KL114","Western Africa",0.000626797921892446,5.13517239926918e-05,8.90122882772451e-08,0.00534307999990276
"KL116","Eastern Africa",0.000409118141214591,0.000200802734931698,3.49234192834252e-06,0.00198858803581044
"KL116","Southern Africa",0.000757377307669595,0.000190131592089539,1.35223250853431e-06,0.00505095772538069
"KL116","Southern Asia",0.000838441094189465,0.000399913605677816,6.89718648337405e-06,0.00419467473073941
"KL116","Western Africa",0.0366956129857999,0.0315624753671451,0.00551843329804821,0.097157133933379
