"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0148115218761318,0.0122405588342574,0.00199528975060538,0.0417939033668287
"KL10","Southern Africa",0.0211667446666003,0.016134631991205,0.00196141406161578,0.0687366157595658
"KL10","Southern Asia",0.0421443910211468,0.0301123445397387,0.00292810034884694,0.151297548271427
"KL10","Western Africa",0.0319982291211661,0.0242569972096777,0.00301744051346989,0.104532396592122
"KL102","Eastern Africa",0.170790387003374,0.168773396572013,0.106668081288845,0.24536299168172
"KL102","Southern Africa",0.146868339992496,0.141933346341461,0.06441449436403,0.256434085092986
"KL102","Southern Asia",0.0912560713608294,0.0777885827179026,0.0125747817150167,0.249097992552251
"KL102","Western Africa",0.11351351586561,0.105375825281554,0.0317005971252828,0.240790154118509
"KL104","Eastern Africa",0.0256520850272259,0.0230048456736616,0.00563665122726355,0.0616055663691156
"KL104","Southern Africa",0.00942432893219637,0.00577237887702584,0.00028959806640746,0.0387716792840088
"KL104","Southern Asia",0.0342005551907741,0.0229333458691832,0.00189336249214615,0.129306014243902
"KL104","Western Africa",0.0139257171623118,0.00861284266318009,0.000436909670777997,0.059201281331687
"KL105","Eastern Africa",0.0137138722388398,0.0110466030850164,0.00134644510969137,0.0407106272645902
"KL105","Southern Africa",0.00505915701092645,0.00250478360577288,6.94128686114432e-05,0.0248847918585649
"KL105","Southern Asia",0.00805409134267825,0.00346443549958591,8.88486061018141e-05,0.0443207497987383
"KL105","Western Africa",0.00739726994840411,0.00356518158601468,0.000114669599073863,0.0364051532054203
"KL106","Eastern Africa",0.00628039391543685,0.00406568359467228,0.000132762128266516,0.0257151556275596
"KL106","Southern Africa",0.00316694214878147,0.00123596801155436,1.67743036627112e-05,0.0178711257122643
"KL106","Southern Asia",0.00513666616348821,0.00162949251968856,1.91400442278856e-05,0.0336493666068613
"KL106","Western Africa",0.00479056490688224,0.00175714461724313,2.60054328576299e-05,0.0277972461733472
"KL108","Eastern Africa",0.0174102418588585,0.0148531074093437,0.00272797132616026,0.0463953409378185
"KL108","Southern Africa",0.00784988780702165,0.00464495144025926,0.000224368033444433,0.0339678156623712
"KL108","Southern Asia",0.013264842408805,0.00667891510618064,0.000277209392437612,0.0641645423386207
"KL108","Western Africa",0.023126158096981,0.0162836678295617,0.00153823220114313,0.084743222539339
"KL109","Eastern Africa",0.00621679749859111,0.00400340877581595,0.000121780078130077,0.0246300778586564
