"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00560731694628053,0.0043316351687038,0.000439443128679028,0.0179468919623582
"KL10","Southern Africa",0.0144333680382995,0.0103142173864626,0.000686061248214467,0.0515034414272408
"KL10","Southern Asia",0.0342602786530031,0.0237066079311882,0.00134356639582445,0.129621048034092
"KL10","Western Africa",0.0262134915411772,0.0191335284021332,0.00131465112799056,0.0910689596505521
"KL102","Eastern Africa",0.385077572419915,0.384688884572243,0.325575989729562,0.44509910341012
"KL102","Southern Africa",0.18430309436106,0.181368970883827,0.100588905375909,0.286755500601323
"KL102","Southern Asia",0.0553351903836339,0.0444119869521504,0.00490056331266754,0.168680105892078
"KL102","Western Africa",0.0885987042328284,0.0813784916954219,0.0224210136949382,0.192737556217909
"KL104","Eastern Africa",0.0867305425600855,0.0857734401641639,0.0539622223282309,0.12536598967658
"KL104","Southern Africa",0.00566303654337308,0.00273706925000168,4.44411541548554e-05,0.0278975034220402
"KL104","Southern Asia",0.0712997671830108,0.0600341785603064,0.00909866861714333,0.195520929469135
"KL104","Western Africa",0.0104319302475058,0.00505018758100907,8.96009325107295e-05,0.0510442574530838
"KL105","Eastern Africa",0.00696134766363938,0.00570001442782934,0.000697775050585092,0.0208167350728029
"KL105","Southern Africa",0.00198353461228172,0.000422529773116495,1.74399272322156e-06,0.0142389251653341
"KL105","Southern Asia",0.00379669786297366,0.000692736038690895,2.27071167478198e-06,0.0281169633947311
"KL105","Western Africa",0.00374239976397276,0.000838806012979423,3.33008122405537e-06,0.0270406485006438
"KL106","Eastern Africa",0.00319907421043766,0.00206377160321355,6.26413562101793e-05,0.0125649995182959
"KL106","Southern Africa",0.0014773623501273,0.000228614196847206,5.11932749668515e-07,0.0113721262131246
"KL106","Southern Asia",0.00270815458196403,0.000331239158480021,6.97649392437125e-07,0.0224107478221597
"KL106","Western Africa",0.0026568971578965,0.00045090492882089,1.16621577637334e-06,0.0206801190617074
"KL108","Eastern Africa",0.0200237399867763,0.0187205898661647,0.00653316509741354,0.0406219597940051
"KL108","Southern Africa",0.00384033988683599,0.00148537415678981,1.42864344725004e-05,0.0226340940394011
"KL108","Southern Asia",0.00807393398822921,0.00247825491411556,1.66759695437114e-05,0.0512584295695016
"KL108","Western Africa",0.0226171078552507,0.015487773655074,0.000767997675707877,0.085521260629685
"KL109","Eastern Africa",0.00314100898176248,0.0020015223458112,5.86619260759973e-05,0.012541356304258
"KL109","Southern Africa",0.00142073640485876,0.000227639745477259,4.5370510490491e-07,0.0110966739185864
"KL109","Southern Asia",0.00272163868694267,0.000345100029173392,6.44669975816727e-07,0.0224245795905023
"KL109","Western Africa",0.00268117258979822,0.000437296622240025,1.09416949422719e-06,0.0204876145006981
"KL110","Eastern Africa",0.0031763628834841,0.00204491924308697,6.75931709734002e-05,0.0127097304123619
"KL110","Southern Africa",0.00144587290909954,0.00022721691624669,4.7528178718944e-07,0.0114844239569478
"KL110","Southern Asia",0.00268263384172393,0.000331106465553587,5.77180061998298e-07,0.0215539052157774
"KL110","Western Africa",0.00264340855045779,0.0004563269212648,9.16165308455e-07,0.0199704324637263
"KL112","Eastern Africa",0.00197301181673202,0.00103528107814692,1.63246591119936e-05,0.00930039301290082
"KL112","Southern Africa",0.00346588730667364,0.00122173595281389,1.09966464977433e-05,0.0204346495663577
"KL112","Southern Asia",0.133360875290867,0.122324979579395,0.0320972001395883,0.292458833804687
"KL112","Western Africa",0.00649774373266368,0.00237767492355243,1.84378387247543e-05,0.0392181522679587
"KL113","Eastern Africa",0.00316214889806143,0.00206314126776761,5.45094925891037e-05,0.0128103960958593
"KL113","Southern Africa",0.00142167365835183,0.000228909481234112,5.18409171965215e-07,0.0110369720286955
"KL113","Southern Asia",0.00264039113277296,0.000338819987916519,7.86024300987824e-07,0.0219187551945258
"KL113","Western Africa",0.00264951454654073,0.000450462927011919,1.08734091877127e-06,0.0204730115302523
"KL116","Eastern Africa",0.00170379632916117,0.000828208370204579,1.15059336520213e-05,0.00848671149909055
"KL116","Southern Africa",0.00295352982526775,0.000894681523606864,4.50604715102523e-06,0.0184571480927073
"KL116","Southern Asia",0.00563958265252891,0.00145024302530062,6.53567278506093e-06,0.0371028065396459
"KL116","Western Africa",0.0633559147022954,0.0561197898493931,0.0105797545357494,0.157188137843079
"KL118","Eastern Africa",0.00311824203969871,0.00199751816656305,4.95473281836137e-05,0.0125914627931382
"KL118","Southern Africa",0.00143134863115751,0.000228627288268897,4.73665052347238e-07,0.0107353146336085
"KL118","Southern Asia",0.00270167817878432,0.000335493359061396,7.28754252883648e-07,0.0218094548608315
"KL118","Western Africa",0.00273940126981484,0.000446170420808558,1.13520390412116e-06,0.0215704398258686
"KL122","Eastern Africa",0.0166383599773736,0.0153170495576516,0.00479702513976583,0.0357236187057123
"KL122","Southern Africa",0.014212210465896,0.0100392808537876,0.000692181954002761,0.0501854885764978
"KL122","Southern Asia",0.00996563595931486,0.00381496818202101,4.07151451059959e-05,0.0578010711048539
"KL122","Western Africa",0.0254317121352851,0.0187047632434547,0.0013293010963625,0.0882842172323693
"KL125","Eastern Africa",0.00116765555356642,0.00045326150032622,2.81937853760304e-06,0.0065016959612143
"KL125","Southern Africa",0.00801946585291393,0.00436447951128984,8.01328927019491e-05,0.0356786752690353
"KL125","Southern Asia",0.00360174767150252,0.000569269233223193,1.89602147734297e-06,0.0279169949706412
"KL125","Western Africa",0.00347551837974045,0.000734011612230601,2.56908090049521e-06,0.0249885923655425
"KL127","Eastern Africa",0.0109344761066101,0.00956119839310027,0.00201351424854872,0.0271479440960077
"KL127","Southern Africa",0.00229814462239688,0.000590568956538213,2.2562345689701e-06,0.0154854001882823
"KL127","Southern Asia",0.00452129803793232,0.000881401150448877,3.0381545668376e-06,0.0328901793536847
"KL127","Western Africa",0.00417731332592696,0.00107131173835132,5.16513829333878e-06,0.0277548735571645
"KL136","Eastern Africa",0.0012963937295137,0.000497731680854112,4.03789491061313e-06,0.00741744583759777
"KL136","Southern Africa",0.00201636759329979,0.000439241550877759,1.80843962661219e-06,0.0142813400939844
"KL136","Southern Asia",0.0190025832610258,0.00957054962081111,0.000162825376303509,0.0914754325989914
"KL136","Western Africa",0.00365880447487299,0.000821388110771281,3.46866404723563e-06,0.0264069181706174
"KL145","Eastern Africa",0.00182472994870905,0.00091880613356301,1.38072401416556e-05,0.00873747602173652
"KL145","Southern Africa",0.00316853587176236,0.00103696880507627,7.28576393977244e-06,0.0191925929753985
"KL145","Southern Asia",0.0925362612327171,0.0811518084062299,0.0147151080381332,0.231525119651943
"KL145","Western Africa",0.0059188746168884,0.00202981754638876,1.54137685024463e-05,0.0358876531319739
"KL149","Eastern Africa",0.00573882861506878,0.00450609205353902,0.000473887017424584,0.0176478286667299
"KL149","Southern Africa",0.250488862268308,0.247615419919414,0.154406756817531,0.361191426562233
"KL149","Southern Asia",0.0113032082353442,0.00441660093133165,4.32849146109874e-05,0.0624623518463605
"KL149","Western Africa",0.00968235777758972,0.00446587607609079,6.0938102551129e-05,0.0501342315726006
"KL15","Eastern Africa",0.0252487888106328,0.0239615503099063,0.00966602642660141,0.0484728412191713
"KL15","Southern Africa",0.00636041558158843,0.00317425993884302,5.53311252579108e-05,0.0305484652967737
"KL15","Southern Asia",0.150839996283046,0.141545137492514,0.0410589878115021,0.315203071274694
"KL15","Western Africa",0.0299386618383446,0.0228212398403416,0.00180856030850587,0.0980524566371688
"KL151","Eastern Africa",0.00153777703635062,0.000705060989138979,8.05036745345238e-06,0.00784431927548544
"KL151","Southern Africa",0.0210960679954997,0.0166085593994169,0.00167978099498167,0.0661911941404451
"KL151","Southern Asia",0.00516685485169562,0.00115154943343387,5.53764059283386e-06,0.0374436061819145
"KL151","Western Africa",0.00459311334475582,0.00139394099898525,8.90864427864257e-06,0.0281931119378972
"KL155","Eastern Africa",0.00116737584193419,0.000434134392402753,3.3217196336402e-06,0.00656297022615567
"KL155","Southern Africa",0.00176147780289888,0.00037167409218,1.03835785678509e-06,0.0125872152768975
"KL155","Southern Asia",0.00346599744607145,0.000546689921099229,1.42753920769017e-06,0.02736711553239
"KL155","Western Africa",0.0146614176332114,0.00797651799639568,0.000151601784597126,0.0672253795547311
"KL157","Eastern Africa",0.0354968136878205,0.0341733205305444,0.0159761080663476,0.0624089729089911
"KL157","Southern Africa",0.00308684484523086,0.000980911577065668,6.2358151104292e-06,0.0189422861284989
"KL157","Southern Asia",0.0061460511758018,0.00153880527169244,6.8888301996921e-06,0.0400888818007406
"KL157","Western Africa",0.0056174356943073,0.00185388119479147,1.22557711641434e-05,0.0341080861940722
"KL16","Eastern Africa",0.00702144745911909,0.00571749041384556,0.000740508637035437,0.0204586221735613
"KL16","Southern Africa",0.00194884179776863,0.000421124074561826,1.63799011234846e-06,0.0137178967201221
"KL16","Southern Asia",0.00374402113441516,0.00065493066246152,2.30107603267413e-06,0.0294302342256274
"KL16","Western Africa",0.00373701578720168,0.000846754942174488,3.48172136605506e-06,0.0265610302089695
"KL169","Eastern Africa",0.00119577662147042,0.000435147967200873,2.58475160929179e-06,0.00675806071813366
"KL169","Southern Africa",0.00185446257403012,0.000364143833048456,1.06158599954286e-06,0.0133363138527736
"KL169","Southern Asia",0.00342585412083135,0.000546114449986425,1.52171452984814e-06,0.0267888598803787
"KL169","Western Africa",0.0145173158819597,0.00778522113813198,0.000133485016651318,0.0670291439044294
"KL17","Eastern Africa",0.00235485957905921,0.00134929960455465,3.38350921649626e-05,0.0103339420751409
"KL17","Southern Africa",0.0134770917869168,0.00964439213893349,0.000584236378522464,0.0488528629421886
"KL17","Southern Asia",0.00926074534386932,0.00329582950298246,3.26095968864032e-05,0.0538878359368091
"KL17","Western Africa",0.12089595536225,0.114200303118487,0.0387621023737975,0.240577181167383
"KL18","Eastern Africa",0.00442233026622988,0.0032874268462291,0.000217908325342632,0.0149195589980868
"KL18","Southern Africa",0.00292321582691759,0.000944266630799121,6.84505289489419e-06,0.0179581487077151
"KL18","Southern Asia",0.0250872529081913,0.0148550485188561,0.000445715997717081,0.107949068836518
"KL18","Western Africa",0.00535644278981008,0.001707269234665,1.49238541588242e-05,0.032598875713775
"KL19","Eastern Africa",0.0166765219488491,0.0154904735333351,0.00475079981514474,0.035917953863732
"KL19","Southern Africa",0.0142474955896613,0.010168000749818,0.000630216102421134,0.0516886083168297
"KL19","Southern Asia",0.0101647586927918,0.00368862207621961,4.16072825963928e-05,0.0589897279131462
"KL19","Western Africa",0.0253127229779654,0.0179654162032057,0.00132619273590691,0.0904376775368034
"KL2","Eastern Africa",0.0791061214374319,0.078031961604902,0.0486581960402426,0.115881529387337
"KL2","Southern Africa",0.0440584050642348,0.0396310258253117,0.00956219223416947,0.104092002386747
"KL2","Southern Asia",0.0155969342887303,0.00762682808866346,0.000133289694004397,0.0768302684951205
"KL2","Western Africa",0.0550051381653772,0.0474162014437405,0.00803129822598895,0.143447254196454
"KL20","Eastern Africa",0.00316872337246082,0.00203790813570205,5.98522848152381e-05,0.0129164240593592
"KL20","Southern Africa",0.0013714481223733,0.000227538846549315,5.57606578948853e-07,0.0104569879549529
"KL20","Southern Asia",0.00261893854193611,0.000335958552269903,7.35569336088588e-07,0.0214859196546015
"KL20","Western Africa",0.00270903950816771,0.000468525676601718,1.21389657546585e-06,0.0208309246593873
