"locus","mean","median","lower","upper","subgroup"
"KL10",0.0128889059871187,0.0109972266317201,0.00155437936931442,0.0352415016774441,"Global"
"KL102",0.154634990969157,0.153269507712689,0.103722324111101,0.213538374980106,"Global"
"KL104",0.0258741417736692,0.023705382014493,0.00730883945302359,0.0558662062970253,"Global"
"KL105",0.0129421067290387,0.0110176904247104,0.00154841284307824,0.0352484292500062,"Global"
"KL106",0.00649351441528667,0.00451598947260311,0.000166246572840219,0.0234257505961256,"Global"
"KL108",0.0192401999982459,0.0172844143790547,0.00401758360557762,0.0453907566682292,"Global"
"KL109",0.00639823515418163,0.00454878391950571,0.00017642653128302,0.0232379730321961,"Global"
"KL110",0.00650006663731708,0.0045236092142974,0.000170129663971884,0.0242211211840791,"Global"
"KL112",0.0129554365651261,0.0109234381165741,0.00160955136788751,0.0347648142069825,"Global"
"KL113",0.00641199630137967,0.00443341747824674,0.000176316367587907,0.0235720963544905,"Global"
"KL116",0.00640876662459122,0.00446732078848909,0.000136706583895574,0.0233945160730231,"Global"
"KL118",0.0064115251651005,0.00433221485934429,0.000148528053716704,0.0240939256178663,"Global"
"KL122",0.0129922564006251,0.0109049832520013,0.0015043585388808,0.0363704354784107,"Global"
"KL125",0.00649082030678265,0.00453364627369298,0.000158843970660431,0.0236337593092155,"Global"
"KL127",0.00646863819518245,0.00455023580530887,0.000175306527388448,0.0234352462157967,"Global"
"KL145",0.00643594029359333,0.00453666722252557,0.000174792224064384,0.0227297517207081,"Global"
"KL149",0.0258411448539475,0.0239849301045165,0.0071154060307401,0.0538594042720294,"Global"
"KL15",0.0511987122271715,0.049490069481993,0.0228595544758039,0.0898081335297472,"Global"
"KL155",0.00645164740157766,0.00448990634334487,0.000169688869244922,0.0237986512664931,"Global"
"KL157",0.00648363332251007,0.00451437067952146,0.000172188769044801,0.023438805808967,"Global"
"KL16",0.0256916722915367,0.0239461549823718,0.00728908289105871,0.0537596339213813,"Global"
"KL169",0.00649391404766934,0.00461422731148506,0.000170744286696241,0.0238737512596282,"Global"
"KL17",0.00653129561165241,0.00453943833858833,0.000181495373133108,0.023822699144242,"Global"
"KL18",0.00637315168830315,0.00445333684440926,0.000171280880080512,0.0231640548016503,"Global"
"KL19",0.0259769501991911,0.0239809024535419,0.00730593775971295,0.0553180494732608,"Global"
"KL2",0.0839559181044073,0.0820630239604794,0.0455785736632915,0.132032317054635,"Global"
"KL20",0.00644544132683776,0.00452345463719498,0.000155204354174512,0.0234574122542424,"Global"
"KL21",0.00645149763459345,0.0044909773274721,0.000160234533562357,0.0240021358726463,"Global"
"KL23",0.0387468735937075,0.0368252033319357,0.0145145607059984,0.0740201188233042,"Global"
"KL24",0.0387393997859666,0.0368673711570594,0.0145375851653214,0.0745153627384196,"Global"
"KL25",0.0708478811339987,0.0688812476979788,0.0370023975996068,0.114066613252226,"Global"
"KL28",0.0259301726868885,0.0243652842825549,0.00740137719695615,0.0540917127701153,"Global"
"KL3",0.0320498315731054,0.0299561022359858,0.0107999697197321,0.0646783407087707,"Global"
"KL30",0.0192246106627867,0.0173158407921751,0.00401204419151122,0.0451449178638915,"Global"
"KL38",0.00649818524446457,0.00457806288402416,0.000170705776088163,0.0235510585074058,"Global"
"KL39",0.0451036524175064,0.0431134828905432,0.0188977960804319,0.0820313073526798,"Global"
"KL43",0.00643870131582988,0.00450979865207908,0.000172970277474741,0.023609877350951,"Global"
"KL46",0.00643436244937344,0.00447461517751248,0.000155387801484238,0.0234691668328282,"Global"
"KL47",0.00641206898478788,0.00450527838819498,0.000158078225846962,0.0235530750519014,"Global"
"KL48",0.0128811796777502,0.0108351606662012,0.001703069639728,0.0348822060217236,"Global"
"KL51",0.0195466455049071,0.0175031720972912,0.00414208338219385,0.0458792538763322,"Global"
"KL52",0.00648880581996874,0.00450977247959839,0.000174754877563813,0.0235366107810213,"Global"
"KL53",0.00644090415896148,0.0045965298158543,0.000176749301323984,0.0231623911805601,"Global"
"KL54",0.00635561336417602,0.00449055116845922,0.000174435852012022,0.0233238772838592,"Global"
"KL57",0.0194326330523676,0.0174253689699257,0.00396534508170801,0.0466634434551952,"Global"
"KL62",0.0384751370719773,0.0366391179970286,0.0145419730354709,0.0727311972286277,"Global"
"KL64",0.0129818221081128,0.0109843403009338,0.00163670795776365,0.0359794174760016,"Global"
"KL9",0.0129263988330865,0.0109700521830523,0.00164057483460321,0.0354503138105157,"Global"
