"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00787089303871984,0.00524547834986116,0.000242506188633996,0.0307708498942543
"KL10","Southern Africa",0.00937105088407573,0.00446726400384328,9.74782767453991e-05,0.0478282136559879
"KL10","Southern Asia",0.0445424868784251,0.0366473552403737,0.00534734939237811,0.127409165229842
"KL10","Western Africa",0.0296456879261639,0.0205878238007918,0.00166021581792788,0.108689017426688
"KL102","Eastern Africa",0.212179045790372,0.210484988030388,0.130373848470185,0.305794936023183
"KL102","Southern Africa",0.155162196210625,0.14544451052513,0.0454471133096431,0.315723552925233
"KL102","Southern Asia",0.0314803561608134,0.0241798839156913,0.00187204740914832,0.10153461306865
"KL102","Western Africa",0.12357504779191,0.114689299448446,0.0310229156430194,0.266624874309372
"KL104","Eastern Africa",0.0333716298800459,0.0294623931357584,0.00708118116635458,0.081765693812727
"KL104","Southern Africa",0.0096271163655947,0.00446331915710499,8.87999260315459e-05,0.0501641278561951
"KL104","Southern Asia",0.0259984706207784,0.0192456885140101,0.00180301843668586,0.0893742118384419
"KL104","Western Africa",0.0134743414078777,0.00734381486560994,0.000224109225251395,0.0621773565188027
"KL105","Eastern Africa",0.0186400926809456,0.0150781858564914,0.00176751880891546,0.0558858826205855
"KL105","Southern Africa",0.00527137491223751,0.00190709229922071,2.23994817905911e-05,0.0314400579991381
"KL105","Southern Asia",0.00750526075350298,0.00350753609527222,6.95284422589635e-05,0.0376978933254929
"KL105","Western Africa",0.00793914346458996,0.0033646249457687,5.56366166353266e-05,0.0447126662889562
"KL106","Eastern Africa",0.00815769110249585,0.00518499330939095,0.000154289798829146,0.0327466793256307
"KL106","Southern Africa",0.00345439989181525,0.00093270600933451,6.51071931589872e-06,0.0228673780474022
"KL106","Southern Asia",0.00507400262517287,0.00184296157354766,1.70362183256602e-05,0.0306022037237629
"KL106","Western Africa",0.00524943189658979,0.00163729825364846,1.49666165418637e-05,0.0337587359302102
"KL108","Eastern Africa",0.0226187683611912,0.0191421430200109,0.00335098164351805,0.0608144965124108
"KL108","Southern Africa",0.0088177985133361,0.00396102414411724,8.59711062930845e-05,0.0463152952763605
"KL108","Southern Asia",0.0113784697300463,0.00658323623200258,0.000254960713417114,0.0512254024434519
"KL108","Western Africa",0.0280731190967105,0.0196167237070408,0.00152506270120359,0.104167962021458
"KL109","Eastern Africa",0.00814487761540033,0.00515226325356115,0.000159073601302603,0.0331257178240947
"KL109","Southern Africa",0.00336460533791582,0.00091878988905847,5.90788102140091e-06,0.0228864321558062
"KL109","Southern Asia",0.00502914979286987,0.00181256009873606,1.75366208375056e-05,0.029764507195432
"KL109","Western Africa",0.0051789192551839,0.00162721306792469,1.45565251582001e-05,0.0325734813304959
"KL110","Eastern Africa",0.00829794619816631,0.00521106945580241,0.000140735930771612,0.0342229026350447
"KL110","Southern Africa",0.00349530619228607,0.000887821220034914,5.73956440433386e-06,0.023641644149234
"KL110","Southern Asia",0.00501068331007314,0.00179569136446449,1.76449976340013e-05,0.0287074918680763
"KL110","Western Africa",0.00513109275958404,0.00166443790652054,1.41965959321538e-05,0.0319999822037947
"KL112","Eastern Africa",0.00579185340927179,0.00338147336788682,0.000102989455800961,0.0248772563255372
"KL112","Southern Africa",0.00618467165616573,0.00237505215391962,3.28474273661932e-05,0.0347967399536469
"KL112","Southern Asia",0.0359082888635312,0.0277728524170454,0.00308657099032017,0.114071218186755
"KL112","Western Africa",0.00899563070633496,0.00410803573795903,8.53622851387481e-05,0.0467836397730956
"KL116","Eastern Africa",0.00411975061924635,0.00195619839593274,2.95523254671684e-05,0.0209039911233929
"KL116","Southern Africa",0.0039624089686203,0.00118493042551136,1.03324669711779e-05,0.026169716853484
"KL116","Southern Asia",0.00567337324062856,0.00228432990106784,3.12262517699301e-05,0.0313614582513061
"KL116","Western Africa",0.0163123407075047,0.00873069850499717,0.000190368028484446,0.0770831044143813
"KL118","Eastern Africa",0.00807283009288376,0.00514694870129475,0.00016021369057187,0.0325278787055144
"KL118","Southern Africa",0.00348094097154502,0.000916917173810458,6.1841609902947e-06,0.0235281839537098
"KL118","Southern Asia",0.00501386175249316,0.00182753170278714,1.77291035218854e-05,0.0291283816074257
