"locus","mean","median","lower","upper","subgroup"
"KL10",0.00623110554091541,0.00523627132649463,0.000768904118594794,0.0172690260330593,"Global"
"KL102",0.31373336431105,0.313607095975589,0.267194626797027,0.361494071924535,"Global"
"KL104",0.0721499464745985,0.0714148551365934,0.0468881833525756,0.101831424372517,"Global"
"KL105",0.00621372470350597,0.00521994802207207,0.00071328922792689,0.0172323775645513,"Global"
"KL106",0.00312704792981695,0.00221631076324049,9.27042112169112e-05,0.0111762931091217,"Global"
"KL108",0.0187876669890327,0.0178320298230812,0.00690808248568772,0.0356680073950428,"Global"
"KL109",0.00311189940824253,0.00215505874157922,8.84752082188974e-05,0.0114485805198318,"Global"
"KL110",0.00312008917729205,0.00212405068460647,6.58152059359723e-05,0.0116660643045066,"Global"
"KL112",0.00939151273907791,0.0084522585996233,0.0019802825830617,0.0222587652713386,"Global"
"KL113",0.00315439026434916,0.0022122703858888,9.94744385060618e-05,0.0114460105327965,"Global"
"KL116",0.00625797855589294,0.00537536341304876,0.000749438460083251,0.0168591019811115,"Global"
"KL118",0.00308924237386353,0.0021275018084589,7.2934658660509e-05,0.0113921091493849,"Global"
"KL122",0.0125794209381419,0.01155660632064,0.00330323938249123,0.0276173784157766,"Global"
"KL125",0.00311721681832826,0.0021591145753062,7.57167268987414e-05,0.0113623395619333,"Global"
"KL127",0.00938226020111693,0.0083935467099218,0.00203268958895027,0.0224971619134383,"Global"
"KL145",0.00937844588538663,0.00848507840475523,0.00197601657094418,0.0221016284914287,"Global"
"KL149",0.0408002276383478,0.0404341587508694,0.0235512828040686,0.0600396611590033,"Global"
"KL15",0.0501746339271984,0.0494229272138887,0.0301470646335436,0.073957077140638,"Global"
"KL155",0.00312550402667221,0.00220735752230477,8.6238098211146e-05,0.0111580689557164,"Global"
"KL157",0.0282225458580158,0.0272869441106497,0.0132735207817742,0.0485382896609884,"Global"
"KL16",0.012453976412092,0.0115343900478158,0.00342194954206171,0.026932049814026,"Global"
"KL169",0.00309442999925967,0.00217055014449898,7.64342846546079e-05,0.011392761192398,"Global"
"KL17",0.0157759464397516,0.0149278112395822,0.00559843520518282,0.0304928517996272,"Global"
"KL18",0.00314854254165192,0.00223475996396976,7.34825390337862e-05,0.01146156809367,"Global"
"KL19",0.0187878977635991,0.0178172192132821,0.00692006678175698,0.0361827541971121,"Global"
"KL2",0.0531700621862858,0.0521737919100924,0.031331740085652,0.0807586932461865,"Global"
"KL20",0.00318841588168623,0.00219328941864278,7.10787875399767e-05,0.0119031089254977,"Global"
"KL21",0.00314511374540414,0.00221505357360554,7.83865469405245e-05,0.011413153592072,"Global"
"KL23",0.0501402268031272,0.0492912629188372,0.0293226580987906,0.076014220968328,"Global"
"KL24",0.0218883460029467,0.0209246021030769,0.0090653982029984,0.0399788551397351,"Global"
"KL25",0.0471245872673773,0.0463516661695313,0.0270623998713645,0.0715827968086404,"Global"
"KL28",0.0188181874115837,0.0181666573973234,0.00726577185181519,0.0342433505422271,"Global"
"KL3",0.0157156349589677,0.0146552172740656,0.00518632938296184,0.0317090718155281,"Global"
"KL30",0.00943742976798668,0.00849338288367639,0.00200385220819637,0.0225179330815666,"Global"
"KL38",0.00312677952123685,0.00215689592973789,8.00207678260456e-05,0.011451200956567,"Global"
"KL39",0.0280165536246294,0.0269403396776049,0.013145486668839,0.0487608914085822,"Global"
"KL43",0.00312412814430499,0.00215766691342439,7.99106993641391e-05,0.0115383653517915,"Global"
"KL46",0.00314428365782139,0.00216933256433705,8.44760030650432e-05,0.011496546876746,"Global"
"KL47",0.00316423033576529,0.00219997801702096,9.27478289841039e-05,0.0118096526344013,"Global"
"KL48",0.00625879631724964,0.00532105063323094,0.000795706975852796,0.0170642704249898,"Global"
"KL51",0.0125826841129378,0.0116924196494459,0.00345401952843449,0.0265104060295539,"Global"
"KL52",0.00309905361660953,0.00217649842229351,7.45644033672989e-05,0.0115471299785,"Global"
"KL53",0.00312603013500856,0.00220605674973984,8.36665534362836e-05,0.0112682034095543,"Global"
"KL54",0.00315114147136749,0.00218876467325197,8.62011559832375e-05,0.0118054366886265,"Global"
"KL57",0.0124987468387897,0.0114586427968895,0.00351920179861167,0.0270861728421934,"Global"
"KL62",0.0251173012541866,0.0241772299574017,0.011104896660379,0.0444100532714388,"Global"
"KL64",0.00629265397340036,0.00527082773300249,0.00074096278236508,0.0174958294313257,"Global"
"KL9",0.00626695517826702,0.00531607776000483,0.000784306976421523,0.0170953168652569,"Global"
