"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00177683563773583,0.000726938745068986,6.24611466614989e-06,0.00937470737214909
"KL10","Southern Africa",0.00310969879871158,0.000518626520849386,9.49492134684411e-07,0.0238297524755934
"KL10","Southern Asia",0.0352429793266047,0.0293141401626854,0.00387841006469538,0.101074932768248
"KL10","Western Africa",0.0258523994243326,0.0172330380427033,0.000816914252895083,0.09961026168133
"KL102","Eastern Africa",0.438337869094565,0.437999596265841,0.373131783261972,0.503531131159198
"KL102","Southern Africa",0.157764064906386,0.151027138398626,0.0612209528838781,0.288622444381413
"KL102","Southern Asia",0.0115046406749845,0.00646444048300482,0.000113493280016963,0.0504644362823599
"KL102","Western Africa",0.0988122837697883,0.0899447729766452,0.0237352655538801,0.225163682101232
"KL104","Eastern Africa",0.0999350641332817,0.0985948610688942,0.0626055703726381,0.144490406357598
"KL104","Southern Africa",0.00469366636123516,0.00116295878975834,2.67801685512052e-06,0.031222253796207
"KL104","Southern Asia",0.0382922169062912,0.0322164221225906,0.00490784392865324,0.106172673636988
"KL104","Western Africa",0.00882193771657002,0.00316282118938188,1.28455716079691e-05,0.0514749543093549
"KL105","Eastern Africa",0.00820828362491832,0.00679770113149158,0.000891670407469624,0.0237830005209758
"KL105","Southern Africa",0.00153613452915893,0.00012960248366048,9.59711236223117e-08,0.0136966959981555
"KL105","Southern Asia",0.00281556993469248,0.000566997986151936,8.24145206173414e-07,0.0201778969541479
"KL105","Western Africa",0.00353819078748019,0.000541081813877699,6.06523739005476e-07,0.027357852566716
"KL106","Eastern Africa",0.00362869201330813,0.00228609447757951,6.18310897595192e-05,0.0146866783005791
"KL106","Southern Africa",0.00121049009435306,6.30026060119419e-05,3.11344933608502e-08,0.0112427636516188
"KL106","Southern Asia",0.00220346420338848,0.000298824217344293,2.54709819654603e-07,0.016709529309803
"KL106","Western Africa",0.00257392171430066,0.000282451606076166,2.57574151350091e-07,0.0210851674177351
"KL108","Eastern Africa",0.0233226896252701,0.0218472522994324,0.00750756561842126,0.0477258543751333
"KL108","Southern Africa",0.00350638236585675,0.000613242418692582,1.15320200191568e-06,0.026478352923911
"KL108","Southern Asia",0.00511595624455475,0.00179672376202155,8.84381754655604e-06,0.0299266191260585
"KL108","Western Africa",0.0265089026486083,0.0176876470751327,0.000832375972417321,0.0993177234720724
