"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0217283241750952,0.020955498332694,0.00970564064813012,0.0380021194896665
"KL10","Southern Africa",0.0138421357868674,0.0120167706710672,0.0026719650345639,0.035379793888842
"KL10","Southern Asia",0.045076093290559,0.043906709082109,0.0229361208082803,0.0746379974994514
"KL10","Western Africa",0.0209988143923158,0.0168205397462233,0.00269614806421903,0.0644766033672686
"KL102","Eastern Africa",0.104884573343478,0.104214910757792,0.0765896861875325,0.137432795652099
"KL102","Southern Africa",0.134263759550108,0.132606135217003,0.0865001401693375,0.192852385141003
"KL102","Southern Asia",0.0260241299005419,0.0246872010254437,0.0104721917865321,0.048638458488466
"KL102","Western Africa",0.105307567501641,0.10085730874064,0.0432584287918604,0.193242943691218
"KL104","Eastern Africa",0.0118403157250982,0.0109549335904793,0.00390834140681917,0.0246088303319097
"KL104","Southern Africa",0.002649113199576,0.00166582015274981,0.000119822869294743,0.0110742372808147
"KL104","Southern Asia",0.0080737607074786,0.00693007399882726,0.00141306804689801,0.0212780277024066
"KL104","Western Africa",0.00519315704085363,0.00297095983830209,0.000196720074818363,0.0232792912852596
"KL105","Eastern Africa",0.00447025073184923,0.00369578079700925,0.000610252921999698,0.0125422030451635
"KL105","Southern Africa",0.00162621535028819,0.000896004429230447,4.93377681205478e-05,0.00781079352174022
"KL105","Southern Asia",0.0039685645418843,0.0029373761153668,0.000312771454467452,0.0132768455748769
"KL105","Western Africa",0.00309159195134969,0.00148996810326915,7.72085952658226e-05,0.0158267006823487
"KL106","Eastern Africa",0.00597280422180894,0.0051847865033537,0.00106283726911933,0.0154876472071313
"KL106","Southern Africa",0.00142432593310438,0.000715480503730945,3.20843473682008e-05,0.00707936767988493
"KL106","Southern Asia",0.00186606564052229,0.00114817681655672,6.56027287974995e-05,0.00776450995311585
"KL106","Western Africa",0.00254847857351553,0.00115596372236639,4.7859982424297e-05,0.0137321898692071
"KL108","Eastern Africa",0.0147684875242065,0.0139458561286663,0.00546060767174129,0.0285837802022688
"KL108","Southern Africa",0.00608482082510697,0.00459799308903591,0.000573035822010188,0.0200327784604738
"KL108","Southern Asia",0.00359180969546106,0.00269295738930927,0.000292483077821316,0.0121029633586612
"KL108","Western Africa",0.012846922560933,0.00908984037018066,0.00102537653466001,0.045741419161829
"KL109","Eastern Africa",0.0043690475628693,0.00362503365291304,0.000598993189957341,0.0123335680330026
"KL109","Southern Africa",0.00166334391155041,0.00087436907225819,4.71294965328686e-05,0.00804239190121775
"KL109","Southern Asia",0.00391127699078763,0.00286172487449458,0.000306246225867145,0.0134482851722318
"KL109","Western Africa",0.00306832121762915,0.00148312990697579,7.05994919093465e-05,0.0153532391663751
"KL11","Eastern Africa",0.000787165262926652,0.00040088704391323,9.18603855319469e-06,0.00386620763236622
"KL11","Southern Africa",0.000753579125891497,0.000264518873636449,4.85689395518793e-06,0.00468241809797687
"KL11","Southern Asia",0.00219630516119087,0.00132736501274366,4.15616154500198e-05,0.00934002738636672
"KL11","Western Africa",0.00127802816124652,0.00041422871674676,6.49872666385469e-06,0.00796675581272428
"KL110","Eastern Africa",0.00739831823477023,0.00653853555012616,0.00167737569960815,0.0179512245896549
"KL110","Southern Africa",0.00500182986873921,0.00364216668581938,0.00040443927467215,0.0174228814365851
"KL110","Southern Asia",0.00516214573686834,0.0040829884239739,0.000585864274805898,0.0158773049792714
"KL110","Western Africa",0.00495412419753853,0.0027105666647891,0.000165595550990696,0.0228202013488824
"KL111","Eastern Africa",0.00667314778110615,0.00584918994266848,0.00139609791062262,0.0164070727885997
"KL111","Southern Africa",0.00191301726501297,0.00108466544313253,6.38518479478416e-05,0.00869193740735464
"KL111","Southern Asia",0.00436646741345674,0.00333465301424657,0.000387712341940975,0.0143206862880932
"KL111","Western Africa",0.00362717568890096,0.00184516539219514,9.23671789993727e-05,0.0177635236022312
"KL112","Eastern Africa",0.0113809847504895,0.0105626322503274,0.00369305013662983,0.0237029248233684
"KL112","Southern Africa",0.00778867499947649,0.0061958402812081,0.000960473519516444,0.0234410250212939
"KL112","Southern Asia",0.0553877751433694,0.0543892050041163,0.0305369338158488,0.0867216048944796
"KL112","Western Africa",0.00910071217135713,0.00618060749695733,0.000520183136763495,0.0352948753851931
"KL114","Eastern Africa",0.000801003250402646,0.000388110586494127,7.27026086279144e-06,0.00409840788946054
"KL114","Southern Africa",0.00072383836356424,0.000260920291152962,4.20417447004375e-06,0.00442227694250374
"KL114","Southern Asia",0.00223838944385403,0.00132104981123115,3.5202597971971e-05,0.00966885802958226
"KL114","Western Africa",0.00127020472068618,0.000392581036254735,6.15850612483747e-06,0.00808081613139926
"KL116","Eastern Africa",0.00217852670128199,0.00158713895553855,0.000157892776139789,0.00751575052958248
"KL116","Southern Africa",0.00260500121857646,0.00157773414706834,0.000108271446244345,0.0110454644149307
"KL116","Southern Asia",0.00300745762413326,0.00212052753012346,0.000182575079415708,0.0108617267974089
"KL116","Western Africa",0.0561241620214094,0.0511378206112898,0.0135055015817019,0.128522102376889
"KL117","Eastern Africa",0.00490532465021167,0.00415542712301624,0.000742762782017422,0.0134175356053043
"KL117","Southern Africa",0.0020395884166132,0.00115157153176973,7.35439936567869e-05,0.00905758361077432
"KL117","Southern Asia",0.0070221868802635,0.00585745612057246,0.00101713933216831,0.0193904121352125
"KL117","Western Africa",0.00372400576652768,0.0019780255181102,0.000113060006011163,0.0179402865699598
"KL118","Eastern Africa",0.00363243558283351,0.00291750247415272,0.000366338340502766,0.0110076440835768
"KL118","Southern Africa",0.00113130578505022,0.000521428454587748,1.83798520078454e-05,0.00583651035023636
"KL118","Southern Asia",0.0015044066319793,0.000860236072851198,4.22836868467825e-05,0.0065633847985931
"KL118","Western Africa",0.00200191791217352,0.000830546052846073,2.75701249755423e-05,0.0112436337510406
