"locus","mean","median","lower","upper","subgroup"
"KL10",0.029724855205734,0.0292759749574831,0.0180549061008447,0.0437172780166754,"Global"
"KL102",0.0873759280738503,0.0869870802376284,0.0675149947542745,0.109575372236258,"Global"
"KL104",0.00743494016307266,0.00693903229829695,0.00238030350136556,0.0151329461647438,"Global"
"KL105",0.0044305108419046,0.00393642300462342,0.000880417403280073,0.0106890445499444,"Global"
"KL106",0.00444813081463023,0.00398837125701617,0.000918508908714608,0.0106402995506368,"Global"
"KL108",0.00593353802355557,0.00541252778264096,0.00162096397223688,0.0131036577728064,"Global"
"KL109",0.00446575083441026,0.00398630687234863,0.000877562408792214,0.0108517488483626,"Global"
"KL11",0.00147455490824991,0.00101697651516362,3.89583144058237e-05,0.00544634071080424,"Global"
"KL110",0.00741287802225278,0.00697706347905254,0.00241503783952789,0.0151254524073614,"Global"
"KL111",0.00591523444863147,0.00542608419962748,0.00161991399308985,0.0128915961648866,"Global"
"KL112",0.0237407183629974,0.0233374989459076,0.0135352292919422,0.03660295649029,"Global"
"KL114",0.00146766142762034,0.0010253007772306,4.1373511921228e-05,0.00541971834015758,"Global"
"KL116",0.00747911386921195,0.00703325483182929,0.00247587443638292,0.0149585937376183,"Global"
"KL117",0.00442317949517389,0.00390966268994703,0.000937569082917106,0.0105312042241029,"Global"
"KL118",0.00298409822150822,0.00249522711987795,0.000347177998151471,0.00817341175152333,"Global"
"KL12",0.00294578169417917,0.00247758445316487,0.000355589098904396,0.00821766261306884,"Global"
"KL122",0.0207920567026577,0.0203354347175671,0.0113138119923719,0.0328142689656942,"Global"
"KL123",0.00149189442155045,0.00104525766074014,3.96349487950359e-05,0.00541248297780442,"Global"
"KL124",0.00445224718483338,0.00399181262566536,0.000883944792897261,0.0108535140216381,"Global"
"KL125",0.00295288854587013,0.00245874208013645,0.000364217241200924,0.0081751293605181,"Global"
"KL127",0.00441939441808504,0.00394698186653059,0.00089712046116228,0.0106150563704405,"Global"
"KL128",0.00291858495743491,0.00246286903977239,0.000345005413258433,0.00805090452143672,"Global"
"KL13",0.00442834724012965,0.00395485848870252,0.000932521502451037,0.0106466007929287,"Global"
"KL131",0.00295213905434378,0.00247644297320025,0.00035245681034492,0.00818184955043277,"Global"
"KL134",0.00147876959951373,0.00101557880482734,3.73670778976763e-05,0.00547994488846632,"Global"
