"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00824617623986453,0.00798280059619041,0.00385226600615809,0.0142481330868356
"KL10","Southern Africa",0.0119359958488896,0.0106481011336649,0.00271836646506962,0.0286461014953343
"KL10","Southern Asia",0.0402512423677014,0.0396230719063848,0.0251296660753721,0.0588451737488132
"KL10","Western Africa",0.0145444079614457,0.0110663217309071,0.00112341515041397,0.0481339601442157
"KL102","Eastern Africa",0.241004569732616,0.240868737084749,0.215987388616908,0.266436675970113
"KL102","Southern Africa",0.130533406428555,0.129419527515647,0.0911309121459166,0.175946710553592
"KL102","Southern Asia",0.0619871772715527,0.0614083920644969,0.0424159856213251,0.084307131938854
"KL102","Western Africa",0.132035583498592,0.128890233021861,0.0670945125265074,0.214813481209821
"KL104","Eastern Africa",0.0521234448566388,0.0518759872224873,0.0400997506019661,0.0654678832201482
"KL104","Southern Africa",0.00177394854245118,0.000977628154860409,3.4221832455914e-05,0.00811367844779182
"KL104","Southern Asia",0.0101312363827329,0.00950281834003893,0.00332422447611285,0.0205627873771823
"KL104","Western Africa",0.00453346287043589,0.00226465510195777,6.6057433934355e-05,0.0221349691627772
"KL105","Eastern Africa",0.00170501677762092,0.00143550361078155,0.00023770774320163,0.00473267441337892
"KL105","Southern Africa",0.000836196504584315,0.0003084618951609,6.26037431506009e-06,0.00489573603246441
"KL105","Southern Asia",0.00364723906776125,0.00300512792674776,0.000468136192379845,0.0102880207216452
"KL105","Western Africa",0.00196807466021367,0.000633948161319832,1.07215381535383e-05,0.0121356668344531
"KL106","Eastern Africa",0.00221572713164176,0.00194070405853468,0.000392493549955548,0.00559063887592507
"KL106","Southern Africa",0.00052726941711937,0.000156845866762575,1.88776279382414e-06,0.00336231543286236
"KL106","Southern Asia",0.000619326147027908,0.000274093119307596,5.13896815750296e-06,0.00323034550163265
"KL106","Western Africa",0.0012511782939907,0.000302276787000345,3.43806775541881e-06,0.00875588708302437
"KL108","Eastern Africa",0.0343820277880851,0.0340953309402273,0.0247225033754949,0.0455221712218177
"KL108","Southern Africa",0.00414973826770256,0.00307181625706004,0.000277066526487947,0.0142677321751849
"KL108","Southern Asia",0.00151544580813695,0.00101881474037843,5.96909049921452e-05,0.00586353919086805
"KL108","Western Africa",0.0115097412780093,0.00809733177871453,0.000654427662135481,0.041360228990143
"KL109","Eastern Africa",0.00161232675975492,0.00133268451356521,0.00021150539663812,0.00456414302214802
"KL109","Southern Africa",0.000701271855525179,0.000238978924432136,4.00427916433739e-06,0.00425106050785125
"KL109","Southern Asia",0.00190219305754589,0.0013579446356819,9.66893704496163e-05,0.00692397327694546
"KL109","Western Africa",0.0016194237399396,0.00047611785464078,6.69904557120368e-06,0.0102946517965989
"KL11","Eastern Africa",0.000225776191274891,8.12273565850561e-05,7.30623975550838e-07,0.00132505366069491
"KL11","Southern Africa",0.000337046071889034,6.71047126070463e-05,3.83061608564055e-07,0.00249798807467328
"KL11","Southern Asia",0.00127421154322675,0.000774703887282502,1.99661640261271e-05,0.00539357688340951
"KL11","Western Africa",0.000740240600375521,0.000121500427148278,6.49546339519168e-07,0.00584648305258173
