"locus","mean","median","lower","upper","subgroup"
"KL10",0.0299230487218691,0.0294089862351373,0.0178671056637922,0.0446669528765094,"Global"
"KL102",0.0879747367169546,0.0874778524948192,0.0673222896163385,0.111186586979183,"Global"
"KL104",0.00784793808079843,0.00734165490988879,0.00259418151594768,0.0159959319439867,"Global"
"KL105",0.00472637656237117,0.00421159389822239,0.000972110411050761,0.0113005000890608,"Global"
"KL106",0.00473388802255439,0.0041956565525264,0.000967192689680674,0.0114980390160574,"Global"
"KL108",0.00628788169159114,0.00575161350328618,0.00176097435819939,0.0138081641394651,"Global"
"KL109",0.00315935923107073,0.00265685165325301,0.000393484265339645,0.00874157192465752,"Global"
"KL11",0.00157948381443571,0.00109844795413007,4.04313122851462e-05,0.00579485949683455,"Global"
"KL110",0.00786035313320171,0.00733483072862101,0.00256062153126289,0.0161800530674254,"Global"
"KL111",0.00627785265529598,0.00577538172867871,0.00174625468868651,0.0137573227714524,"Global"
"KL112",0.0236361411935346,0.0231819615729445,0.0133595026684192,0.0370596699832196,"Global"
"KL113",0.00313173198459998,0.00262390887031239,0.000390886437555476,0.00880504504753902,"Global"
"KL114",0.00156167093402993,0.00107691665367655,3.97585200540779e-05,0.00584454179318073,"Global"
"KL116",0.00784815031427575,0.00735391530158706,0.00251286162985675,0.0158898584640188,"Global"
"KL117",0.00475384804587743,0.00425723774971228,0.00100132569922379,0.0115054237187358,"Global"
"KL118",0.00315938498619322,0.00264557146116012,0.000367930601833997,0.00877257285489645,"Global"
"KL12",0.00157599292932482,0.00109735911285041,3.86213212774122e-05,0.0057202754539805,"Global"
"KL122",0.0220419723807607,0.0214742016180773,0.0120729491607288,0.0348272017718184,"Global"
"KL123",0.00156269654775667,0.00108972764917843,3.94962208402053e-05,0.00575612555383304,"Global"
"KL124",0.00470684740092916,0.00422218004462398,0.000995481517414067,0.0111625527123593,"Global"
"KL125",0.00158096081897879,0.001080257164367,3.47119971603578e-05,0.00592141775037041,"Global"
"KL127",0.00316458731772108,0.00265200847826204,0.000374569806418293,0.00876876384128922,"Global"
"KL128",0.00318462234029447,0.00265645737465106,0.00039062219511431,0.00886327500284463,"Global"
"KL13",0.00315012224795777,0.00266397363987022,0.000376278225961149,0.0088199454898698,"Global"
"KL131",0.00314865570855163,0.00264374767365581,0.000395548311162444,0.00883705074415341,"Global"
"KL136",0.00936807661666135,0.00891784929939201,0.00351023391659986,0.0180951952580779,"Global"
"KL137",0.00157568053235461,0.00107821947251087,3.72648486503575e-05,0.00590769425229659,"Global"
"KL139",0.00155798026084698,0.00107453818439625,3.82003647677161e-05,0.00575579036370206,"Global"
"KL14",0.00947504283036673,0.00901610272576095,0.00351065836769158,0.018200192483381,"Global"
"KL140",0.00158267899757065,0.00111919424919972,3.97771079818792e-05,0.0058310189561843,"Global"
"KL141",0.00318137055419939,0.00268076496597365,0.000339839993802421,0.00888438389833338,"Global"
"KL142",0.00315122471058954,0.0026552343788694,0.000405437104629737,0.00861805862679811,"Global"
"KL143",0.0015834854591621,0.00110550526201749,3.95267779037663e-05,0.00579025923060228,"Global"
"KL144",0.00157528116334127,0.00107328221866408,3.64699220216525e-05,0.00584894320015298,"Global"
"KL145",0.00157841396790307,0.00108128385945972,3.41600249110616e-05,0.00584996984486733,"Global"
"KL146",0.0031841668268897,0.00268081648592821,0.000381046515848563,0.00885960294773011,"Global"
"KL149",0.0220277284507464,0.0215441986207038,0.0121487925772102,0.0347155843723987,"Global"
"KL15",0.0534260143652146,0.0528789975774094,0.0373696499692126,0.0722855031918137,"Global"
"KL151",0.00473415885885213,0.00423917412700088,0.000948041734454145,0.0113525292247381,"Global"
"KL155",0.00472321105003711,0.00420630121442698,0.000987380154435058,0.0113487405167527,"Global"
"KL157",0.00158054339947573,0.00110205101619098,4.14016710423065e-05,0.00583790539027646,"Global"
"KL158",0.00157295588092865,0.00110358114373203,4.29724044350126e-05,0.00572806347794355,"Global"
"KL16",0.0157028070087684,0.0151934539885094,0.00767380815768136,0.0265249003431969,"Global"
"KL163",0.00156291967291165,0.00107426277961353,3.83197816799377e-05,0.00564866207548922,"Global"
"KL169",0.00317655217024184,0.00268150850941518,0.000376668587038709,0.0088312584832035,"Global"
"KL17",0.0252796591511717,0.0247299313249966,0.0143364371942411,0.0390852042712009,"Global"
"KL171",0.00157488128168573,0.00110441759603257,3.59792432685643e-05,0.00570548370051648,"Global"
"KL179",0.00156542643242122,0.00109977726975646,4.12204010212305e-05,0.00562084199124446,"Global"
"KL18",0.00470635569031359,0.00418078273717105,0.00098775557261648,0.0113103679968772,"Global"
"KL183",0.00157525449469078,0.00109386715102688,4.33248114146834e-05,0.00584145763205974,"Global"
"KL186",0.00155899316238366,0.00110378327338205,4.28366183386507e-05,0.00572355205898435,"Global"
"KL19",0.0157204064595405,0.0152184486108728,0.00759906711347464,0.0264621495153001,"Global"
"KL2",0.0739392514510683,0.0734894642514212,0.0549553312717355,0.0960340506106341,"Global"
"KL20",0.00471216349760996,0.00425232804646695,0.00100117637030626,0.0112267687597792,"Global"
"KL21",0.00315424652291906,0.00262013944393981,0.000360761435173071,0.00902079171554276,"Global"
"KL22",0.00156180330053254,0.0010857507732134,3.67177232162331e-05,0.0058606173720434,"Global"
"KL23",0.0219734625949803,0.0215265082736903,0.0121526627913783,0.0347525719894574,"Global"
"KL24",0.018861201401096,0.018340239604111,0.00992952600186149,0.03066574581884,"Global"
"KL25",0.0726423953250333,0.072193913063255,0.0536810391272801,0.0938811495879833,"Global"
"KL27",0.0063019451629998,0.00581149873442258,0.00174607929396864,0.0137946423563687,"Global"
"KL28",0.0157359057978967,0.0152687454541852,0.00746847246761426,0.0267999099964021,"Global"
"KL3",0.0238758507463494,0.0234316575451121,0.013307045167806,0.0374992822987476,"Global"
"KL30",0.0330083989465692,0.0325659519053491,0.0203835525494137,0.0482823518220353,"Global"
"KL31",0.00318551811738052,0.00269271382802918,0.000374048426039492,0.00872171346549427,"Global"
"KL34",0.00311461114258466,0.00262747857938901,0.000374632258542841,0.00856304348816291,"Global"
"KL35",0.00318519508279154,0.00268174501531827,0.000382953338341188,0.00879294133247355,"Global"
"KL36",0.00621818040777171,0.00572775349598492,0.00181929929442825,0.0134621169955823,"Global"
"KL38",0.0125441848463721,0.0120367864554755,0.0054341005065241,0.0224673923512293,"Global"
"KL39",0.0205020977547696,0.0201026478235898,0.011131739164075,0.0326443050531814,"Global"
"KL43",0.00471183110376518,0.00419483229065663,0.000974213498999916,0.0113256403582412,"Global"
"KL45",0.00156218467632466,0.00110424503018939,3.86840067720728e-05,0.00560557820348779,"Global"
"KL46",0.00156746109415055,0.00109449899574526,4.25585975956194e-05,0.00573708038686061,"Global"
"KL47",0.00474661669216002,0.00425347343586525,0.00102576049038544,0.0115035051668141,"Global"
"KL48",0.0141750060895577,0.013649517645153,0.00656037646864463,0.024674940113764,"Global"
"KL49",0.00470219562918842,0.00422920397058416,0.000965346926075555,0.0111831254797535,"Global"
"KL5",0.00160261225767708,0.00109978818501884,4.02879010311335e-05,0.0059274582486731,"Global"
"KL50",0.00317325290010193,0.00268948480857523,0.000384645427283156,0.00861996439326628,"Global"
"KL51",0.0172729814497244,0.0168441587028761,0.00875703986116201,0.0285526397403596,"Global"
"KL52",0.0141055474657354,0.0135894832227367,0.00650809994076858,0.0246492791339467,"Global"
"KL53",0.00475874334859299,0.00427952327575643,0.000986256452153318,0.011359857899274,"Global"
"KL54",0.015816983263194,0.0153382539092195,0.00768887636967395,0.0268430534038144,"Global"
"KL55",0.00632632029803165,0.00578932873088066,0.0016542253210673,0.0140612069853961,"Global"
"KL57",0.00629957601573928,0.00581482422599727,0.0017487831470119,0.0136457936071443,"Global"
"KL61",0.00157848078709878,0.00110198542897144,4.12406128650155e-05,0.00578904478133715,"Global"
"KL62",0.0378381162696198,0.0373514213196963,0.0245625048080161,0.0538164588250093,"Global"
"KL64",0.0187694794743768,0.0183136556898131,0.00993975696967985,0.0301903346796512,"Global"
"KL67",0.00630544582048795,0.00581119060489586,0.00178815282483427,0.0136464110747275,"Global"
"KL7",0.00313152118427664,0.00264494647633106,0.00040019244885561,0.00856793745531735,"Global"
"KL8",0.0109969557389373,0.0104827893867871,0.00449261796512253,0.0202853833636312,"Global"
"KL81",0.0140349604554624,0.013593192162308,0.00650374838332353,0.0242034971884094,"Global"
"KL9",0.0157442133681996,0.0151587127303108,0.00769603421225785,0.0267575238277374,"Global"
