"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",NA,NA,NA,NA
"KL10","Southern Africa",NA,NA,NA,NA
"KL10","Southern Asia",NA,NA,NA,NA
"KL10","Western Africa",NA,NA,NA,NA
"KL10",NA,NA,NA,NA,NA
"KL102","Eastern Africa",NA,NA,NA,NA
"KL102","Southern Africa",NA,NA,NA,NA
"KL102","Southern Asia",NA,NA,NA,NA
"KL102","Western Africa",NA,NA,NA,NA
"KL102",NA,NA,NA,NA,NA
"KL104","Eastern Africa",NA,NA,NA,NA
"KL104","Southern Africa",NA,NA,NA,NA
"KL104","Southern Asia",NA,NA,NA,NA
"KL104","Western Africa",NA,NA,NA,NA
"KL104",NA,NA,NA,NA,NA
"KL105","Eastern Africa",NA,NA,NA,NA
"KL105","Southern Africa",NA,NA,NA,NA
"KL105","Southern Asia",NA,NA,NA,NA
"KL105","Western Africa",NA,NA,NA,NA
"KL105",NA,NA,NA,NA,NA
"KL106","Eastern Africa",NA,NA,NA,NA
"KL106","Southern Africa",NA,NA,NA,NA
"KL106","Southern Asia",NA,NA,NA,NA
"KL106","Western Africa",NA,NA,NA,NA
"KL106",NA,NA,NA,NA,NA
"KL108","Eastern Africa",NA,NA,NA,NA
"KL108","Southern Africa",NA,NA,NA,NA
"KL108","Southern Asia",NA,NA,NA,NA
"KL108","Western Africa",NA,NA,NA,NA
"KL108",NA,NA,NA,NA,NA
"KL109","Eastern Africa",NA,NA,NA,NA
"KL109","Southern Africa",NA,NA,NA,NA
"KL109","Southern Asia",NA,NA,NA,NA
"KL109","Western Africa",NA,NA,NA,NA
"KL109",NA,NA,NA,NA,NA
"KL11","Eastern Africa",NA,NA,NA,NA
"KL11","Southern Africa",NA,NA,NA,NA
"KL11","Southern Asia",NA,NA,NA,NA
"KL11","Western Africa",NA,NA,NA,NA
"KL11",NA,NA,NA,NA,NA
"KL110","Eastern Africa",NA,NA,NA,NA
"KL110","Southern Africa",NA,NA,NA,NA
"KL110","Southern Asia",NA,NA,NA,NA
"KL110","Western Africa",NA,NA,NA,NA
"KL110",NA,NA,NA,NA,NA
"KL111","Eastern Africa",NA,NA,NA,NA
"KL111","Southern Africa",NA,NA,NA,NA
"KL111","Southern Asia",NA,NA,NA,NA
"KL111","Western Africa",NA,NA,NA,NA
"KL111",NA,NA,NA,NA,NA
"KL112","Eastern Africa",NA,NA,NA,NA
"KL112","Southern Africa",NA,NA,NA,NA
"KL112","Southern Asia",NA,NA,NA,NA
"KL112","Western Africa",NA,NA,NA,NA
"KL112",NA,NA,NA,NA,NA
"KL113","Eastern Africa",NA,NA,NA,NA
"KL113","Southern Africa",NA,NA,NA,NA
"KL113","Southern Asia",NA,NA,NA,NA
"KL113","Western Africa",NA,NA,NA,NA
"KL113",NA,NA,NA,NA,NA
"KL114","Eastern Africa",NA,NA,NA,NA
"KL114","Southern Africa",NA,NA,NA,NA
"KL114","Southern Asia",NA,NA,NA,NA
"KL114","Western Africa",NA,NA,NA,NA
"KL114",NA,NA,NA,NA,NA
"KL116","Eastern Africa",NA,NA,NA,NA
"KL116","Southern Africa",NA,NA,NA,NA
"KL116","Southern Asia",NA,NA,NA,NA
"KL116","Western Africa",NA,NA,NA,NA
"KL116",NA,NA,NA,NA,NA
"KL117","Eastern Africa",NA,NA,NA,NA
"KL117","Southern Africa",NA,NA,NA,NA
"KL117","Southern Asia",NA,NA,NA,NA
"KL117","Western Africa",NA,NA,NA,NA
"KL117",NA,NA,NA,NA,NA
"KL118","Eastern Africa",NA,NA,NA,NA
"KL118","Southern Africa",NA,NA,NA,NA
"KL118","Southern Asia",NA,NA,NA,NA
"KL118","Western Africa",NA,NA,NA,NA
"KL118",NA,NA,NA,NA,NA
"KL12","Eastern Africa",NA,NA,NA,NA
"KL12","Southern Africa",NA,NA,NA,NA
"KL12","Southern Asia",NA,NA,NA,NA
"KL12","Western Africa",NA,NA,NA,NA
"KL12",NA,NA,NA,NA,NA
"KL122","Eastern Africa",NA,NA,NA,NA
"KL122","Southern Africa",NA,NA,NA,NA
"KL122","Southern Asia",NA,NA,NA,NA
"KL122","Western Africa",NA,NA,NA,NA
"KL122",NA,NA,NA,NA,NA
"KL123","Eastern Africa",NA,NA,NA,NA
"KL123","Southern Africa",NA,NA,NA,NA
"KL123","Southern Asia",NA,NA,NA,NA
"KL123","Western Africa",NA,NA,NA,NA
"KL123",NA,NA,NA,NA,NA
"KL124","Eastern Africa",NA,NA,NA,NA
"KL124","Southern Africa",NA,NA,NA,NA
"KL124","Southern Asia",NA,NA,NA,NA
"KL124","Western Africa",NA,NA,NA,NA
"KL124",NA,NA,NA,NA,NA
"KL125","Eastern Africa",NA,NA,NA,NA
"KL125","Southern Africa",NA,NA,NA,NA
"KL125","Southern Asia",NA,NA,NA,NA
"KL125","Western Africa",NA,NA,NA,NA
"KL125",NA,NA,NA,NA,NA
"KL127","Eastern Africa",NA,NA,NA,NA
"KL127","Southern Africa",NA,NA,NA,NA
"KL127","Southern Asia",NA,NA,NA,NA
"KL127","Western Africa",NA,NA,NA,NA
"KL127",NA,NA,NA,NA,NA
"KL128","Eastern Africa",NA,NA,NA,NA
"KL128","Southern Africa",NA,NA,NA,NA
"KL128","Southern Asia",NA,NA,NA,NA
"KL128","Western Africa",NA,NA,NA,NA
"KL128",NA,NA,NA,NA,NA
"KL13","Eastern Africa",NA,NA,NA,NA
"KL13","Southern Africa",NA,NA,NA,NA
"KL13","Southern Asia",NA,NA,NA,NA
"KL13","Western Africa",NA,NA,NA,NA
"KL13",NA,NA,NA,NA,NA
"KL131","Eastern Africa",NA,NA,NA,NA
"KL131","Southern Africa",NA,NA,NA,NA
"KL131","Southern Asia",NA,NA,NA,NA
"KL131","Western Africa",NA,NA,NA,NA
"KL131",NA,NA,NA,NA,NA
"KL136","Eastern Africa",NA,NA,NA,NA
"KL136","Southern Africa",NA,NA,NA,NA
"KL136","Southern Asia",NA,NA,NA,NA
"KL136","Western Africa",NA,NA,NA,NA
"KL136",NA,NA,NA,NA,NA
"KL137","Eastern Africa",NA,NA,NA,NA
"KL137","Southern Africa",NA,NA,NA,NA
"KL137","Southern Asia",NA,NA,NA,NA
"KL137","Western Africa",NA,NA,NA,NA
"KL137",NA,NA,NA,NA,NA
"KL139","Eastern Africa",NA,NA,NA,NA
"KL139","Southern Africa",NA,NA,NA,NA
"KL139","Southern Asia",NA,NA,NA,NA
"KL139","Western Africa",NA,NA,NA,NA
"KL139",NA,NA,NA,NA,NA
"KL14","Eastern Africa",NA,NA,NA,NA
"KL14","Southern Africa",NA,NA,NA,NA
"KL14","Southern Asia",NA,NA,NA,NA
"KL14","Western Africa",NA,NA,NA,NA
"KL14",NA,NA,NA,NA,NA
"KL140","Eastern Africa",NA,NA,NA,NA
