"locus","mean","median","lower","upper","subgroup"
"KL10",0.0182482637354863,0.0179449438572459,0.0122590882316686,0.0263489401193382,"Global"
"KL102",0.187284092848225,0.187076811286443,0.169284782334596,0.206779098858515,"Global"
"KL104",0.0352354293037205,0.0350350991108852,0.0272178823408102,0.0444931455107851,"Global"
"KL105",0.00227472591738583,0.00206341124788441,0.000606703426655,0.0051203833124414,"Global"
"KL106",0.0016949171483505,0.00149979031500272,0.000344994737448838,0.00406185187360237,"Global"
"KL108",0.0221944353273199,0.0219971897715135,0.0158365328594963,0.0297940819661103,"Global"
"KL109",0.00115374252128996,0.000952368728690668,0.000140781783010548,0.00326023871539886,"Global"
"KL11",0.000577272387622451,0.0003966436309372,1.62898825578012e-05,0.0021529836049811,"Global"
"KL110",0.00404905769915524,0.00377764033344034,0.00159203015257108,0.00796068384769353,"Global"
"KL111",0.0022757483144313,0.00206023219522012,0.000636129404954399,0.00511989226489049,"Global"
"KL112",0.0140108260310548,0.0137257369753503,0.00902199847638042,0.020452439018647,"Global"
"KL113",0.00115699315848656,0.000963948673711385,0.00013901079712139,0.00323886522440826,"Global"
"KL114",0.000573391205352325,0.000389397352798087,1.44055009789574e-05,0.00214687620425394,"Global"
"KL116",0.00341242714395383,0.00321449789475949,0.00124818485113607,0.00676963209303268,"Global"
"KL117",0.00228273294217774,0.00205638683584924,0.000611040544320987,0.00514492555760895,"Global"
"KL118",0.00112713146413848,0.000935636301833733,0.000132509716404493,0.0032542086891488,"Global"
"KL12",0.000584274312825205,0.000395885997713187,1.37018276173442e-05,0.00217795405475586,"Global"
"KL122",0.015979981955826,0.0156134445073225,0.010387464800313,0.0237276014694043,"Global"
"KL123",0.000570626021825752,0.000394749018887238,1.31990274126056e-05,0.00206401827527786,"Global"
"KL124",0.00171248565517727,0.00151110577668123,0.000357722644099787,0.00416109661927587,"Global"
"KL125",0.000580607940807717,0.000393939235829944,1.43128762130869e-05,0.00215314818458114,"Global"
"KL127",0.00562471524197964,0.00540008059120517,0.00269556510559333,0.0098407469555325,"Global"
"KL128",0.00114092528954277,0.000956312752953907,0.000129020608439124,0.00323104956021832,"Global"
"KL13",0.00173401395754435,0.00150703206912402,0.000340745769976295,0.00432324691169756,"Global"
"KL131",0.00114157182368408,0.000945552882856731,0.000143318612650188,0.00320252683854904,"Global"
"KL136",0.00453002768621138,0.00430873867060038,0.00188944741834608,0.00838691467218275,"Global"
"KL137",0.000582067612879354,0.000384912867296953,1.3717951800903e-05,0.00217990037431643,"Global"
"KL139",0.000564844161115977,0.000386753179338195,1.55389329424967e-05,0.00209042426634684,"Global"
"KL14",0.00349617764612492,0.00323697063290565,0.0012087495024106,0.0073292427375237,"Global"
"KL140",0.000571405730762511,0.000387503427016594,1.50869231015053e-05,0.00213301791638387,"Global"
"KL141",0.00115153453539616,0.000952409228666954,0.000140478815810942,0.00325611448674876,"Global"
"KL142",0.00228655201291026,0.00208398574304635,0.000646345221357949,0.00513069355230464,"Global"
"KL143",0.00112995809834212,0.00094515564057842,0.000135606644280027,0.00315950571764613,"Global"
"KL144",0.000572163641349203,0.000392239786528328,1.43550547953767e-05,0.00210038238780818,"Global"
"KL145",0.00335867259859285,0.00317020314726927,0.00124086682615873,0.00650392258232329,"Global"
"KL146",0.00117007639822465,0.000957451132350248,0.000134319000605276,0.00338610403970077,"Global"
"KL149",0.0271339961248538,0.0269427423136437,0.0204317428080567,0.0350538887041183,"Global"
"KL15",0.0880096338434019,0.0877501380652706,0.0758856734033079,0.101889354754587,"Global"
"KL151",0.00622591767092683,0.0059975166489106,0.0031240362917703,0.0106903396847366,"Global"
"KL155",0.00173838738099774,0.00152211816395743,0.000335296817356415,0.00441248531081199,"Global"
"KL157",0.0159201654339505,0.0156860869264795,0.0106881019168185,0.0223215105203539,"Global"
"KL158",0.000589759126304333,0.000402662851324569,1.46187945884138e-05,0.00223369357160805,"Global"
"KL16",0.00839495603981376,0.00816715737349553,0.00463701169680414,0.0134020972152571,"Global"
"KL163",0.000562280971188469,0.00038080045323904,1.29886108810915e-05,0.0021164475980475,"Global"
"KL169",0.00118369096089094,0.000964710438356438,0.000135178437506808,0.00341708704103385,"Global"
"KL17",0.0195673880854375,0.0192059253337913,0.01323660174052,0.0280992237075582,"Global"
"KL171",0.00113647991529383,0.000946088264282791,0.000128710773107697,0.0032271415133194,"Global"
"KL179",0.0005634250514575,0.000386041581570123,1.35970721807581e-05,0.00205571517443498,"Global"
"KL18",0.00227150917987533,0.00205101935378737,0.0005960023467086,0.0051250101351529,"Global"
"KL183",0.000577678787446773,0.000392899282103854,1.39736060155788e-05,0.00216473343748022,"Global"
"KL186",0.000581713294769034,0.000396363539972613,1.35037486221163e-05,0.00215217445945859,"Global"
"KL19",0.0119844510152253,0.011687630316827,0.00722893881705613,0.0184155368117101,"Global"
"KL2",0.121970781652421,0.121697008779651,0.107636952937233,0.1376842010588,"Global"
"KL20",0.00169450245709245,0.00148257767212372,0.000337316640552095,0.0042388421357931,"Global"
"KL21",0.00116781241974799,0.000953830952753292,0.000137192333778448,0.00338774776611848,"Global"
"KL22",0.000571657144848227,0.0003861270195759,1.39321789907559e-05,0.002187260881553,"Global"
"KL23",0.0248737948157673,0.0246650783550492,0.0181134414447496,0.033016337561432,"Global"
"KL24",0.0112898979277555,0.0110406574891038,0.00683980910537834,0.0172781382019797,"Global"
"KL25",0.0581859244253949,0.0578914064179626,0.0475309195391748,0.0707397415970608,"Global"
"KL27",0.00229322327254067,0.00205975343445366,0.000622961479904943,0.00535706892362244,"Global"
"KL28",0.0174854991612723,0.0172519246756507,0.0117787343834158,0.0248616457524584,"Global"
"KL3",0.0110693055781611,0.0106833092485055,0.00650550189877223,0.0179935841561192,"Global"
"KL30",0.0290490939994836,0.0287898590659032,0.0216063783743052,0.0379782248700134,"Global"
"KL31",0.00175377659448615,0.00155752723075505,0.000361727983932861,0.00436874840594147,"Global"
"KL34",0.00112646136204794,0.000931136887481283,0.000128918203674391,0.00322180587380865,"Global"
"KL35",0.00116329190455915,0.000957024267722396,0.000137312795095584,0.00332346755411265,"Global"
"KL36",0.00501014684116825,0.00479845840068688,0.0023047948935923,0.00888319457865011,"Global"
"KL38",0.00561854642500297,0.00540233330194291,0.00263936556126157,0.00978066054756105,"Global"
"KL39",0.0141025808094184,0.0138038433964794,0.00904966508766956,0.0207965535458708,"Global"
"KL43",0.00168987758751768,0.0014840309605776,0.000372809899997179,0.00410883706735,"Global"
"KL45",0.0005647167752658,0.000392056389221917,1.40315603796693e-05,0.00209176933136871,"Global"
"KL46",0.000577320735316164,0.000393771817972499,1.41238286698204e-05,0.00212661716507072,"Global"
"KL47",0.00170481589974647,0.00150762853057653,0.000345899344133072,0.00419373695928628,"Global"
"KL48",0.0107434620712367,0.0104600511571582,0.00638677035551424,0.0167773857525482,"Global"
"KL49",0.0028014581989275,0.00260357962694739,0.000913866713341184,0.00580815201743131,"Global"
"KL5",0.000574884811356857,0.000391094568930257,1.64175406537015e-05,0.00210305507174292,"Global"
"KL50",0.001169235779493,0.000954274634512598,0.000142716785720996,0.00338158872896883,"Global"
"KL51",0.0104906382037045,0.0102957561334681,0.00635070658059399,0.0158657198298656,"Global"
"KL52",0.0062576794867716,0.00601071537558514,0.00308534956400261,0.0108749253421146,"Global"
