"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.184553844647073,0.153016814245524,0.0180923483074381,0.516151966435607
"O1.v1","Southern Africa",0.079249096355151,0.0719500241483174,0.0177645363868073,0.183754684020396
"O1.v1","Southern Asia",0.206495338391165,0.20582023249501,0.150680733989195,0.269051711739903
"O1.v1","Western Africa",0.309007300753476,0.300252616176863,0.131870152276426,0.529579686001413
"O1.v2","Eastern Africa",0.211405725383156,0.183435597769361,0.022907751181621,0.557732439985126
"O1.v2","Southern Africa",0.318244119235785,0.314108495836579,0.179833879577181,0.48134177192921
"O1.v2","Southern Asia",0.192317452361386,0.191192801073245,0.137122380165915,0.253137521143182
"O1.v2","Western Africa",0.22759568674306,0.217885813301154,0.0771077547463737,0.436325480631101
"O12","Eastern Africa",0.00464547547551954,0.000933858464067136,4.43435145363537e-06,0.0338327677474892
"O12","Southern Africa",0.00302336136494336,0.000941298022209953,6.39268204353517e-06,0.018572972779586
"O12","Southern Asia",0.0047142023425768,0.00319265525889753,0.000106757085582326,0.0176006832210098
"O12","Western Africa",0.00372910750091525,0.000954128457796912,5.49429042748092e-06,0.0261943286800301
"O2a.v1","Eastern Africa",0.145934956663098,0.113361947145568,0.0106958758814467,0.453140497995077
"O2a.v1","Southern Africa",0.0479919377388253,0.0408011787905204,0.00625005422443395,0.129911331812517
"O2a.v1","Southern Asia",0.132040649062698,0.131050639670084,0.0861631827489808,0.18496503914862
"O2a.v1","Western Africa",0.150195592885979,0.13674563526419,0.0359860772091837,0.337760104110692
"O2afg.v2","Eastern Africa",0.076734987484414,0.04967967199232,0.00189114586491666,0.300139411190343
"O2afg.v2","Southern Africa",0.215919260122896,0.20977061753535,0.0995112351687693,0.368527442093419
"O2afg.v2","Southern Asia",0.0569374696788849,0.0554275560858238,0.0284300551867613,0.0943932644992004
"O2afg.v2","Western Africa",0.150127508540722,0.137288553433465,0.0369131303455811,0.334447931889818
"O3/O3a","Eastern Africa",0.0180896133285599,0.00731886680042631,8.28560076604351e-05,0.10606680412702
"O3/O3a","Southern Africa",0.0103426828755768,0.00574282905751604,8.78148086999386e-05,0.0464404852346224
"O3/O3a","Southern Asia",0.0421167857499603,0.0404251971592614,0.017723119479821,0.0757458522148813
"O3/O3a","Western Africa",0.0130390063370913,0.00634486110718325,9.4515671289042e-05,0.0638335329815394
"O3b","Eastern Africa",0.0214407214973488,0.00907930359216066,9.97639160960434e-05,0.116160356757998
"O3b","Southern Africa",0.0117179740428486,0.0069585934250179,0.000139602601454349,0.0508449932369704
"O3b","Southern Asia",0.0585200082645171,0.0569160539801115,0.0292149305593149,0.0970068396038853
"O3b","Western Africa",0.0152593043681936,0.00804034659631089,0.000114933250544676,0.0717517900695487
"O4","Eastern Africa",0.259907525354433,0.231750718089196,0.0389858921537187,0.636776347300037
"O4","Southern Africa",0.0963783896961332,0.0885096944298364,0.0262832107747497,0.209609921584921
"O4","Southern Asia",0.15560269622286,0.154217748815869,0.105783543472336,0.212002906928607
"O4","Western Africa",0.0811606516624626,0.0687448857399684,0.00963937819787308,0.219680823859186
"O5","Eastern Africa",0.0542895498547038,0.0316028535852874,0.000692849278482424,0.239371367624322
"O5","Southern Africa",0.20465776882322,0.198098749545129,0.0899777779767048,0.354938500222606
"O5","Southern Asia",0.059537800312849,0.0578693382112506,0.0301032329232104,0.098953950458437
"O5","Western Africa",0.0331467586263125,0.0228551990120001,0.000779521955610884,0.121325351691516
"OL13","Eastern Africa",0.0264104952639812,0.0116604694758071,0.000137862617598544,0.140463120186125
"OL13","Southern Africa",0.0140635731036111,0.00854093487187848,0.00018118836927528,0.0587359205289635
"OL13","Southern Asia",0.0916910992203089,0.0900888973595687,0.0545071541041214,0.138046208801778
"OL13","Western Africa",0.0185671603498514,0.0102545791593385,0.00014120867891829,0.0845510215543903
