"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.111311301562994,0.087267286331063,0.00788944119147291,0.343771970889832
"O1.v1","Southern Africa",0.0372469371060994,0.0328052616394666,0.00682596204532567,0.0927711509118708
"O1.v1","Southern Asia",0.175241890643425,0.174840984029041,0.140990459697503,0.211524492672267
"O1.v1","Western Africa",0.346174665824839,0.343285028768702,0.193658832279105,0.518148231347838
"O1.v2","Eastern Africa",0.115310999152222,0.0927884817759252,0.00859946782645457,0.350582627610414
"O1.v2","Southern Africa",0.225479874708511,0.222906084348519,0.135472305038894,0.331240930215182
"O1.v2","Southern Asia",0.113585681120427,0.113005332696231,0.0858416716948799,0.144904567496259
"O1.v2","Western Africa",0.16097112018791,0.153766242044857,0.059393240483685,0.303404521115521
"O12","Eastern Africa",0.00220930280333772,0.000166374413080894,1.79754433155939e-07,0.0181831922957693
"O12","Southern Africa",0.00118915577490276,0.000181707020061967,2.78796923672632e-07,0.00948898995480799
"O12","Southern Asia",0.00199801643422788,0.00131498838354293,4.93681494932831e-05,0.00756231844602839
"O12","Western Africa",0.00153202772958659,0.000180718619646619,2.52049646807162e-07,0.0127653868025226
"O2a.v1","Eastern Africa",0.178222752508679,0.155584139376031,0.0242876038676897,0.456675895807345
"O2a.v1","Southern Africa",0.0228308411101181,0.0186927569289724,0.00223399628564203,0.0678663825176019
"O2a.v1","Southern Asia",0.0813944975336093,0.0806883266135202,0.0577804119925184,0.108486234980839
"O2a.v1","Western Africa",0.185375620202608,0.179040189498662,0.0734526883593035,0.33692065739447
"O2afg.v2","Eastern Africa",0.045025474514281,0.0246885368385063,0.000320524083861889,0.201197570688375
"O2afg.v2","Southern Africa",0.224104205877939,0.220980439198779,0.132490104615146,0.32955415921922
"O2afg.v2","Southern Asia",0.0883012284555281,0.0875823857443582,0.0636629446841531,0.116582429067804
"O2afg.v2","Western Africa",0.219447715355882,0.213010240548997,0.0953548522382891,0.378175247607904
"O3/O3a","Eastern Africa",0.00967283798216141,0.00222670865284662,5.20347618060055e-06,0.0674811167491977
"O3/O3a","Southern Africa",0.00402720039779349,0.00169616575007039,9.20489017485205e-06,0.0222520324169086
"O3/O3a","Southern Asia",0.0492700973913348,0.0486740903080062,0.0313110575205581,0.0714794610067741
"O3/O3a","Western Africa",0.0060845220634125,0.00196911659843478,6.97688988684107e-06,0.0366997967599295
"O3b","Eastern Africa",0.0084607398532432,0.00167050161664581,3.31906889945499e-06,0.0640822187297508
"O3b","Southern Africa",0.00358930405405197,0.00127627021385811,6.55611318442187e-06,0.0203353981583311
"O3b","Southern Asia",0.0311286840493298,0.0304186059520629,0.0172054156453123,0.0489327200187965
"O3b","Western Africa",0.00513821367774438,0.00157438906789091,4.43078341645221e-06,0.0321507572774583
"O4","Eastern Africa",0.494252445604882,0.49433239298071,0.206356127732887,0.784572424736006
"O4","Southern Africa",0.289424718202971,0.28723658261403,0.187645286549155,0.401079941906083
"O4","Southern Asia",0.308836798017281,0.308731535728555,0.266271898044076,0.353342615035621
"O4","Western Africa",0.0526578443070926,0.0440625871029904,0.00512618960300167,0.149028003663302
"O5","Eastern Africa",0.0233262366737978,0.00903672882563363,5.21837237509975e-05,0.131617101170199
"O5","Southern Africa",0.186555316842074,0.183905008444872,0.10268715952592,0.288535675511824
"O5","Southern Asia",0.0259635476595762,0.0252594662617865,0.0133364513695253,0.0424582021234936
"O5","Western Africa",0.012694326629556,0.0061902934461319,6.54596604332447e-05,0.0617884567499501
"OL13","Eastern Africa",0.0137787353684559,0.00362935582840156,9.75659352773786e-06,0.0882737800808083
"OL13","Southern Africa",0.0052630591592499,0.00242488011207868,1.4912390887707e-05,0.026295376842068
"OL13","Southern Asia",0.124641449204923,0.124197251624986,0.0951701240613523,0.157022568469454
"OL13","Western Africa",0.00802675602038168,0.00306975548269453,1.30249622006609e-05,0.0446594904202692
