"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.203761741621897,0.202730799804696,0.151059124426595,0.262164611489133,"Global"
"O1.v2",0.218907730562871,0.217675053020044,0.166059003178938,0.277227228276997,"Global"
"O12",0.00496013340512208,0.0034653320823963,0.000121724791997415,0.0185990066786458,"Global"
"O2a.v1",0.124448757537037,0.123121154100649,0.0818159302429874,0.173674248769169,"Global"
"O2afg.v2",0.0646185332489799,0.0631252150807543,0.0351258589313243,0.102776381601411,"Global"
"O3/O3a",0.0446360750033507,0.0433214925122887,0.0207151031224653,0.0769783601838133,"Global"
"O3b",0.0447375875887881,0.0432575550460195,0.0207102899099531,0.0768524735775532,"Global"
"O4",0.139256947250107,0.13819770249746,0.0949029120954461,0.189484873335787,"Global"
"O5",0.0696903176829391,0.0684047350760249,0.0394308062555243,0.107711848206151,"Global"
"OL13",0.084786713599986,0.0834977063702886,0.0498766892326228,0.126511613712015,"Global"
