"locus","subgroup","mean","median","lower","upper"
"O1.v1","Southern Africa",0.0792608520046246,0.066077379752044,0.00720728985355643,0.227409166882112
"O1.v1","Southern Asia",0.208377145184771,0.207195305771133,0.150771169018582,0.271336487421161
"O1.v1","Western Africa",0.362670246081986,0.353783888293382,0.139387614021936,0.63619484101341
"O1.v2","Southern Africa",0.418364878631687,0.415233877610901,0.207880178987625,0.643674103822008
"O1.v2","Southern Asia",0.199129089555287,0.197609159519635,0.142434564957965,0.263679222426567
"O1.v2","Western Africa",0.244710395963239,0.230614441419309,0.0655234157862885,0.498558212556318
"O12","Southern Africa",0.00393777034597949,0.000715743876485588,6.29615700427817e-07,0.0300096293613687
"O12","Southern Asia",0.00517619108465913,0.00351707964425004,0.000125262178500065,0.019671131227868
"O12","Western Africa",0.00430991997432876,0.000646257248539721,6.81152314412612e-07,0.034180521927019
"O2a.v1","Southern Africa",0.0312993069347476,0.0191001140333413,0.000165133764574826,0.127220805159946
"O2a.v1","Southern Asia",0.130611397786094,0.129124080982559,0.0851084124158307,0.184470359981429
"O2a.v1","Western Africa",0.19883161801392,0.181590061909215,0.0427084743947302,0.449076259293676
"O2afg.v2","Southern Africa",0.141451769035967,0.128060483460885,0.0308086744146903,0.321142866855094
"O2afg.v2","Southern Asia",0.0561203759275446,0.0544038670710054,0.0270686454153993,0.0950369120933695
"O2afg.v2","Western Africa",0.0789908173850683,0.0597349134225005,0.0048322568308174,0.253192795296295
"O3/O3a","Southern Africa",0.0121976755512985,0.00466703058291066,8.51026235800941e-06,0.0658741199902126
"O3/O3a","Southern Asia",0.0449678597994983,0.043134372593477,0.0191983511827892,0.0806125881843454
"O3/O3a","Western Africa",0.0138998747561419,0.00471772473714261,6.00312986858367e-06,0.0807834978347074
"O3b","Southern Africa",0.012711336137292,0.00512670996543447,1.17303918238434e-05,0.0714549864791773
"O3b","Southern Asia",0.0508299087616155,0.04916275982425,0.0236585726752433,0.0874123391741447
"O3b","Western Africa",0.0143767180363857,0.0052689171337994,7.30127098396318e-06,0.0820189378617182
"O4","Southern Africa",0.0544237750817589,0.0413834208502642,0.00341639652809301,0.180872011239571
"O4","Southern Asia",0.151718443768054,0.15036785722679,0.102273318003068,0.210011604002138
"O4","Western Africa",0.0297035615850538,0.0155100964615892,7.99666597080761e-05,0.13636401786564
"O5","Southern Africa",0.230502831081596,0.221090893612715,0.073897638837084,0.44554934933301
"O5","Southern Asia",0.0556722678897474,0.0538974333321242,0.0267342302255671,0.0943552963475568
"O5","Western Africa",0.033849100294728,0.0186991355192797,0.000121717335589726,0.152593028808635
"OL13","Southern Africa",0.0168326257286304,0.0074667785538572,2.14639993722032e-05,0.0854278651709445
"OL13","Southern Asia",0.0971537299911314,0.0954875281313002,0.0569339521670837,0.145480210154491
"OL13","Western Africa",0.0188720170548425,0.00758969534176681,1.07592095445362e-05,0.0999463708278872
