"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.174661064520502,0.174554344481136,0.142388923498984,0.209021119540846,"Global"
"O1.v2",0.125481485798494,0.124961647454157,0.0978674390369653,0.156410215006028,"Global"
"O12",0.00211888104472461,0.00143106352586656,5.93479214354237e-05,0.00799478547591257,"Global"
"O2a.v1",0.0767220464271259,0.0760633184310846,0.055168396349139,0.10161123269711,"Global"
"O2afg.v2",0.0956186520830871,0.0949072043350542,0.0708981148067709,0.123301275603954,"Global"
"O3/O3a",0.0382453225559711,0.0375880802247632,0.0229949542448089,0.0570067491962455,"Global"
"O3b",0.0254628983727801,0.0248143668840644,0.0133971738106103,0.0410115824541985,"Global"
"O4",0.302081142654186,0.302163344420575,0.261671374698367,0.343223217296181,"Global"
"O5",0.042779808931442,0.0421435617263299,0.0268018662864774,0.0618388683524458,"Global"
"OL13",0.1167641239877,0.116372046265137,0.0898954047184547,0.146012221645247,"Global"
