"locus","subgroup","mean","median","lower","upper"
"O1.v1","Southern Africa",0.0286775931656749,0.0222884327578779,0.00166353911477513,0.0915062172498114
"O1.v1","Southern Asia",0.176376638608329,0.175990071189196,0.140655222683441,0.214811578540307
"O1.v1","Western Africa",0.45447841116266,0.452053798396539,0.253032211620432,0.662952024903705
"O1.v2","Southern Africa",0.262903912847752,0.258981111010486,0.147853650660704,0.399500443190002
"O1.v2","Southern Asia",0.107141601738905,0.106663167415882,0.0793395162867627,0.138940212680397
"O1.v2","Western Africa",0.183829292601231,0.173864725033578,0.0556117908556378,0.364077933167519
"O12","Southern Africa",0.00138544355113866,8.24109682979459e-05,2.75735200741707e-09,0.0120556214143679
"O12","Southern Asia",0.0022137413020428,0.00144988240660052,5.55008427079325e-05,0.00864304103682261
"O12","Western Africa",0.00186560215209678,6.88711969281566e-05,1.87998566042677e-09,0.0169869921813306
"O2a.v1","Southern Africa",0.00854202084430555,0.00338721601888441,2.71090239506256e-06,0.0452642318469813
"O2a.v1","Southern Asia",0.0746391821257606,0.0738733694534461,0.051479272966794,0.101545573934313
"O2a.v1","Western Africa",0.262892443045149,0.254406715573498,0.104454688766387,0.465636099546538
"O2afg.v2","Southern Africa",0.128243900926297,0.123296320401651,0.0504720077295569,0.23710441715031
"O2afg.v2","Southern Asia",0.0943993361296425,0.0938087753750344,0.068274643396827,0.124049923371219
"O2afg.v2","Western Africa",0.0491647209996189,0.0364698118380093,0.00203881395165042,0.164759914268213
"O3/O3a","Southern Africa",0.00359186642699727,0.000683760831185196,6.25267056381849e-08,0.0254550583593352
"O3/O3a","Southern Asia",0.0438117785332732,0.0430501433348212,0.0262405149095209,0.0654667161627124
"O3/O3a","Western Africa",0.0054147183166287,0.00069135807085412,3.01449714929461e-08,0.0417159168679308
"O3b","Southern Africa",0.00334536725866922,0.000544552821240243,5.50638612801406e-08,0.0251177836362989
"O3b","Southern Asia",0.0290072323982759,0.0282754212133881,0.0152259226049786,0.0470298599340281
"O3b","Western Africa",0.00467137236490796,0.000542607200205402,2.5061897814664e-08,0.0368758415989927
"O4","Southern Africa",0.347315868237856,0.345007532093173,0.217667779078432,0.492452563731215
"O4","Southern Asia",0.31180148854829,0.311641172351516,0.268060449506558,0.357365465643751
"O4","Western Africa",0.0181486477740494,0.00739426631538019,5.29352220496886e-06,0.0973232014660793
"O5","Southern Africa",0.212583925081058,0.208042794558724,0.109485483815761,0.340672955570076
"O5","Southern Asia",0.0254514839043093,0.0247304097359215,0.012367923713656,0.0428059017781645
"O5","Western Africa",0.0122778129423424,0.0035763146879471,1.47880551510191e-06,0.0735424090086105
"OL13","Southern Africa",0.00478437542846726,0.00110357891277191,1.14011291922584e-07,0.0315458696326406
"OL13","Southern Asia",0.134928562891722,0.134483381776731,0.103673583374623,0.168622484489831
"OL13","Western Africa",0.00727152246105437,0.00124132497232844,6.03235932057675e-08,0.0506453350105967
