"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.272661606924166,0.272472259166106,0.239618277106836,0.305604477432696,"Global"
"O1.v2",0.227901428774346,0.227742606675797,0.197787096700701,0.259094105878054,"Global"
"O1.v3",0.00146187532224334,0.00100557601729542,3.87255542203104e-05,0.00539113021035342,"Global"
"O12",0.00288270314886734,0.00240007088184158,0.000343829185644278,0.00804195779795366,"Global"
"O2a.v1",0.0667454984084443,0.0662547205508219,0.0497611394756343,0.0867069840535288,"Global"
"O2afg.v2",0.154047097874904,0.15399656971201,0.128146763700832,0.181068128883617,"Global"
"O3/O3a",0.023215578975597,0.0227970020884676,0.013421631803629,0.0355292889067522,"Global"
"O3b",0.0493188504266438,0.0488502206463937,0.0349155067123997,0.0663790589124172,"Global"
"O4",0.0898553780869639,0.0894611041324512,0.0702173673445733,0.111744358985498,"Global"
"O5",0.065455881943058,0.0650261147490304,0.0487969754696526,0.0843535957861339,"Global"
"OL103",0.00288298305681627,0.00242391548547043,0.000353979025916248,0.00794758414316091,"Global"
"OL104",0.00145069296900473,0.00100678513736277,3.59503212716257e-05,0.00529414919030125,"Global"
"OL13",0.0420203540003194,0.0416035072269738,0.0285036565506711,0.0580130594908579,"Global"
