"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.307107788310834,0.306841154845767,0.256889255715457,0.359695606622522
"O1.v1","Southern Africa",0.257626162129075,0.255777576910702,0.184809623977302,0.337599899576846
"O1.v1","Southern Asia",0.217308969802128,0.216510473747682,0.166908135056842,0.27263642466518
"O1.v1","Western Africa",0.348515197643275,0.346496903515595,0.222684795041106,0.489140276850663
"O1.v2","Eastern Africa",0.240250637740853,0.23971789991494,0.195013158636463,0.288265300500871
"O1.v2","Southern Africa",0.230854878663695,0.228915912800369,0.162166241837252,0.307055204357176
"O1.v2","Southern Asia",0.198292848640174,0.197449517450838,0.149480045088098,0.251866702058438
"O1.v2","Western Africa",0.281313059491645,0.277161042376446,0.165353942119521,0.418171276795019
"O1.v3","Eastern Africa",0.00160351914242996,0.00101292107666739,3.25602846793478e-05,0.00653146751301394
"O1.v3","Southern Africa",0.00111662738080823,0.000546625918629266,1.3673239613216e-05,0.00572721526311319
"O1.v3","Southern Asia",0.00150194664315639,0.000866517213956703,2.62807106304458e-05,0.00677773228328812
"O1.v3","Western Africa",0.00120764063377102,0.000541831867010229,1.36214000728789e-05,0.00639919532943458
"O12","Eastern Africa",0.0027027552324365,0.00204099632534195,0.000230655635743785,0.00906911342148282
"O12","Southern Africa",0.00205355646411411,0.00128422832151583,9.91549664085864e-05,0.00864756683135605
"O12","Southern Asia",0.00371192211809077,0.00277690581421685,0.000302638596805583,0.0122812787401158
"O12","Western Africa",0.00228158280329481,0.00133412995452114,8.88102794615703e-05,0.0100757029168311
"O2a.v1","Eastern Africa",0.0526052363931097,0.0515358601542939,0.0318992402614522,0.0789250852375295
"O2a.v1","Southern Africa",0.0326681212366492,0.0307011729553379,0.0108176130061471,0.066667808675305
"O2a.v1","Southern Asia",0.106651463323369,0.105484871398266,0.0702333185915459,0.149054546154328
"O2a.v1","Western Africa",0.060814931196466,0.0554400374655071,0.0182897129855726,0.130924677418742
"O2afg.v2","Eastern Africa",0.195987268170759,0.195239091898841,0.154316814017686,0.241593123380846
"O2afg.v2","Southern Africa",0.176920859270758,0.175258940529939,0.115303099201486,0.248797868927602
"O2afg.v2","Southern Asia",0.0825329671425273,0.0812399034045756,0.0504799577567265,0.121645440770331
"O2afg.v2","Western Africa",0.152364695108215,0.147993109111588,0.0710867660365783,0.260427687670373
"O3/O3a","Eastern Africa",0.0125670623039944,0.0117191223010091,0.00407967685233033,0.0258864710326515
"O3/O3a","Southern Africa",0.0129373817907864,0.0112445426726034,0.00257076217279425,0.0330231505882205
"O3/O3a","Southern Asia",0.044732199675057,0.0432846351701627,0.02267746401319,0.0748151465178585
"O3/O3a","Western Africa",0.0190877530348668,0.0155669761627676,0.00313425423689877,0.0549334018207425
"O3b","Eastern Africa",0.0494944658950449,0.048624947579198,0.0291215077534778,0.0754017454229978
"O3b","Southern Africa",0.0222425090039859,0.0203321753766071,0.00585118384901177,0.050283477627425
"O3b","Southern Asia",0.0695553565020123,0.0682577268818745,0.0409060945870377,0.105799702410841
"O3b","Western Africa",0.0210284569852729,0.0173881928559292,0.00312872639454991,0.0584629982158448
"O4","Eastern Africa",0.0634335986972622,0.0625452841424183,0.0398944397006514,0.092166175790971
"O4","Southern Africa",0.0732385770234001,0.0710579024982127,0.0365175305085585,0.122927580343497
"O4","Southern Asia",0.142917187297729,0.141798838352459,0.100997571887564,0.191397536668986
"O4","Western Africa",0.0564704890569377,0.0513229338417581,0.0151486686575962,0.125091510382335
"O5","Eastern Africa",0.0359520573502091,0.0350166054868663,0.0187450461399564,0.058039846806476
"O5","Southern Africa",0.174627035467391,0.173164139809546,0.11291858702478,0.246960594791739
"O5","Southern Asia",0.0542693146143795,0.0532167095889446,0.0292750505157156,0.0863164365996321
"O5","Western Africa",0.0288352128576961,0.0245786189979523,0.00463110154706334,0.0765763174170295
"OL103","Eastern Africa",0.00185481522514624,0.00132873270413596,0.000114511286466924,0.00661902912640151
"OL103","Southern Africa",0.00196400468364784,0.00123927832980959,9.18012059986222e-05,0.00812581373421153
"OL103","Southern Asia",0.00496742676589616,0.00389750680692497,0.000481090759837164,0.0156482905438194
"OL103","Western Africa",0.00224447999530849,0.00126800047920637,8.23887570704303e-05,0.0104977070334418
"OL104","Eastern Africa",0.001608345305694,0.000996665733624086,3.26474755330839e-05,0.00659970579168152
"OL104","Southern Africa",0.00109176501928435,0.000548389808761981,1.31330340588209e-05,0.0053593619713043
"OL104","Southern Asia",0.00147039619429857,0.000864458299416789,2.27691662061145e-05,0.00639179148151329
"OL104","Western Africa",0.00122323090277425,0.000541081806308668,1.16656355325726e-05,0.00657144250395029
"OL13","Eastern Africa",0.0346219453816247,0.0336484895669094,0.0179787414280253,0.0566336467861902
"OL13","Southern Africa",0.0127233228523578,0.0109753446827325,0.00211507211256205,0.0331266354029417
"OL13","Southern Asia",0.071799616108069,0.0706924505147857,0.0423513018264358,0.107544534227129
"OL13","Western Africa",0.0257988296473879,0.0217491332529109,0.00472241913894668,0.0688107338311741
