"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.290724049622052,0.290628714904649,0.263240238990342,0.318959371650109
"O1.v1","Southern Africa",0.2021423832457,0.200836000823316,0.149793799564488,0.259934208781299
"O1.v1","Southern Asia",0.178020189274882,0.177615893888538,0.146111363311369,0.211681461970249
"O1.v1","Western Africa",0.39232695156131,0.391526281100944,0.276311071550053,0.511722956573192
"O1.v2","Eastern Africa",0.202397838549995,0.202201933173941,0.178105662104465,0.228201805287784
"O1.v2","Southern Africa",0.225489023623221,0.224246814907948,0.171236487917304,0.286601485326999
"O1.v2","Southern Asia",0.131844747986299,0.13122306301976,0.103948463671547,0.162395880227254
"O1.v2","Western Africa",0.235957625296415,0.23324088758957,0.141836081293762,0.347615950967093
"O1.v3","Eastern Africa",0.00307490608403833,0.00277433603719581,0.000742911980969554,0.00711076027965631
"O1.v3","Southern Africa",0.00113036912611915,0.000559001719072181,1.9523458856854e-05,0.00573911096757499
"O1.v3","Southern Asia",0.00116398813381789,0.000758156308458881,4.42055972608119e-05,0.00457217711843645
"O1.v3","Western Africa",0.00150110287482285,0.000601984972556396,1.85269431456827e-05,0.00843886885059635
"O12","Eastern Africa",0.000878522786741911,0.00064259196789172,5.17698939029593e-05,0.00303474551521649
"O12","Southern Africa",0.000828580289245006,0.000362953364346849,1.19255108449711e-05,0.00453620521275289
"O12","Southern Asia",0.00171653212768785,0.00124071621102631,9.74660133476547e-05,0.00607794932439783
"O12","Western Africa",0.00106478034012285,0.000381183766363223,1.04271059941112e-05,0.00664732389109475
"O2a.v1","Eastern Africa",0.0451326139629041,0.0448278325722333,0.0333320863962435,0.0588128098810327
"O2a.v1","Southern Africa",0.0184047814365398,0.0169578218066206,0.00528742301980186,0.0396690505590102
"O2a.v1","Southern Asia",0.0721378144800168,0.0716913910230645,0.0511535469860902,0.0962898053094622
"O2a.v1","Western Africa",0.0857753248660563,0.0819407061582534,0.0322218283040127,0.162856133595433
"O2afg.v2","Eastern Africa",0.349243057738073,0.349271969365959,0.320517605655242,0.378736507836651
"O2afg.v2","Southern Africa",0.171006855850793,0.16983606044754,0.122117360603525,0.226061005132589
"O2afg.v2","Southern Asia",0.0922316898607441,0.0915803783347871,0.0686774740586573,0.119327379663463
"O2afg.v2","Western Africa",0.174758875982389,0.17095501851315,0.0948228763473735,0.275178869610715
"O3/O3a","Eastern Africa",0.00378302398544888,0.00349062943591294,0.00112109808752153,0.00813157780194796
"O3/O3a","Southern Africa",0.0103057301786032,0.00883390430287666,0.00193029192560605,0.0275174912563652
"O3/O3a","Southern Asia",0.0487563758387014,0.0481429116800633,0.0313232811891052,0.0697534898442198
"O3/O3a","Western Africa",0.0139757436645545,0.0104659719242301,0.0013041641901005,0.046527113453607
"O3b","Eastern Africa",0.0156579266867911,0.0153316141300257,0.0090383242210997,0.0241382948961478
"O3b","Southern Africa",0.0147247174395207,0.0132076226673026,0.00377097804034413,0.0342493112229011
"O3b","Southern Asia",0.0392710230742906,0.0387209677709747,0.0244555671368579,0.0571899099768951
"O3b","Western Africa",0.0083808230611693,0.00573888236844043,0.000420719371588082,0.0315989054557015
"O4","Eastern Africa",0.0468260821393375,0.0465254756078349,0.0349017920729229,0.06059523766008
"O4","Southern Africa",0.159022510031625,0.15803024411893,0.111678575879331,0.212213333153239
"O4","Southern Asia",0.277052093897352,0.276657920792735,0.238239207042544,0.317201339171852
"O4","Western Africa",0.0418580171194882,0.037558575736719,0.00938444387921991,0.0986472979694562
"O5","Eastern Africa",0.0208043560132636,0.0204916104304295,0.0129703766695301,0.030321165712137
"O5","Southern Africa",0.188261577427882,0.187104859340999,0.137694809546241,0.24484548161449
"O5","Southern Asia",0.0252984399689757,0.024643296748292,0.013660714154793,0.0404399478321572
"O5","Western Africa",0.0123463463389543,0.00901247903010411,0.000781331317864236,0.0423959410278753
"OL103","Eastern Africa",0.000866285816220555,0.000640278402114414,4.76029985076871e-05,0.00301257764384962
"OL103","Southern Africa",0.00183672428046245,0.00107116299180104,4.31109238780159e-05,0.00819129597067324
"OL103","Southern Asia",0.0232750918403567,0.022630607217807,0.0119114077429525,0.0381804996894975
"OL103","Western Africa",0.0025903584635285,0.00127345481787377,4.41061130796735e-05,0.0129204482201966
"OL104","Eastern Africa",0.000580032316531319,0.000358427540399601,1.08302618877043e-05,0.00239922683465128
"OL104","Southern Africa",0.00046190971193096,0.000146435782719771,1.7689407145171e-06,0.00277893177089191
"OL104","Southern Asia",0.000560925259839566,0.000260735652231537,3.71973980174394e-06,0.00288580952803844
"OL104","Western Africa",0.000565117044809867,0.000143403186317702,1.807675711011e-06,0.00386693046815301
"OL13","Eastern Africa",0.0197443064372541,0.0194357654019123,0.0121674222601084,0.028853732657345
"OL13","Southern Africa",0.00560127278847216,0.00431139231756393,0.000428356356348676,0.0180074396985758
"OL13","Southern Asia",0.108463928136529,0.107914197890617,0.0833716801732345,0.136532130309707
"OL13","Western Africa",0.0282002813993154,0.0241974661747078,0.0047392041660929,0.0746981734268455
