"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.267177991656174,0.266740871617081,0.234623702225846,0.301431206188956,"Global"
"O1.v2",0.230645896626506,0.230367598992026,0.199947497143058,0.26276651814989,"Global"
"O1.v3",0.0015094795883143,0.00103387227784044,3.67757629803977e-05,0.00557073662441191,"Global"
"O12",0.00297980970764419,0.00250191577923337,0.000349567232122889,0.00832917668143473,"Global"
"O2a.v1",0.0657844556808392,0.0652993959804015,0.0483110449030226,0.0856829380605278,"Global"
"O2afg.v2",0.158785033095274,0.158430484568412,0.13262436449009,0.186705548205435,"Global"
"O3/O3a",0.0225861785937694,0.0221080557959497,0.0128049286277152,0.0349940048777109,"Global"
"O3b",0.0509771218994224,0.0506074344417624,0.0359017201889239,0.0687507334708388,"Global"
"O4",0.0914895721143307,0.0910218513606007,0.0712039272427444,0.114050765323373,"Global"
"O5",0.0613713160656133,0.0609884487960384,0.0447216799847003,0.0805783512078293,"Global"
"OL103",0.00300374461254754,0.00252127491308601,0.000369696400886752,0.00821926868170196,"Global"
"OL104",0.00149580324917214,0.00103501241359809,3.51995932895189e-05,0.00557430463541944,"Global"
"OL13",0.0420027478248525,0.0415768379455638,0.0282245787017603,0.0582081097369768,"Global"
