"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.3073875028931,0.306933785575126,0.257582882936748,0.359110926691884
"O1.v1","Southern Africa",0.215289928600492,0.21353490457359,0.146454015756295,0.294070172361203
"O1.v1","Southern Asia",0.215988831150318,0.214942625322712,0.164130241095092,0.272546359703282
"O1.v1","Western Africa",0.325042295955011,0.321509681974583,0.193917990022769,0.473192686251571
"O1.v2","Eastern Africa",0.240450416644739,0.23995338823957,0.194751230858442,0.289258740685246
"O1.v2","Southern Africa",0.221960873467894,0.220341104865726,0.151545511610119,0.301045415555127
"O1.v2","Southern Asia",0.197506245292783,0.196921056184894,0.147393172802349,0.251343777855099
"O1.v2","Western Africa",0.321028427030131,0.318424361233183,0.188286393592058,0.470813881512196
"O1.v3","Eastern Africa",0.00168148741018276,0.00103233788893219,3.345444931148e-05,0.00694353299283621
"O1.v3","Southern Africa",0.00111840562274217,0.000511978743403012,1.10539772700286e-05,0.00599836510167722
"O1.v3","Southern Asia",0.00146102947155241,0.000804092320505974,1.98900251233061e-05,0.00689865701190773
"O1.v3","Western Africa",0.00111812652822436,0.000438090447209872,8.76805019561697e-06,0.00655919708173937
"O12","Eastern Africa",0.00276104545669103,0.00204613326788812,0.00023233752577792,0.00926627776225827
"O12","Southern Africa",0.00215836986937351,0.00124764379128615,7.90714534956305e-05,0.00978768042364796
"O12","Southern Asia",0.00388724340998707,0.00286772025660892,0.000305331663231946,0.013196832648131
"O12","Western Africa",0.00219691039147915,0.00112599315726377,5.9980544510982e-05,0.0109397057251603
"O2a.v1","Eastern Africa",0.0528529186925104,0.0519085205704754,0.031437749494948,0.0798184662485158
"O2a.v1","Southern Africa",0.0346473553185942,0.032277764860739,0.0111748335728088,0.0708020350071911
"O2a.v1","Southern Asia",0.108097319068964,0.107129994203171,0.0712772041931081,0.150636801422846
"O2a.v1","Western Africa",0.0662544709505972,0.0601229238263652,0.017896156940009,0.147695348919248
"O2afg.v2","Eastern Africa",0.196704303999075,0.195992051926576,0.154265029280974,0.242686711087302
"O2afg.v2","Southern Africa",0.197135489279827,0.195247597208992,0.13064655566179,0.274773612247515
"O2afg.v2","Southern Asia",0.0813162583597513,0.0802295710004255,0.0498687049807278,0.119528342948794
"O2afg.v2","Western Africa",0.171810088171438,0.166528110498713,0.0771421316947483,0.297094062842419
"O3/O3a","Eastern Africa",0.0123714680731919,0.0114881061133122,0.00384502384054603,0.0260373017270667
"O3/O3a","Southern Africa",0.0133131658175282,0.0114628045388998,0.0023101301241973,0.0354393987757203
"O3/O3a","Southern Asia",0.046330806238191,0.0449851982346484,0.0236840758202789,0.076813909348862
"O3/O3a","Western Africa",0.019540478377518,0.0152197028906767,0.00245860022146253,0.0622852189485296
"O3b","Eastern Africa",0.0502253637732321,0.0491287277339043,0.0292416656345064,0.0769747884361125
"O3b","Southern Africa",0.0234196187571956,0.0212659788013639,0.00555341150514637,0.0546612686801854
"O3b","Southern Asia",0.0705206019945683,0.0692394361333952,0.0414973738145993,0.106771877590954
"O3b","Western Africa",0.0191956443398173,0.0149380320523942,0.00188119370876658,0.0595997917021639
"O4","Eastern Africa",0.0623275442805884,0.0613169554185513,0.0387243333707539,0.0913127677475441
"O4","Southern Africa",0.0790853640765847,0.0768404133288564,0.0381629215150618,0.133653792106
"O4","Southern Asia",0.143146389198972,0.142208260383977,0.100945110866995,0.191616847012107
"O4","Western Africa",0.0290503685460591,0.0240449532321893,0.00335013943352424,0.0823613961970993
"O5","Eastern Africa",0.0354985283733002,0.0346000260763752,0.0185909831700945,0.0573640845343247
"O5","Southern Africa",0.199240813347424,0.197397009402664,0.130529902378123,0.280346696255965
"O5","Southern Asia",0.0538130198112047,0.0525062411791085,0.0282577677278004,0.0858140740389968
"O5","Western Africa",0.0263777218931139,0.0216014862190938,0.00300173094265488,0.0759556692399676
"OL103","Eastern Africa",0.00175330164212903,0.00118263691559643,8.83629313525873e-05,0.00669538435897649
"OL103","Southern Africa",0.00201868792024799,0.00114718583437738,6.69627685091879e-05,0.00896035187757598
"OL103","Southern Asia",0.00533776137154079,0.00421781196733678,0.000464069457877258,0.0166193578673598
"OL103","Western Africa",0.00204526163907717,0.00102801391005772,5.05266707754062e-05,0.0100266603974186
"OL104","Eastern Africa",0.00170355460405568,0.00104209996361237,3.17711577304923e-05,0.00701112900932871
"OL104","Southern Africa",0.00116184642614636,0.000521886859076937,1.0977487537936e-05,0.00614238077675202
"OL104","Southern Asia",0.00146689584476488,0.000805252624122669,2.00010090427872e-05,0.00691805406278564
"OL104","Western Africa",0.00113467233567473,0.000447862688764336,8.71662247043415e-06,0.00641046413388964
"OL13","Eastern Africa",0.0342819022083408,0.0333589379493052,0.0178235191161759,0.0563790260280214
"OL13","Southern Africa",0.0110957902380312,0.00911253258895416,0.0012477625568958,0.0325928474518153
"OL13","Southern Asia",0.0720573217559898,0.0709296971580581,0.0425740649990744,0.108106115905442
"OL13","Western Africa",0.0151413071842664,0.0114242351288375,0.0012310213969576,0.0505437009090239
