"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.254666156260711,0.254591166439786,0.234595121640366,0.275331033965883,"Global"
"O1.v2",0.184173357760533,0.184013656460183,0.166343745666456,0.202895590308136,"Global"
"O1.v3",0.00232751483611261,0.00213250454443436,0.000636765454290873,0.00507125407557179,"Global"
"O12",0.00115769031397572,0.000964407062938425,0.000140794624897808,0.00322469124205683,"Global"
"O2a.v1",0.0500147703214581,0.0498644361325899,0.0405619842025431,0.0604331303788834,"Global"
"O2afg.v2",0.259293782249517,0.259246279159664,0.23930559423637,0.279430785721132,"Global"
"O3/O3a",0.0139788066967008,0.0137825000874357,0.00895330229503005,0.0201116132054187,"Global"
"O3b",0.0220869336152738,0.021900659924123,0.0156358471898445,0.0293819628256458,"Global"
"O4",0.126698955363705,0.126654404855464,0.112238138683583,0.142011982023158,"Global"
"O5",0.0372552868253538,0.0371117620605706,0.0288431830961918,0.0463417936801708,"Global"
"OL103",0.00409043317650964,0.00388573928604964,0.00168032745419409,0.00758378144018999,"Global"
"OL104",0.00057779852893076,0.00039722850223852,1.40985512323573e-05,0.00214108443919034,"Global"
"OL13",0.0435645442435695,0.0433375317744954,0.03474262328904,0.0535379516283831,"Global"
