"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.290892400342329,0.290717445861449,0.263683831887191,0.318952918057867
"O1.v1","Southern Africa",0.174481629219959,0.173506100965694,0.123611568406612,0.231939325160348
"O1.v1","Southern Asia",0.177733001053504,0.177293936412151,0.145608675049351,0.212657380768129
"O1.v1","Western Africa",0.387371847650344,0.385686078893907,0.266892986169043,0.516965156904905
"O1.v2","Eastern Africa",0.202747419674115,0.20270335396576,0.178593281575922,0.227364779923548
"O1.v2","Southern Africa",0.215098969547266,0.214065524747147,0.158402353006483,0.276232797063129
"O1.v2","Southern Asia",0.131456471681961,0.130961019618046,0.103621505852561,0.162215724254644
"O1.v2","Western Africa",0.263513743685883,0.260649829780913,0.16077915576957,0.382308577264424
"O1.v3","Eastern Africa",0.00315853907047701,0.00285701395815619,0.00075028816810686,0.00736371257888783
"O1.v3","Southern Africa",0.00105167004688628,0.000444855947602269,9.37948793638496e-06,0.00574381546377499
"O1.v3","Southern Asia",0.00101628941723553,0.000604313536513575,1.97776677688592e-05,0.00438868466945846
"O1.v3","Western Africa",0.00118770800707652,0.000367764258858313,5.6359079596572e-06,0.00764888190516947
"O12","Eastern Africa",0.000895510544770169,0.000651477367612165,4.96797768272186e-05,0.00307401163966395
"O12","Southern Africa",0.000853367897740136,0.000333726700958789,7.09902324050566e-06,0.00499676624888511
"O12","Southern Asia",0.00177734633839801,0.00126479198757793,8.80231869026862e-05,0.0063528671252085
"O12","Western Africa",0.000954565431490184,0.000266370237180659,4.44896240792154e-06,0.00624651893573542
"O2a.v1","Eastern Africa",0.0453209508499774,0.04501709448958,0.03326104409737,0.0591533381669759
"O2a.v1","Southern Africa",0.0191200343025505,0.0175034785194735,0.0052493799741789,0.0423946754831981
"O2a.v1","Southern Asia",0.0723087261543184,0.0716822408004033,0.0511265631931001,0.0968625433758857
"O2a.v1","Western Africa",0.0955892384614704,0.0910316091251368,0.0358372424756842,0.181328020294268
"O2afg.v2","Eastern Africa",0.349426734894827,0.349286628776717,0.320409648733367,0.378235997320306
"O2afg.v2","Southern Africa",0.183635055285656,0.182982385248309,0.130867095663345,0.242363998103466
"O2afg.v2","Southern Asia",0.091887346921276,0.0912082568851936,0.0682411231000496,0.118826531459897
"O2afg.v2","Western Africa",0.193728365556637,0.190295794919241,0.104349344204536,0.30433147955923
"O3/O3a","Eastern Africa",0.00367403945879794,0.00335646831920306,0.00105112917910576,0.00803764191787224
"O3/O3a","Southern Africa",0.0110268225689258,0.00950924455407082,0.00189724462504486,0.0285291561007535
"O3/O3a","Southern Asia",0.0491097922784903,0.0484577809274901,0.0323308034765581,0.0692440849680535
"O3/O3a","Western Africa",0.0142208631856725,0.0101408018045623,0.000957648769502152,0.0506264779512364
"O3b","Eastern Africa",0.0157056004201921,0.0153709736241276,0.00904909622183645,0.0240407390630008
"O3b","Southern Africa",0.0157007815887769,0.014113240740257,0.00393319195292201,0.0356127419896009
"O3b","Southern Asia",0.0395530535155877,0.0389611776378272,0.024209358771459,0.0579345452457805
"O3b","Western Africa",0.00727195896730887,0.00435176659498897,0.000186763590423775,0.0311238613490411
"O4","Eastern Africa",0.0464787236881082,0.0462115463380964,0.034369834857362,0.0601181871920156
"O4","Southern Africa",0.16954027785573,0.168087833405016,0.119901105302356,0.227017691165438
"O4","Southern Asia",0.277658842833117,0.277066901172057,0.240044172245945,0.318817843435273
"O4","Western Africa",0.0157680824334168,0.0116084905803512,0.000760349500518098,0.0550468833221782
"O5","Eastern Africa",0.0209045990163428,0.020644852857637,0.0130502716198987,0.0305071602686567
"O5","Southern Africa",0.203213656231346,0.202304570137475,0.148543007637536,0.263109755883463
"O5","Southern Asia",0.0251129362585184,0.024427301686741,0.0133431608836618,0.0402773614710248
"O5","Western Africa",0.0107098198743472,0.00697131808795636,0.000345503128053752,0.042743964954727
"OL103","Eastern Africa",0.000736090759693559,0.000505135432654822,2.40083988739114e-05,0.00274306349905561
"OL103","Southern Africa",0.00168575226375734,0.000904003925619386,2.31001452953135e-05,0.00804057925893506
"OL103","Southern Asia",0.0237378317560446,0.0230874398824595,0.0123027436088179,0.0385882027809308
"OL103","Western Africa",0.0020917837721815,0.000788191269820587,1.53968970362118e-05,0.0123582324255834
"OL104","Eastern Africa",0.000620563936978919,0.000376569895799833,1.12384140506431e-05,0.00259087945921308
"OL104","Southern Africa",0.000468994831246603,0.000131558183859824,1.1818361692059e-06,0.00308586379932125
"OL104","Southern Asia",0.000528575082455943,0.000218564674648162,2.7627430969054e-06,0.00292001805613286
"OL104","Western Africa",0.000472072713762938,9.28799470729661e-05,6.46701606595817e-07,0.00340001223181358
"OL13","Eastern Africa",0.019502488526283,0.0191659027933984,0.0119854760335501,0.0289239384323244
"OL13","Southern Africa",0.00430308457499489,0.00298509322604696,0.000179050889035533,0.01578033177506
"OL13","Southern Asia",0.108170560579511,0.107654633525632,0.08239065803766,0.13707987941721
"OL13","Western Africa",0.00705911008022331,0.00411979445464639,0.000147837902450098,0.0308904374686126
