"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.132933741459302,0.132393445429641,0.100689323187254,0.16861648942092,"Global"
"O1.v2",0.230297325294822,0.229980012074779,0.187339327550193,0.274991138133138,"Global"
"O2a.v1",0.0662636159875642,0.0655935702459675,0.0436553342544943,0.0931078458356014,"Global"
"O2afg.v2",0.393186239436997,0.39318194077238,0.345037547064894,0.441100918078231,"Global"
"O3/O3a",0.0166036848539838,0.0157518472981214,0.00620683750517891,0.0314994611657318,"Global"
"O3b",0.0249680140853365,0.0240972331207247,0.0112996280185199,0.0437604819287607,"Global"
"O4",0.0635527812691902,0.0627624459950951,0.0414560017258026,0.0899262977898746,"Global"
"O5",0.0443653850133147,0.0435760989897108,0.0258287916806055,0.0665585290191155,"Global"
"OL103",0.00825680680841495,0.0074164198561119,0.00176578199332229,0.0196151998271296,"Global"
"OL104",0.00279781158687586,0.00192609185149431,7.07880121163941e-05,0.0103063241107209,"Global"
"OL13",0.0167151099661737,0.0158776668980995,0.00613913557958746,0.0317324872121866,"Global"
