"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.101996676807997,0.101066197895725,0.0677046586476598,0.141609878800515
"O1.v1","Southern Africa",0.115138601171129,0.11134893969985,0.0515056231052557,0.201124614527191
"O1.v1","Southern Asia",0.251056647411958,0.244759983020935,0.108979885344888,0.430721186312763
"O1.v1","Western Africa",0.29363050614104,0.290069167027364,0.162880605009128,0.445948362692408
"O1.v2","Eastern Africa",0.210512428119001,0.209887614427681,0.161190665595219,0.264292973051871
"O1.v2","Southern Africa",0.291924094310769,0.289592270605996,0.190939180114101,0.406665062022177
"O1.v2","Southern Asia",0.227187557566493,0.219240112858725,0.0929343444008994,0.402926139502192
"O1.v2","Western Africa",0.253525574421943,0.249899040863425,0.130239658779253,0.399629129505282
"O2a.v1","Eastern Africa",0.0659686008899993,0.0649453341198261,0.0391373375456125,0.0997065085941251
"O2a.v1","Southern Africa",0.0388224847343682,0.034794415076518,0.00845654661203789,0.0922064603599207
"O2a.v1","Southern Asia",0.0854950259548343,0.0756154644463949,0.0162336176781463,0.208031374143436
"O2a.v1","Western Africa",0.10471149277028,0.098435601682762,0.0331884831307366,0.21327344167121
"O2afg.v2","Eastern Africa",0.506693926789587,0.506881965199382,0.442938203735369,0.56977226864573
"O2afg.v2","Southern Africa",0.21710331718231,0.214007663678958,0.128954608568213,0.322883066091385
"O2afg.v2","Southern Asia",0.120094290709268,0.110604830398683,0.02935659111563,0.263513561025307
"O2afg.v2","Western Africa",0.130286024301479,0.123979483902925,0.0459286882190082,0.248350648169599
"O3/O3a","Eastern Africa",0.00734685320549609,0.00623097715412644,0.00104844975986696,0.0198628832638117
"O3/O3a","Southern Africa",0.0278974510388322,0.0237098863647852,0.00466597267366886,0.0742921884435266
"O3/O3a","Southern Asia",0.0367762430300062,0.0274014187690357,0.00330231174177779,0.12188430733446
"O3/O3a","Western Africa",0.0448357975890186,0.037515764779418,0.00708477487562503,0.120664798600463
"O3b","Eastern Africa",0.0237013823440749,0.0225163740634151,0.00880673463626842,0.045855759385841
"O3b","Southern Africa",0.0106283728070125,0.00746827616362937,0.000465758350211282,0.0393081037330638
"O3b","Southern Asia",0.0189563606505041,0.0122919034519779,0.000655214397244235,0.0749268997351381
"O3b","Western Africa",0.0626753314529519,0.0554710715835819,0.0127270368399073,0.155750989186415
"O4","Eastern Africa",0.0355394629121113,0.034337100996225,0.0163237717103668,0.0615156941372882
"O4","Southern Africa",0.145213383547711,0.141221478191555,0.0731145415809385,0.237151015323707
"O4","Southern Asia",0.151562814879834,0.141939372069292,0.0464058627162215,0.306353736352852
"O4","Western Africa",0.0473489048834857,0.040460577411788,0.00751391585142948,0.12426301863176
"O5","Eastern Africa",0.0254147364210554,0.0242314550983267,0.0101154021682146,0.0477570644580354
"O5","Southern Africa",0.134825693582668,0.130570258344621,0.0646359173869669,0.225881889997341
"O5","Southern Asia",0.0255085458438564,0.0176925776390787,0.00105311943034314,0.0930028108905294
"O5","Western Africa",0.0208793271637769,0.0152094498685538,0.00112471278246335,0.0728088836306637
"OL103","Eastern Africa",0.00315672986755878,0.00219581624754407,0.000129397951357981,0.0115383010886383
"OL103","Southern Africa",0.0063899101441422,0.0039122325428022,0.000151234931225297,0.0269290698359734
"OL103","Southern Asia",0.0642256400941187,0.0531079065593712,0.00792222206624993,0.184510411496751
"OL103","Western Africa",0.00953504383247159,0.00557491280750203,0.00024455196560008,0.041337682298031
"OL104","Eastern Africa",0.00155307078996805,0.000816277664689394,1.5323138537336e-05,0.00723259161395614
"OL104","Southern Africa",0.00285073159274833,0.00117588369728286,1.59205861507058e-05,0.0160154521411956
"OL104","Southern Asia",0.00465723364836903,0.00157958424494016,2.22534768757484e-05,0.0282861848802776
"OL104","Western Africa",0.00974488719448358,0.00503087160974516,0.000104931878816645,0.0478158214251545
"OL13","Eastern Africa",0.018508114005546,0.0172751657118992,0.00577404812794942,0.0380901993510851
"OL13","Southern Africa",0.00787340757860383,0.0053068463584683,0.000237584950063533,0.03063171922461
"OL13","Southern Asia",0.0137840145173855,0.00808550396124996,0.000365757732914788,0.0604136675064597
"OL13","Western Africa",0.0224525873760627,0.0166144739757063,0.00175956650469483,0.0745605110960529
