"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.188357803614552,0.18701954305993,0.130909848777508,0.255440911370823,"Global"
"O1.v2",0.260280731466966,0.259437614881223,0.19484248687987,0.330912386304995,"Global"
"O2a.v1",0.084400340715745,0.0825031121647307,0.0472811802260423,0.131991547603048,"Global"
"O2afg.v2",0.240366313919579,0.239502806626633,0.176916933399313,0.30823346815562,"Global"
"O3/O3a",0.0195243704571588,0.0173303427401758,0.00404764904614479,0.0467498001827513,"Global"
"O3b",0.0390329654571532,0.0370727884305815,0.0147062032581632,0.0734232804580058,"Global"
"O4",0.0647099927072658,0.0628020757472507,0.0320704304564468,0.10730074735073,"Global"
"O5",0.0651217698772297,0.0632233812370782,0.032102535913963,0.108613061173108,"Global"
"OL103",0.00658545363188202,0.00453463075729575,0.000167433201493871,0.0245829947211313,"Global"
"OL104",0.00655300063361883,0.00443575110605113,0.000150652258427905,0.0246339801083769,"Global"
"OL13",0.0259128784603221,0.0237890653408747,0.00729795663009757,0.0561318367023223,"Global"
