"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.171742185272703,0.169003105246414,0.100706667843744,0.257008179078258
"O1.v1","Southern Africa",0.138912760341792,0.131995993699618,0.041491298345928,0.275347423822699
"O1.v1","Southern Asia",0.255301010939542,0.249560433771118,0.134331666362021,0.407951438680223
"O1.v1","Western Africa",0.19915466662778,0.192215974193717,0.0849713877602084,0.352170132037608
"O1.v2","Eastern Africa",0.210784248988719,0.20870581184786,0.130355093087189,0.303362045900245
"O1.v2","Southern Africa",0.336049708768171,0.330328205048518,0.177246937873325,0.524249696798598
"O1.v2","Southern Asia",0.270887751704079,0.266502763928746,0.1454288277231,0.419987108612231
"O1.v2","Western Africa",0.341145709909776,0.335433703600965,0.189110074910993,0.519503050738725
"O2a.v1","Eastern Africa",0.0792564795196605,0.0764607105992964,0.0350734952261502,0.13984466137258
"O2a.v1","Southern Africa",0.0694628050340634,0.0625357405296739,0.014880350320975,0.165791607558618
"O2a.v1","Southern Asia",0.107721623037441,0.100669778989887,0.0394175048239533,0.217210524027553
"O2a.v1","Western Africa",0.0840649103256336,0.0770277260828995,0.0230359610249417,0.186396396098928
"O2afg.v2","Eastern Africa",0.31771796965942,0.316669389225391,0.219961074648508,0.422251511876959
"O2afg.v2","Southern Africa",0.213492121256256,0.20645733056841,0.0898676605734425,0.377266127287899
"O2afg.v2","Southern Asia",0.110024284043536,0.10291030511646,0.027507618614602,0.235989385676113
"O2afg.v2","Western Africa",0.180846806602058,0.173986694509141,0.0723662607059851,0.324253944521537
"O3/O3a","Eastern Africa",0.017161374192948,0.0143770304627401,0.00261630646043616,0.04704537287546
"O3/O3a","Southern Africa",0.0169689405826561,0.0123487319526104,0.00139986318392273,0.058566840459698
"O3/O3a","Southern Asia",0.0236156152175218,0.0185209171698635,0.00305067547726554,0.0742675115600157
"O3/O3a","Western Africa",0.024155584973898,0.0182704316036443,0.00258347948244155,0.0818334168406706
"O3b","Eastern Africa",0.0481016633385366,0.0449780090640621,0.0159780465696991,0.0993729790290132
"O3b","Southern Africa",0.0269059471093347,0.0217071641961688,0.00267349396012271,0.0817910297495027
"O3b","Southern Asia",0.027022979113567,0.022757224762961,0.00341011052049977,0.0756803644599331
"O3b","Western Africa",0.0356837374241307,0.0299951111120194,0.0056551888335285,0.0993065289654384
"O4","Eastern Africa",0.0623480249196281,0.0593641624721271,0.024717805843983,0.116870446991099
"O4","Southern Africa",0.0555671304873714,0.0487739196317738,0.0112106900770235,0.140401779292235
"O4","Southern Asia",0.0924176904193681,0.0850646765392819,0.0305823140489037,0.194075101170376
"O4","Western Africa",0.0445972829146969,0.0385645606761726,0.00653088832539804,0.116821356969751
"O5","Eastern Africa",0.0573913707439309,0.0542957553971722,0.0215804668794639,0.110056850568739
"O5","Southern Africa",0.109408073112665,0.098952001161366,0.0323026151770822,0.247829608484155
"O5","Southern Asia",0.068660697396909,0.0620535423282469,0.0185666694075127,0.155615112427633
"O5","Western Africa",0.0469239370165261,0.0410872121864332,0.00786087737825452,0.119654328301908
"OL103","Eastern Africa",0.00552722656363175,0.00338233153249498,0.000112803712107396,0.023256701329844
"OL103","Southern Africa",0.00617081795367187,0.0032840968872226,9.11211377753558e-05,0.0297212549417118
"OL103","Southern Asia",0.00954501209554066,0.0054255636230442,0.000167757874305738,0.0426776279544617
"OL103","Western Africa",0.00656473480657021,0.00351935135715996,9.96973059664941e-05,0.0315553604019532
"OL104","Eastern Africa",0.00555425375275101,0.00337970529802291,9.75063752465536e-05,0.0227456856996041
"OL104","Southern Africa",0.00627944543098444,0.00331166889373201,7.55704751238927e-05,0.0304388476432121
"OL104","Southern Asia",0.00685734500828577,0.00380821091314526,0.000104169441948009,0.0321808029666441
"OL104","Western Africa",0.00964517731479953,0.00519293959648555,0.000146359347400774,0.0464671491665908
"OL13","Eastern Africa",0.0251019035731317,0.0221353708609526,0.00551292175926681,0.0629780390875039
"OL13","Southern Africa",0.021337037302782,0.0162579942008279,0.00191920932460181,0.0706169406197536
"OL13","Southern Asia",0.0284364220013574,0.0234571706045263,0.00427063146598085,0.0812918884966173
"OL13","Western Africa",0.0292928307827012,0.0230937890328697,0.00399517188064599,0.0895070397783529
